metric,value
analysis_end,2025-08
controls_before_local_cursor_filter,153
local_cursor_evidence_controls_total,0
local_cursor_evidence_controls_in_window_removed,0
local_cursor_evidence_controls_post_window_kept,0
final_controls,153
pairs_before_local_cursor_filter,320
final_pairs,320
strict_1to3_treatment_repos,100
strict_1to3_pair_rows,300
dropped_pairs_local_cursor_in_window,0
treatment_repos_before_local_cursor_filter,110
treatment_repos_with_final_controls,110
treatment_repos_lost_all_controls,0
control_ts_repos_rows_before_filter,2320
control_ts_repos_rows_after_filter,2320
control_ts_contributors_rows_before_filter,10335
control_ts_contributors_rows_after_filter,10335
