column,source,non_missing_count,missing_count
repo_name,python_input,1604,0
time,python_input,1604,0
is_treatment,python_input,1604,0
event,python_input,843,761
post_event,python_input,1604,0
time_to_event,python_input,843,761
lead_6,python_input,1604,0
lead_5,python_input,1604,0
lead_4,python_input,1604,0
lead_3,python_input,1604,0
lead_2,python_input,1604,0
lead_1,python_input,1604,0
lag_0,python_input,1604,0
lag_1,python_input,1604,0
lag_2,python_input,1604,0
lag_3,python_input,1604,0
lag_4,python_input,1604,0
lag_5,python_input,1604,0
lag_6,python_input,1604,0
cursor,python_input,1604,0
commits,python_input,1604,0
lines_added,python_input,1604,0
lines_removed,python_input,1604,0
contributors,python_input,1604,0
stars,paper_panel_fill,1589,15
issues,paper_panel_fill,1589,15
issue_comments,paper_panel_fill,1589,15
age,paper_panel_fill,1589,15
ncloc,python_input,1604,0
bugs,python_input,1604,0
vulnerabilities,python_input,1604,0
code_smells,python_input,1604,0
duplicated_lines_density,python_input,1604,0
comment_lines_density,python_input,1604,0
cognitive_complexity,python_input,1604,0
technical_debt,python_input,1604,0
num_dependencies_total,paper_panel_fill,146,1458
num_vulnerable_dependencies,paper_panel_fill,146,1458
average_technical_lag,paper_panel_fill,146,1458
dataset_source,python_input,1604,0
other_agents,paper_panel_fill,424,1180
high_confidence,paper_panel_fill,424,1180
