panel,check,value
strict,panel_label,strict
strict,rows,1604
strict,repos,219
strict,treatment_rows,843
strict,control_rows,761
strict,treated_repos,100
strict,control_repos,119
strict,control_post_event_sum,0
strict,treated_post_rows,429
strict,post_event_mismatch_rows,0
strict,analysis_ready_quality_did_rows,1604
strict,static_analysis_warnings_nonmissing,1604
strict,duplicate_line_density_nonmissing,1604
strict,code_complexity_nonmissing,1604
strict,sonarqube_latest_commit_missing,0
strict,sonarqube_any_raw_metric_missing_sum,0
strict,sonarqube_all_raw_metrics_missing_sum,0
strict,sonarqube_ncloc_zero_sum,0
strict,sonarqube_quality_outcomes_complete_sum,1604
