panel,check,value
flexible,panel_label,flexible
flexible,rows,1706
flexible,repos,232
flexible,treatment_rows,917
flexible,control_rows,789
flexible,treated_repos,110
flexible,control_repos,122
flexible,control_post_event_sum,0
flexible,treated_post_rows,471
flexible,post_event_mismatch_rows,0
flexible,analysis_ready_velocity_did_rows,1706
flexible,commits_nonmissing,1706
flexible,lines_added_nonmissing,1706
flexible,log_commits_nonmissing,1706
flexible,log_lines_added_nonmissing,1706
flexible,min_time,2024-01
flexible,max_time,2025-08
strict,panel_label,strict
strict,rows,1633
strict,repos,220
strict,treatment_rows,853
strict,control_rows,780
strict,treated_repos,100
strict,control_repos,120
strict,control_post_event_sum,0
strict,treated_post_rows,432
strict,post_event_mismatch_rows,0
strict,analysis_ready_velocity_did_rows,1633
strict,commits_nonmissing,1633
strict,lines_added_nonmissing,1633
strict,log_commits_nonmissing,1633
strict,log_lines_added_nonmissing,1633
strict,min_time,2024-01
strict,max_time,2025-08
