metric,exists,nonmissing,missing,mean,median,min,max,zero_count
ncloc_raw,1,1604,29,57131.77743142145,7613.5,4.0,2037467.0,0
bugs_raw,1,1626,7,39.84009840098401,4.0,0.0,2278.0,409
vulnerabilities_raw,1,1626,7,7.7060270602706025,1.0,0.0,157.0,806
code_smells_raw,1,1626,7,983.3794587945879,120.0,0.0,41102.0,62
duplicated_lines_density_raw,1,1604,29,6.372256857855361,2.6,0.0,94.5,455
comment_lines_density_raw,1,1604,29,15.345199501246883,12.55,0.0,47.7,10
cognitive_complexity_raw,1,1603,30,5139.744229569557,927.0,0.0,113885.0,2
technical_debt_raw,1,1626,7,6197.619926199262,793.0,0.0,242848.0,62
static_analysis_warnings,1,1626,7,1030.9255842558425,139.5,0.0,43384.0,56
duplicate_line_density,1,1604,29,6.372256857855361,2.6,0.0,94.5,455
code_complexity,1,1603,30,5139.744229569557,927.0,0.0,113885.0,2
warnings_per_kloc,1,1604,29,27.68182694088318,17.518285509692596,0.0,759.3860684769776,34
complexity_per_kloc,1,1603,30,139.36155110771958,115.734562659226,0.0,836.836580557618,2
code_smells_per_kloc,1,1604,29,25.389363593501532,16.789799379375047,0.0,757.9693034238488,40
sonarqube_any_raw_metric_missing,1,1633,0,0.01837109614206981,0.0,0.0,1.0,1603
sonarqube_all_raw_metrics_missing,1,1633,0,0.004286589099816289,0.0,0.0,1.0,1626
sonarqube_ncloc_zero,1,1633,0,0.0,0.0,0.0,0.0,1633
sonarqube_static_warnings_missing,1,1633,0,0.004286589099816289,0.0,0.0,1.0,1626
sonarqube_duplicate_density_missing,1,1633,0,0.017758726270667484,0.0,0.0,1.0,1604
sonarqube_cognitive_complexity_missing,1,1633,0,0.01837109614206981,0.0,0.0,1.0,1603
sonarqube_quality_outcomes_complete,1,1633,0,0.9816289038579302,1.0,0.0,1.0,30
