repo_name,time,is_treatment,event,post_event,time_to_event,dataset_source,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,static_analysis_warnings
cameronapak/freedom-stack,2024-02,0,2024-10,0,-8.0,treatment,107.0,0.0,0.0,1.0,0.0,13.7,5.0,0.0,1.0
cameronapak/freedom-stack,2024-02,0,2024-10,0,-8.0,treatment,107.0,0.0,0.0,1.0,0.0,13.7,5.0,0.0,1.0
cameronapak/freedom-stack,2024-03,0,2024-10,0,-7.0,treatment,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-03,0,2024-10,0,-7.0,treatment,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-04,0,2024-10,0,-6.0,treatment,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-04,0,2024-10,0,-6.0,treatment,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-05,0,2024-10,0,-5.0,treatment,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-05,0,2024-10,0,-5.0,treatment,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-06,0,2024-10,0,-4.0,treatment,203.0,0.0,0.0,1.0,0.0,8.6,4.0,1.0,1.0
cameronapak/freedom-stack,2024-06,0,2024-10,0,-4.0,treatment,203.0,0.0,0.0,1.0,0.0,8.6,4.0,1.0,1.0
cameronapak/freedom-stack,2024-07,0,2024-10,0,-3.0,treatment,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-07,0,2024-10,0,-3.0,treatment,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-08,0,2024-10,0,-2.0,treatment,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-08,0,2024-10,0,-2.0,treatment,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-09,0,2024-10,0,-1.0,treatment,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-09,0,2024-10,0,-1.0,treatment,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-10,1,2024-10,1,0.0,treatment,375.0,0.0,0.0,0.0,0.0,6.3,17.0,0.0,0.0
cameronapak/freedom-stack,2024-10,1,2024-10,1,0.0,treatment,375.0,0.0,0.0,0.0,0.0,6.3,17.0,0.0,0.0
cameronapak/freedom-stack,2024-11,1,2024-10,1,1.0,treatment,991.0,0.0,0.0,3.0,0.0,4.9,64.0,7.0,3.0
cameronapak/freedom-stack,2024-11,1,2024-10,1,1.0,treatment,991.0,0.0,0.0,3.0,0.0,4.9,64.0,7.0,3.0
cameronapak/freedom-stack,2024-12,1,2024-10,1,2.0,treatment,994.0,0.0,0.0,3.0,0.0,4.9,64.0,7.0,3.0
cameronapak/freedom-stack,2024-12,1,2024-10,1,2.0,treatment,994.0,0.0,0.0,3.0,0.0,4.9,64.0,7.0,3.0
cameronapak/freedom-stack,2025-01,1,2024-10,1,3.0,treatment,1060.0,1.0,0.0,3.0,0.0,5.3,66.0,7.0,4.0
cameronapak/freedom-stack,2025-01,1,2024-10,1,3.0,treatment,1060.0,1.0,0.0,3.0,0.0,5.3,66.0,7.0,4.0
cameronapak/freedom-stack,2025-02,1,2024-10,1,4.0,treatment,1060.0,1.0,0.0,3.0,0.0,5.3,66.0,7.0,4.0
cameronapak/freedom-stack,2025-02,1,2024-10,1,4.0,treatment,1060.0,1.0,0.0,3.0,0.0,5.3,66.0,7.0,4.0
cameronapak/freedom-stack,2025-03,1,2024-10,1,5.0,treatment,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-03,1,2024-10,1,5.0,treatment,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-04,1,2024-10,1,6.0,treatment,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-04,1,2024-10,1,6.0,treatment,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-05,1,2024-10,1,7.0,treatment,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-05,1,2024-10,1,7.0,treatment,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-06,1,2024-10,1,8.0,treatment,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-06,1,2024-10,1,8.0,treatment,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-07,1,2024-10,1,9.0,treatment,1120.0,11.0,0.0,3.0,0.0,5.5,68.0,7.0,14.0
cameronapak/freedom-stack,2025-07,1,2024-10,1,9.0,treatment,1120.0,11.0,0.0,3.0,0.0,5.5,68.0,7.0,14.0
cameronapak/freedom-stack,2024-02,0,2024-10,0,-8.0,control,107.0,0.0,0.0,1.0,0.0,13.7,5.0,0.0,1.0
cameronapak/freedom-stack,2024-02,0,2024-10,0,-8.0,control,107.0,0.0,0.0,1.0,0.0,13.7,5.0,0.0,1.0
cameronapak/freedom-stack,2024-03,0,2024-10,0,-7.0,control,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-03,0,2024-10,0,-7.0,control,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-04,0,2024-10,0,-6.0,control,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-04,0,2024-10,0,-6.0,control,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-05,0,2024-10,0,-5.0,control,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-05,0,2024-10,0,-5.0,control,145.0,0.0,0.0,0.0,0.0,9.4,3.0,0.0,0.0
cameronapak/freedom-stack,2024-06,0,2024-10,0,-4.0,control,203.0,0.0,0.0,1.0,0.0,8.6,4.0,1.0,1.0
cameronapak/freedom-stack,2024-06,0,2024-10,0,-4.0,control,203.0,0.0,0.0,1.0,0.0,8.6,4.0,1.0,1.0
cameronapak/freedom-stack,2024-07,0,2024-10,0,-3.0,control,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-07,0,2024-10,0,-3.0,control,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-08,0,2024-10,0,-2.0,control,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-08,0,2024-10,0,-2.0,control,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-09,0,2024-10,0,-1.0,control,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-09,0,2024-10,0,-1.0,control,404.0,0.0,0.0,2.0,10.3,4.5,20.0,5.0,2.0
cameronapak/freedom-stack,2024-10,1,2024-10,1,0.0,control,375.0,0.0,0.0,0.0,0.0,6.3,17.0,0.0,0.0
cameronapak/freedom-stack,2024-10,1,2024-10,1,0.0,control,375.0,0.0,0.0,0.0,0.0,6.3,17.0,0.0,0.0
cameronapak/freedom-stack,2024-11,1,2024-10,1,1.0,control,991.0,0.0,0.0,3.0,0.0,4.9,64.0,7.0,3.0
cameronapak/freedom-stack,2024-11,1,2024-10,1,1.0,control,991.0,0.0,0.0,3.0,0.0,4.9,64.0,7.0,3.0
cameronapak/freedom-stack,2024-12,1,2024-10,1,2.0,control,994.0,0.0,0.0,3.0,0.0,4.9,64.0,7.0,3.0
cameronapak/freedom-stack,2024-12,1,2024-10,1,2.0,control,994.0,0.0,0.0,3.0,0.0,4.9,64.0,7.0,3.0
cameronapak/freedom-stack,2025-01,1,2024-10,1,3.0,control,1060.0,1.0,0.0,3.0,0.0,5.3,66.0,7.0,4.0
cameronapak/freedom-stack,2025-01,1,2024-10,1,3.0,control,1060.0,1.0,0.0,3.0,0.0,5.3,66.0,7.0,4.0
cameronapak/freedom-stack,2025-02,1,2024-10,1,4.0,control,1060.0,1.0,0.0,3.0,0.0,5.3,66.0,7.0,4.0
cameronapak/freedom-stack,2025-02,1,2024-10,1,4.0,control,1060.0,1.0,0.0,3.0,0.0,5.3,66.0,7.0,4.0
cameronapak/freedom-stack,2025-03,1,2024-10,1,5.0,control,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-03,1,2024-10,1,5.0,control,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-04,1,2024-10,1,6.0,control,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-04,1,2024-10,1,6.0,control,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-05,1,2024-10,1,7.0,control,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
cameronapak/freedom-stack,2025-05,1,2024-10,1,7.0,control,1117.0,11.0,0.0,4.0,0.0,5.3,66.0,8.0,15.0
