repo_name,time,repo_month_key
1mrat/cursor-taskrunner,2024-09,1mrat/cursor-taskrunner@@2024-09
1mrat/cursor-taskrunner,2024-10,1mrat/cursor-taskrunner@@2024-10
1mrat/cursor-taskrunner,2024-11,1mrat/cursor-taskrunner@@2024-11
1mrat/cursor-taskrunner,2024-12,1mrat/cursor-taskrunner@@2024-12
1mrat/cursor-taskrunner,2025-01,1mrat/cursor-taskrunner@@2025-01
1mrat/cursor-taskrunner,2025-02,1mrat/cursor-taskrunner@@2025-02
1mrat/cursor-taskrunner,2025-03,1mrat/cursor-taskrunner@@2025-03
1mrat/cursor-taskrunner,2025-04,1mrat/cursor-taskrunner@@2025-04
1mrat/cursor-taskrunner,2025-05,1mrat/cursor-taskrunner@@2025-05
1mrat/cursor-taskrunner,2025-06,1mrat/cursor-taskrunner@@2025-06
1mrat/cursor-taskrunner,2025-07,1mrat/cursor-taskrunner@@2025-07
1mrat/cursor-taskrunner,2025-08,1mrat/cursor-taskrunner@@2025-08
Anemll/Anemll,2025-08,Anemll/Anemll@@2025-08
Chocksy/qc-options-framework,2025-04,Chocksy/qc-options-framework@@2025-04
Chocksy/qc-options-framework,2025-05,Chocksy/qc-options-framework@@2025-05
Chocksy/qc-options-framework,2025-06,Chocksy/qc-options-framework@@2025-06
Chocksy/qc-options-framework,2025-07,Chocksy/qc-options-framework@@2025-07
Chocksy/qc-options-framework,2025-08,Chocksy/qc-options-framework@@2025-08
DannyMac180/mirror,2025-01,DannyMac180/mirror@@2025-01
DannyMac180/mirror,2025-02,DannyMac180/mirror@@2025-02
DannyMac180/mirror,2025-03,DannyMac180/mirror@@2025-03
DannyMac180/mirror,2025-04,DannyMac180/mirror@@2025-04
DannyMac180/mirror,2025-05,DannyMac180/mirror@@2025-05
DannyMac180/mirror,2025-06,DannyMac180/mirror@@2025-06
DannyMac180/mirror,2025-07,DannyMac180/mirror@@2025-07
DannyMac180/mirror,2025-08,DannyMac180/mirror@@2025-08
Elevate-Code/better-voice-typing,2025-08,Elevate-Code/better-voice-typing@@2025-08
MDGrey33/pyvisionai,2025-08,MDGrey33/pyvisionai@@2025-08
Mineru98/mysql-mcp-server,2025-04,Mineru98/mysql-mcp-server@@2025-04
Mineru98/mysql-mcp-server,2025-05,Mineru98/mysql-mcp-server@@2025-05
Mineru98/mysql-mcp-server,2025-06,Mineru98/mysql-mcp-server@@2025-06
Mineru98/mysql-mcp-server,2025-07,Mineru98/mysql-mcp-server@@2025-07
Mineru98/mysql-mcp-server,2025-08,Mineru98/mysql-mcp-server@@2025-08
Multi-V-VM/MVVM,2025-08,Multi-V-VM/MVVM@@2025-08
Ody-Z/Trading_Game_Simulator,2025-03,Ody-Z/Trading_Game_Simulator@@2025-03
Ody-Z/Trading_Game_Simulator,2025-04,Ody-Z/Trading_Game_Simulator@@2025-04
Ody-Z/Trading_Game_Simulator,2025-05,Ody-Z/Trading_Game_Simulator@@2025-05
Ody-Z/Trading_Game_Simulator,2025-06,Ody-Z/Trading_Game_Simulator@@2025-06
Ody-Z/Trading_Game_Simulator,2025-07,Ody-Z/Trading_Game_Simulator@@2025-07
Ody-Z/Trading_Game_Simulator,2025-08,Ody-Z/Trading_Game_Simulator@@2025-08
OpenMOSS/Language-Model-SAEs,2025-08,OpenMOSS/Language-Model-SAEs@@2025-08
OpenSPP/openspp-modules,2025-08,OpenSPP/openspp-modules@@2025-08
PiotrCzapla/smart_dictation,2024-11,PiotrCzapla/smart_dictation@@2024-11
PiotrCzapla/smart_dictation,2024-12,PiotrCzapla/smart_dictation@@2024-12
PiotrCzapla/smart_dictation,2025-01,PiotrCzapla/smart_dictation@@2025-01
PiotrCzapla/smart_dictation,2025-02,PiotrCzapla/smart_dictation@@2025-02
PiotrCzapla/smart_dictation,2025-03,PiotrCzapla/smart_dictation@@2025-03
PiotrCzapla/smart_dictation,2025-04,PiotrCzapla/smart_dictation@@2025-04
PiotrCzapla/smart_dictation,2025-05,PiotrCzapla/smart_dictation@@2025-05
PiotrCzapla/smart_dictation,2025-06,PiotrCzapla/smart_dictation@@2025-06
PiotrCzapla/smart_dictation,2025-07,PiotrCzapla/smart_dictation@@2025-07
PiotrCzapla/smart_dictation,2025-08,PiotrCzapla/smart_dictation@@2025-08
SlyyCooper/cursorrules-architect,2025-05,SlyyCooper/cursorrules-architect@@2025-05
SlyyCooper/cursorrules-architect,2025-06,SlyyCooper/cursorrules-architect@@2025-06
SlyyCooper/cursorrules-architect,2025-07,SlyyCooper/cursorrules-architect@@2025-07
SlyyCooper/cursorrules-architect,2025-08,SlyyCooper/cursorrules-architect@@2025-08
The-Pocket/Tutorial-AI-Paul-Graham,2025-04,The-Pocket/Tutorial-AI-Paul-Graham@@2025-04
The-Pocket/Tutorial-AI-Paul-Graham,2025-05,The-Pocket/Tutorial-AI-Paul-Graham@@2025-05
The-Pocket/Tutorial-AI-Paul-Graham,2025-06,The-Pocket/Tutorial-AI-Paul-Graham@@2025-06
The-Pocket/Tutorial-AI-Paul-Graham,2025-07,The-Pocket/Tutorial-AI-Paul-Graham@@2025-07
The-Pocket/Tutorial-AI-Paul-Graham,2025-08,The-Pocket/Tutorial-AI-Paul-Graham@@2025-08
The-Pocket/Tutorial-Cold-Email-Personalization,2025-04,The-Pocket/Tutorial-Cold-Email-Personalization@@2025-04
The-Pocket/Tutorial-Cold-Email-Personalization,2025-05,The-Pocket/Tutorial-Cold-Email-Personalization@@2025-05
The-Pocket/Tutorial-Cold-Email-Personalization,2025-06,The-Pocket/Tutorial-Cold-Email-Personalization@@2025-06
The-Pocket/Tutorial-Cold-Email-Personalization,2025-07,The-Pocket/Tutorial-Cold-Email-Personalization@@2025-07
The-Pocket/Tutorial-Cold-Email-Personalization,2025-08,The-Pocket/Tutorial-Cold-Email-Personalization@@2025-08
The-Pocket/Tutorial-Cursor,2025-04,The-Pocket/Tutorial-Cursor@@2025-04
The-Pocket/Tutorial-Cursor,2025-05,The-Pocket/Tutorial-Cursor@@2025-05
The-Pocket/Tutorial-Cursor,2025-06,The-Pocket/Tutorial-Cursor@@2025-06
The-Pocket/Tutorial-Cursor,2025-07,The-Pocket/Tutorial-Cursor@@2025-07
The-Pocket/Tutorial-Cursor,2025-08,The-Pocket/Tutorial-Cursor@@2025-08
TheSethRose/Agent-Chat,2024-11,TheSethRose/Agent-Chat@@2024-11
TheSethRose/Agent-Chat,2024-12,TheSethRose/Agent-Chat@@2024-12
TheSethRose/Agent-Chat,2025-01,TheSethRose/Agent-Chat@@2025-01
TheSethRose/Agent-Chat,2025-02,TheSethRose/Agent-Chat@@2025-02
TheSethRose/Agent-Chat,2025-03,TheSethRose/Agent-Chat@@2025-03
TheSethRose/Agent-Chat,2025-04,TheSethRose/Agent-Chat@@2025-04
TheSethRose/Agent-Chat,2025-05,TheSethRose/Agent-Chat@@2025-05
TheSethRose/Agent-Chat,2025-06,TheSethRose/Agent-Chat@@2025-06
TheSethRose/Agent-Chat,2025-07,TheSethRose/Agent-Chat@@2025-07
TheSethRose/Agent-Chat,2025-08,TheSethRose/Agent-Chat@@2025-08
ToolUse/infinite-ai-seo,2025-04,ToolUse/infinite-ai-seo@@2025-04
ToolUse/infinite-ai-seo,2025-05,ToolUse/infinite-ai-seo@@2025-05
ToolUse/infinite-ai-seo,2025-06,ToolUse/infinite-ai-seo@@2025-06
ToolUse/infinite-ai-seo,2025-07,ToolUse/infinite-ai-seo@@2025-07
ToolUse/infinite-ai-seo,2025-08,ToolUse/infinite-ai-seo@@2025-08
ToolUse/tool-use-ai,2025-05,ToolUse/tool-use-ai@@2025-05
ToolUse/tool-use-ai,2025-06,ToolUse/tool-use-ai@@2025-06
ToolUse/tool-use-ai,2025-07,ToolUse/tool-use-ai@@2025-07
ToolUse/tool-use-ai,2025-08,ToolUse/tool-use-ai@@2025-08
VRSEN/agency-swarm-memory-demo,2025-03,VRSEN/agency-swarm-memory-demo@@2025-03
VRSEN/agency-swarm-memory-demo,2025-04,VRSEN/agency-swarm-memory-demo@@2025-04
VRSEN/agency-swarm-memory-demo,2025-05,VRSEN/agency-swarm-memory-demo@@2025-05
VRSEN/agency-swarm-memory-demo,2025-06,VRSEN/agency-swarm-memory-demo@@2025-06
VRSEN/agency-swarm-memory-demo,2025-07,VRSEN/agency-swarm-memory-demo@@2025-07
VRSEN/agency-swarm-memory-demo,2025-08,VRSEN/agency-swarm-memory-demo@@2025-08
VRSEN/agency-voice-interface,2025-02,VRSEN/agency-voice-interface@@2025-02
VRSEN/agency-voice-interface,2025-03,VRSEN/agency-voice-interface@@2025-03
VRSEN/agency-voice-interface,2025-04,VRSEN/agency-voice-interface@@2025-04
VRSEN/agency-voice-interface,2025-05,VRSEN/agency-voice-interface@@2025-05
VRSEN/agency-voice-interface,2025-06,VRSEN/agency-voice-interface@@2025-06
VRSEN/agency-voice-interface,2025-07,VRSEN/agency-voice-interface@@2025-07
VRSEN/agency-voice-interface,2025-08,VRSEN/agency-voice-interface@@2025-08
W1ndys/Blog,2025-07,W1ndys/Blog@@2025-07
W1ndys/Blog,2025-08,W1ndys/Blog@@2025-08
WangQrkkk/ThinkingCursor,2025-03,WangQrkkk/ThinkingCursor@@2025-03
WangQrkkk/ThinkingCursor,2025-04,WangQrkkk/ThinkingCursor@@2025-04
WangQrkkk/ThinkingCursor,2025-05,WangQrkkk/ThinkingCursor@@2025-05
WangQrkkk/ThinkingCursor,2025-06,WangQrkkk/ThinkingCursor@@2025-06
WangQrkkk/ThinkingCursor,2025-07,WangQrkkk/ThinkingCursor@@2025-07
WangQrkkk/ThinkingCursor,2025-08,WangQrkkk/ThinkingCursor@@2025-08
appl-team/appl,2025-02,appl-team/appl@@2025-02
appl-team/appl,2025-03,appl-team/appl@@2025-03
appl-team/appl,2025-04,appl-team/appl@@2025-04
appl-team/appl,2025-05,appl-team/appl@@2025-05
appl-team/appl,2025-06,appl-team/appl@@2025-06
appl-team/appl,2025-07,appl-team/appl@@2025-07
appl-team/appl,2025-08,appl-team/appl@@2025-08
askjohngeorge/pipecat-lead-qualifier,2025-03,askjohngeorge/pipecat-lead-qualifier@@2025-03
askjohngeorge/pipecat-lead-qualifier,2025-04,askjohngeorge/pipecat-lead-qualifier@@2025-04
askjohngeorge/pipecat-lead-qualifier,2025-05,askjohngeorge/pipecat-lead-qualifier@@2025-05
askjohngeorge/pipecat-lead-qualifier,2025-06,askjohngeorge/pipecat-lead-qualifier@@2025-06
askjohngeorge/pipecat-lead-qualifier,2025-07,askjohngeorge/pipecat-lead-qualifier@@2025-07
askjohngeorge/pipecat-lead-qualifier,2025-08,askjohngeorge/pipecat-lead-qualifier@@2025-08
c4fun/tell-stories-webui,2025-05,c4fun/tell-stories-webui@@2025-05
c4fun/tell-stories-webui,2025-06,c4fun/tell-stories-webui@@2025-06
c4fun/tell-stories-webui,2025-07,c4fun/tell-stories-webui@@2025-07
c4fun/tell-stories-webui,2025-08,c4fun/tell-stories-webui@@2025-08
codingforentrepreneurs/Cursor-Django,2024-11,codingforentrepreneurs/Cursor-Django@@2024-11
codingforentrepreneurs/Cursor-Django,2024-12,codingforentrepreneurs/Cursor-Django@@2024-12
codingforentrepreneurs/Cursor-Django,2025-01,codingforentrepreneurs/Cursor-Django@@2025-01
codingforentrepreneurs/Cursor-Django,2025-02,codingforentrepreneurs/Cursor-Django@@2025-02
codingforentrepreneurs/Cursor-Django,2025-03,codingforentrepreneurs/Cursor-Django@@2025-03
codingforentrepreneurs/Cursor-Django,2025-04,codingforentrepreneurs/Cursor-Django@@2025-04
codingforentrepreneurs/Cursor-Django,2025-05,codingforentrepreneurs/Cursor-Django@@2025-05
codingforentrepreneurs/Cursor-Django,2025-06,codingforentrepreneurs/Cursor-Django@@2025-06
codingforentrepreneurs/Cursor-Django,2025-07,codingforentrepreneurs/Cursor-Django@@2025-07
codingforentrepreneurs/Cursor-Django,2025-08,codingforentrepreneurs/Cursor-Django@@2025-08
daojiAnime/vmq-fastapi,2025-04,daojiAnime/vmq-fastapi@@2025-04
daojiAnime/vmq-fastapi,2025-05,daojiAnime/vmq-fastapi@@2025-05
daojiAnime/vmq-fastapi,2025-06,daojiAnime/vmq-fastapi@@2025-06
daojiAnime/vmq-fastapi,2025-07,daojiAnime/vmq-fastapi@@2025-07
daojiAnime/vmq-fastapi,2025-08,daojiAnime/vmq-fastapi@@2025-08
discus0434/nook,2025-05,discus0434/nook@@2025-05
discus0434/nook,2025-06,discus0434/nook@@2025-06
discus0434/nook,2025-07,discus0434/nook@@2025-07
discus0434/nook,2025-08,discus0434/nook@@2025-08
ericmjl/pyds-cli,2025-05,ericmjl/pyds-cli@@2025-05
ericmjl/pyds-cli,2025-06,ericmjl/pyds-cli@@2025-06
ericmjl/pyds-cli,2025-07,ericmjl/pyds-cli@@2025-07
ericmjl/pyds-cli,2025-08,ericmjl/pyds-cli@@2025-08
ericyuegu/hal,2025-04,ericyuegu/hal@@2025-04
ericyuegu/hal,2025-05,ericyuegu/hal@@2025-05
ericyuegu/hal,2025-06,ericyuegu/hal@@2025-06
ericyuegu/hal,2025-07,ericyuegu/hal@@2025-07
ericyuegu/hal,2025-08,ericyuegu/hal@@2025-08
ericzakariasson/uber-eats-mcp-server,2025-04,ericzakariasson/uber-eats-mcp-server@@2025-04
ericzakariasson/uber-eats-mcp-server,2025-05,ericzakariasson/uber-eats-mcp-server@@2025-05
ericzakariasson/uber-eats-mcp-server,2025-06,ericzakariasson/uber-eats-mcp-server@@2025-06
ericzakariasson/uber-eats-mcp-server,2025-07,ericzakariasson/uber-eats-mcp-server@@2025-07
ericzakariasson/uber-eats-mcp-server,2025-08,ericzakariasson/uber-eats-mcp-server@@2025-08
ezyang/codemcp,2025-07,ezyang/codemcp@@2025-07
ezyang/codemcp,2025-08,ezyang/codemcp@@2025-08
gerred/mcp-server-replicate,2025-03,gerred/mcp-server-replicate@@2025-03
gerred/mcp-server-replicate,2025-04,gerred/mcp-server-replicate@@2025-04
gerred/mcp-server-replicate,2025-05,gerred/mcp-server-replicate@@2025-05
gerred/mcp-server-replicate,2025-06,gerred/mcp-server-replicate@@2025-06
gerred/mcp-server-replicate,2025-07,gerred/mcp-server-replicate@@2025-07
gerred/mcp-server-replicate,2025-08,gerred/mcp-server-replicate@@2025-08
grapeot/web_agentic_ai,2025-04,grapeot/web_agentic_ai@@2025-04
grapeot/web_agentic_ai,2025-05,grapeot/web_agentic_ai@@2025-05
grapeot/web_agentic_ai,2025-06,grapeot/web_agentic_ai@@2025-06
grapeot/web_agentic_ai,2025-07,grapeot/web_agentic_ai@@2025-07
grapeot/web_agentic_ai,2025-08,grapeot/web_agentic_ai@@2025-08
hyperb1iss/droidmind,2025-06,hyperb1iss/droidmind@@2025-06
hyperb1iss/droidmind,2025-07,hyperb1iss/droidmind@@2025-07
hyperb1iss/droidmind,2025-08,hyperb1iss/droidmind@@2025-08
jmurth1234/ClaudePlayer,2025-04,jmurth1234/ClaudePlayer@@2025-04
jmurth1234/ClaudePlayer,2025-05,jmurth1234/ClaudePlayer@@2025-05
jmurth1234/ClaudePlayer,2025-06,jmurth1234/ClaudePlayer@@2025-06
jmurth1234/ClaudePlayer,2025-07,jmurth1234/ClaudePlayer@@2025-07
jmurth1234/ClaudePlayer,2025-08,jmurth1234/ClaudePlayer@@2025-08
leettools-dev/leettools,2025-05,leettools-dev/leettools@@2025-05
leettools-dev/leettools,2025-06,leettools-dev/leettools@@2025-06
leettools-dev/leettools,2025-07,leettools-dev/leettools@@2025-07
leettools-dev/leettools,2025-08,leettools-dev/leettools@@2025-08
loftwah/auto-jira,2025-03,loftwah/auto-jira@@2025-03
loftwah/auto-jira,2025-04,loftwah/auto-jira@@2025-04
loftwah/auto-jira,2025-05,loftwah/auto-jira@@2025-05
loftwah/auto-jira,2025-06,loftwah/auto-jira@@2025-06
loftwah/auto-jira,2025-07,loftwah/auto-jira@@2025-07
loftwah/auto-jira,2025-08,loftwah/auto-jira@@2025-08
lss233/kirara-ai,2025-07,lss233/kirara-ai@@2025-07
lss233/kirara-ai,2025-08,lss233/kirara-ai@@2025-08
martinnormark/neural-mesh-simplification,2025-04,martinnormark/neural-mesh-simplification@@2025-04
martinnormark/neural-mesh-simplification,2025-05,martinnormark/neural-mesh-simplification@@2025-05
martinnormark/neural-mesh-simplification,2025-06,martinnormark/neural-mesh-simplification@@2025-06
martinnormark/neural-mesh-simplification,2025-07,martinnormark/neural-mesh-simplification@@2025-07
martinnormark/neural-mesh-simplification,2025-08,martinnormark/neural-mesh-simplification@@2025-08
matebenyovszky/healing-agent,2025-02,matebenyovszky/healing-agent@@2025-02
matebenyovszky/healing-agent,2025-03,matebenyovszky/healing-agent@@2025-03
matebenyovszky/healing-agent,2025-04,matebenyovszky/healing-agent@@2025-04
matebenyovszky/healing-agent,2025-05,matebenyovszky/healing-agent@@2025-05
matebenyovszky/healing-agent,2025-06,matebenyovszky/healing-agent@@2025-06
matebenyovszky/healing-agent,2025-07,matebenyovszky/healing-agent@@2025-07
matebenyovszky/healing-agent,2025-08,matebenyovszky/healing-agent@@2025-08
namuan/trading-utils,2025-04,namuan/trading-utils@@2025-04
namuan/trading-utils,2025-05,namuan/trading-utils@@2025-05
namuan/trading-utils,2025-06,namuan/trading-utils@@2025-06
namuan/trading-utils,2025-07,namuan/trading-utils@@2025-07
namuan/trading-utils,2025-08,namuan/trading-utils@@2025-08
nextml-code/pytorch-datastream,2025-02,nextml-code/pytorch-datastream@@2025-02
nextml-code/pytorch-datastream,2025-03,nextml-code/pytorch-datastream@@2025-03
nextml-code/pytorch-datastream,2025-04,nextml-code/pytorch-datastream@@2025-04
nextml-code/pytorch-datastream,2025-05,nextml-code/pytorch-datastream@@2025-05
nextml-code/pytorch-datastream,2025-06,nextml-code/pytorch-datastream@@2025-06
nextml-code/pytorch-datastream,2025-07,nextml-code/pytorch-datastream@@2025-07
nextml-code/pytorch-datastream,2025-08,nextml-code/pytorch-datastream@@2025-08
raphaelmansuy/code2prompt,2025-02,raphaelmansuy/code2prompt@@2025-02
raphaelmansuy/code2prompt,2025-03,raphaelmansuy/code2prompt@@2025-03
raphaelmansuy/code2prompt,2025-04,raphaelmansuy/code2prompt@@2025-04
raphaelmansuy/code2prompt,2025-05,raphaelmansuy/code2prompt@@2025-05
raphaelmansuy/code2prompt,2025-06,raphaelmansuy/code2prompt@@2025-06
raphaelmansuy/code2prompt,2025-07,raphaelmansuy/code2prompt@@2025-07
raphaelmansuy/code2prompt,2025-08,raphaelmansuy/code2prompt@@2025-08
raphaelmansuy/iteration_of_tought,2024-10,raphaelmansuy/iteration_of_tought@@2024-10
raphaelmansuy/iteration_of_tought,2024-11,raphaelmansuy/iteration_of_tought@@2024-11
raphaelmansuy/iteration_of_tought,2024-12,raphaelmansuy/iteration_of_tought@@2024-12
raphaelmansuy/iteration_of_tought,2025-01,raphaelmansuy/iteration_of_tought@@2025-01
