source_group,repo_name,time,paper_latest_commit,paper_ncloc,paper_bugs,paper_vulnerabilities,paper_code_smells,paper_duplicated_lines_density,paper_comment_lines_density,paper_cognitive_complexity,paper_technical_debt,paper_static_analysis_warnings,our_latest_commit,our_ncloc,our_bugs,our_vulnerabilities,our_code_smells,our_duplicated_lines_density,our_comment_lines_density,our_cognitive_complexity,our_technical_debt,our_static_analysis_warnings,row_overlap_status,commit_match_status,commit_equal_or_prefix,diff_ncloc,abs_diff_ncloc,diff_bugs,abs_diff_bugs,diff_vulnerabilities,abs_diff_vulnerabilities,diff_code_smells,abs_diff_code_smells,diff_duplicated_lines_density,abs_diff_duplicated_lines_density,diff_comment_lines_density,abs_diff_comment_lines_density,diff_cognitive_complexity,abs_diff_cognitive_complexity,diff_technical_debt,abs_diff_technical_debt,diff_static_analysis_warnings,abs_diff_static_analysis_warnings
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-04,,,,,,,,,,,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,410.0,0.0,0.0,67.0,32.9,21.3,4.0,251.0,67.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-05,,,,,,,,,,,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,410.0,0.0,0.0,67.0,32.9,21.3,4.0,251.0,67.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-06,,,,,,,,,,,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,410.0,0.0,0.0,67.0,32.9,21.3,4.0,251.0,67.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-07,,,,,,,,,,,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,410.0,0.0,0.0,67.0,32.9,21.3,4.0,251.0,67.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-08,,,,,,,,,,,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,410.0,0.0,0.0,67.0,32.9,21.3,4.0,251.0,67.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,ArpiarSaundersLab/annsql,2025-06,,,,,,,,,,,4d48c602f9a55fef75cd57e3db238503bf180736,3626.0,4.0,0.0,150.0,9.1,25.7,882.0,1095.0,154.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,ArpiarSaundersLab/annsql,2025-07,,,,,,,,,,,4d48c602f9a55fef75cd57e3db238503bf180736,3626.0,4.0,0.0,150.0,9.1,25.7,882.0,1095.0,154.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,ArpiarSaundersLab/annsql,2025-08,,,,,,,,,,,4d48c602f9a55fef75cd57e3db238503bf180736,3626.0,4.0,0.0,150.0,9.1,25.7,882.0,1095.0,154.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,BiancoChiu/iOSRealRun-cli-18,2025-07,,,,,,,,,,,87c1f190c78839acead294e745990692fed6d80d,326.0,0.0,0.0,10.0,0.0,4.1,61.0,49.0,10.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,BiancoChiu/iOSRealRun-cli-18,2025-08,,,,,,,,,,,87c1f190c78839acead294e745990692fed6d80d,326.0,0.0,0.0,10.0,0.0,4.1,61.0,49.0,10.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
