metric,value
paper_rows,58337
paper_unique_repo_months,58337
paper_unique_repos,2217
paper_duplicate_source_group_repo_month_rows,0
our_scan_rows,3043
our_scan_unique_repo_months,3043
our_scan_unique_repos,220
our_scan_duplicate_source_group_repo_month_rows,0
comparison_rows,59211
overlap_repo_months,2169
paper_only_repo_months,56168
our_only_repo_months,874
commit_exact_match_rows,1517
commit_prefix_match_rows,0
commit_mismatch_rows,101
paper_commit_missing_rows,551
our_commit_missing_rows,0
both_commits_missing_rows,0
treatment_overlap_repo_months,1002
treatment_paper_only_repo_months,23079
treatment_our_only_repo_months,262
treatment_commit_exact_match_rows,788
treatment_commit_prefix_match_rows,0
treatment_commit_mismatch_rows,60
control_overlap_repo_months,1167
control_paper_only_repo_months,33089
control_our_only_repo_months,612
control_commit_exact_match_rows,729
control_commit_prefix_match_rows,0
control_commit_mismatch_rows,41
