source_group,repo_name,time,metric,row_overlap_status,commit_match_status,commit_equal_or_prefix,paper_latest_commit,our_latest_commit,paper_value,our_value,diff,abs_diff,ncloc_scope_status,cause_category
treatment,zauberzeug/nicegui,2024-10,static_analysis_warnings,both,exact_match,True,c810dda1c4380fd0cca20a40dfe78653af080f38,c810dda1c4380fd0cca20a40dfe78653af080f38,37725.0,0.0,-37725.0,37725.0,ncloc_missing,ncloc_missing_exact_commit
treatment,zauberzeug/nicegui,2024-09,static_analysis_warnings,both,exact_match,True,b7b6956f26ba5e731ec2f7feae53b604f624495c,b7b6956f26ba5e731ec2f7feae53b604f624495c,37724.0,0.0,-37724.0,37724.0,ncloc_missing,ncloc_missing_exact_commit
treatment,zauberzeug/nicegui,2024-08,static_analysis_warnings,both,exact_match,True,06921814203898f7f83abb27899f34082e76f804,06921814203898f7f83abb27899f34082e76f804,37719.0,0.0,-37719.0,37719.0,ncloc_missing,ncloc_missing_exact_commit
treatment,getsentry/sentry,2025-04,static_analysis_warnings,both,exact_match,True,32cb664b86c13cc020c06f7e208cd9a62e6891a0,32cb664b86c13cc020c06f7e208cd9a62e6891a0,18244.0,0.0,-18244.0,18244.0,ncloc_missing,ncloc_missing_exact_commit
treatment,getsentry/sentry,2025-05,static_analysis_warnings,both,exact_match,True,975f8d773e5a6c5ed6595176a42ff31e887ec95d,975f8d773e5a6c5ed6595176a42ff31e887ec95d,18046.0,0.0,-18046.0,18046.0,ncloc_missing,ncloc_missing_exact_commit
treatment,getsentry/sentry,2025-03,static_analysis_warnings,both,exact_match,True,2d92281805254325dbedb3cafcfdd53d09b1d9df,2d92281805254325dbedb3cafcfdd53d09b1d9df,17945.0,0.0,-17945.0,17945.0,ncloc_missing,ncloc_missing_exact_commit
treatment,zauberzeug/nicegui,2025-04,static_analysis_warnings,both,exact_match,True,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,37736.0,25428.0,-12308.0,12308.0,ncloc_different,source_scope_difference_or_mixed
treatment,zauberzeug/nicegui,2025-04,code_smells,both,exact_match,True,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,33270.0,24822.0,-8448.0,8448.0,ncloc_different,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-01,static_analysis_warnings,both,exact_match,True,82c4055486147402d96748c0abd63de6850e83d1,82c4055486147402d96748c0abd63de6850e83d1,3573.0,2369.0,-1204.0,1204.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-11,static_analysis_warnings,both,exact_match,True,c08fd423affb8f7257d8fcb8e9a5afd869681415,c08fd423affb8f7257d8fcb8e9a5afd869681415,3536.0,2335.0,-1201.0,1201.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-02,static_analysis_warnings,both,exact_match,True,c3628b5ded79e88ab572dfd7bac6e5c1cd91f1d8,c3628b5ded79e88ab572dfd7bac6e5c1cd91f1d8,3560.0,2360.0,-1200.0,1200.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-05,static_analysis_warnings,both,exact_match,True,1c924825332db0360a98ffc39e7c9d87618d66aa,1c924825332db0360a98ffc39e7c9d87618d66aa,3625.0,2429.0,-1196.0,1196.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-03,static_analysis_warnings,both,exact_match,True,67cf3ad93e6873944bcdbd153c7305b03c2f51d4,67cf3ad93e6873944bcdbd153c7305b03c2f51d4,3581.0,2387.0,-1194.0,1194.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-07,static_analysis_warnings,both,exact_match,True,26abd13d37aca13903e1cf8e64b1f0f0959630f6,26abd13d37aca13903e1cf8e64b1f0f0959630f6,3655.0,2461.0,-1194.0,1194.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-06,static_analysis_warnings,both,exact_match,True,f9f78ed17fce4bcd63e24aaa39a9e47dddbd7f4f,f9f78ed17fce4bcd63e24aaa39a9e47dddbd7f4f,3642.0,2451.0,-1191.0,1191.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-09,static_analysis_warnings,both,exact_match,True,c1e85309a37c7c508f41c365f3002708f77f8cbf,c1e85309a37c7c508f41c365f3002708f77f8cbf,3560.0,2371.0,-1189.0,1189.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-08,static_analysis_warnings,both,exact_match,True,af4afd423a8cce60bcaf879e543f1b696e3f0caa,af4afd423a8cce60bcaf879e543f1b696e3f0caa,3675.0,2486.0,-1189.0,1189.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-12,static_analysis_warnings,both,exact_match,True,e6b077a2f4e4526dc00261698d752e7481547e66,e6b077a2f4e4526dc00261698d752e7481547e66,3549.0,2361.0,-1188.0,1188.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-04,static_analysis_warnings,both,exact_match,True,fe4697fca14149122b2d992e53f8a0396755ebff,fe4697fca14149122b2d992e53f8a0396755ebff,3581.0,2397.0,-1184.0,1184.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-08,static_analysis_warnings,both,exact_match,True,523c5afc8405d8726f7cf8867bbd5f75a75ce24e,523c5afc8405d8726f7cf8867bbd5f75a75ce24e,3463.0,2302.0,-1161.0,1161.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-10,static_analysis_warnings,both,exact_match,True,cbb5fc6a80505309a1b00b37b77d772255490afa,cbb5fc6a80505309a1b00b37b77d772255490afa,3457.0,2326.0,-1131.0,1131.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-07,static_analysis_warnings,both,exact_match,True,cdbf62d31e3f4f8ab0702b386c32dd06473d95e7,cdbf62d31e3f4f8ab0702b386c32dd06473d95e7,3384.0,2270.0,-1114.0,1114.0,ncloc_close,source_scope_difference_or_mixed
