metric,cause_category,source_group,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
bugs,commit_selection_difference,control,41,41,13,33,8,2,6,-2.5121951219512195,0.0,0.0,4.0,25.0,38.0,111.0,7.487804878048781,4.975609756097561,0.1951219512195122,0.04878048780487805,0.14634146341463414,0.0015989628349178911
bugs,commit_selection_difference,treatment,60,60,24,12,48,18,30,-43.45,-0.5,3.5,64.20000000000002,87.49999999999957,1732.0,2969.0,70.08333333333333,26.633333333333333,0.8,0.3,0.5,0.042768654566407376
bugs,ncloc_missing_exact_commit,control,18,18,9,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bugs,ncloc_missing_exact_commit,treatment,4,4,3,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bugs,paper_commit_missing,control,304,304,60,218,86,35,51,-9.802631578947368,0.0,0.0,19.0,19.0,338.0,3340.0,16.89144736842105,7.088815789473684,0.28289473684210525,0.11513157894736842,0.16776315789473684,0.04811293575338519
bugs,paper_commit_missing,treatment,118,118,35,45,73,36,37,10.703389830508474,0.0,2.0,16.599999999999994,25.0,287.0,1889.0,36.144067796610166,46.847457627118644,0.6186440677966102,0.3050847457627119,0.3135593220338983,0.02721117833477384
bugs,rule_config_analyzer_profile_signal,control,491,491,104,318,173,77,96,-9.382892057026476,0.0,0.0,8.0,23.0,338.0,5217.0,15.39714867617108,6.014256619144603,0.35234215885947046,0.15682281059063136,0.1955193482688391,0.07515125324114089
bugs,rule_config_analyzer_profile_signal,treatment,420,420,74,244,176,69,107,-1.0285714285714285,0.0,0.0,10.0,17.0,75.0,1380.0,6.973809523809524,5.945238095238095,0.41904761904761906,0.16428571428571428,0.25476190476190474,0.019878997407087293
bugs,source_scope_difference_or_mixed,control,220,220,25,29,191,59,132,-3.5,-4.0,6.5,34.0,35.0,60.0,2586.0,32.42727272727273,28.927272727272726,0.8681818181818182,0.2681818181818182,0.6,0.03725151253241141
bugs,source_scope_difference_or_mixed,treatment,357,357,38,70,287,83,204,-122.80112044817928,-1.0,6.0,287.0,636.1999999999996,3864.0,51928.0,265.35854341736695,142.55742296918768,0.803921568627451,0.23249299719887956,0.5714285714285714,0.7480265053298761
code_smells,commit_selection_difference,control,41,41,13,1,40,35,5,11.365853658536585,2.0,2.0,53.0,162.0,385.0,1286.0,135.0,146.3658536585366,0.975609756097561,0.8536585365853658,0.12195121951219512,0.004199512778144247
