source_group,metric,exact_commit_rows,comparable_non_null,identical_rows,identical_share_among_non_null,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,max_abs_diff,paper_mean,our_mean
control,ncloc,729,711,491,0.6905766526019691,439.0464135021097,0.0,0.0,364.0,545.0,16661.999999999993,22159.0,17963.48663853727,18402.53305203938
treatment,ncloc,788,777,420,0.5405405405405406,582.2020592020592,0.0,0.0,676.0,2679.399999999979,31276.160000000018,133392.0,96418.46718146717,97000.66924066925
control,bugs,729,729,365,0.5006858710562414,-7.3758573388203015,0.0,0.0,20.0,34.60000000000002,337.0,338.0,20.156378600823047,12.780521262002743
treatment,bugs,788,781,318,0.40717029449423814,-56.68629961587708,0.0,1.0,87.0,287.0,2086.0,3864.0,125.04737516005122,68.36107554417414
control,vulnerabilities,729,729,425,0.5829903978052127,2.6227709190672153,0.0,0.0,7.0,11.200000000000045,18.720000000000027,137.0,0.49794238683127573,3.1207133058984913
treatment,vulnerabilities,788,781,330,0.4225352112676056,5.3572343149807935,1.0,1.0,23.0,31.0,68.20000000000005,87.0,6.801536491677337,12.158770806658131
control,code_smells,729,729,80,0.10973936899862825,23.104252400548695,3.0,12.0,218.0,288.6,679.0,1018.0,275.95061728395063,299.0548696844993
treatment,code_smells,788,781,73,0.09346991037131883,188.64788732394365,11.0,26.0,830.0,1315.0,4107.0,8448.0,1492.8514724711908,1681.4993597951345
control,duplicated_lines_density,729,711,621,0.8734177215189873,0.046413502109704644,0.0,0.0,0.3999999999999999,1.1,3.4899999999999975,6.499999999999999,7.702672292545711,7.749085794655415
treatment,duplicated_lines_density,788,777,618,0.7953667953667953,-0.3601029601029601,0.0,0.0,0.7000000000000001,1.5999999999999996,26.124000000000002,46.599999999999994,5.335006435006434,4.974903474903475
control,comment_lines_density,729,711,621,0.8734177215189873,-0.14725738396624474,0.0,0.0,0.10000000000000142,0.3000000000000007,6.089999999999999,7.0,15.200984528832633,15.053727144866386
treatment,comment_lines_density,788,777,636,0.8185328185328186,-0.005019305019305036,0.0,0.0,0.10000000000000142,0.3000000000000007,1.8720000000000019,15.7,16.15958815958816,16.154568854568854
control,cognitive_complexity,729,710,626,0.8816901408450705,20.27323943661972,0.0,0.0,21.0,58.549999999999955,809.4899999999988,2180.0,1904.8422535211268,1925.1154929577465
treatment,cognitive_complexity,788,777,675,0.8687258687258688,-58.24581724581724,0.0,0.0,16.59999999999991,124.59999999999843,1951.880000000004,29442.0,8385.752895752896,8327.507078507078
control,technical_debt,729,729,87,0.11934156378600823,50.925925925925924,10.0,60.0,1051.400000000002,1447.8000000000002,3333.280000000005,3580.0,1928.4650205761318,1979.3909465020577
treatment,technical_debt,788,781,52,0.06658130601792574,281.0627400768246,24.0,122.0,3855.0,5376.0,17963.800000000003,56847.0,10232.326504481434,10513.389244558259
control,static_analysis_warnings,729,729,78,0.10699588477366255,18.35116598079561,3.0,15.0,246.60000000000014,347.4000000000002,698.0,1095.0,296.60493827160496,314.95610425240056
treatment,static_analysis_warnings,788,788,52,0.06598984771573604,-76.41751269035532,10.0,31.0,872.7000000000013,1189.0,5646.39,37725.0,1822.784263959391,1746.3667512690356
