source_group,repo_name,time,commit_match_status,paper_latest_commit,our_latest_commit,ncloc_scope_status,metric,paper_value,our_value,diff,abs_diff
treatment,zauberzeug/nicegui,2025-04,exact_match,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,ncloc_different,code_smells,33270.0,24822.0,-8448.0,8448.0
treatment,zauberzeug/nicegui,2025-02,exact_match,b71074ef73498f532234a837ea04a08ffbf4e804,b71074ef73498f532234a837ea04a08ffbf4e804,ncloc_close,code_smells,33269.0,41102.0,7833.0,7833.0
treatment,zauberzeug/nicegui,2025-01,exact_match,7a540bf3dded6f1e58d32bf21a97d9a5c013afc1,7a540bf3dded6f1e58d32bf21a97d9a5c013afc1,ncloc_close,code_smells,33269.0,41099.0,7830.0,7830.0
treatment,zauberzeug/nicegui,2025-03,exact_match,745167c81c219beda5ebaf850dfb7a3e772f96ac,745167c81c219beda5ebaf850dfb7a3e772f96ac,ncloc_close,code_smells,33270.0,41099.0,7829.0,7829.0
treatment,zauberzeug/nicegui,2024-12,exact_match,343dc0da8de0cf2f645cf8b5d76f5b439cb817f3,343dc0da8de0cf2f645cf8b5d76f5b439cb817f3,ncloc_close,code_smells,33267.0,41092.0,7825.0,7825.0
treatment,zauberzeug/nicegui,2024-11,exact_match,25a633450d1223dcc8f1ad59d260d2e844b5519d,25a633450d1223dcc8f1ad59d260d2e844b5519d,ncloc_close,code_smells,33267.0,41078.0,7811.0,7811.0
treatment,zauberzeug/nicegui,2025-05,exact_match,947772d66c6d108a7d12fe65b8b76f6110f7d20e,947772d66c6d108a7d12fe65b8b76f6110f7d20e,ncloc_close,code_smells,20715.0,24824.0,4109.0,4109.0
treatment,zauberzeug/nicegui,2025-07,exact_match,30a70325d55e110b87a6279664e6b7987ceb2067,30a70325d55e110b87a6279664e6b7987ceb2067,ncloc_close,code_smells,20733.0,24840.0,4107.0,4107.0
treatment,zauberzeug/nicegui,2025-08,exact_match,47a9542199eda065b82bfefe2f159323621d3d38,47a9542199eda065b82bfefe2f159323621d3d38,ncloc_close,code_smells,20735.0,24842.0,4107.0,4107.0
treatment,zauberzeug/nicegui,2025-06,exact_match,b3ea0df4e3b73a6e9e8f8fa57b8c052deb8f3694,b3ea0df4e3b73a6e9e8f8fa57b8c052deb8f3694,ncloc_close,code_smells,20717.0,24823.0,4106.0,4106.0
treatment,zauberzeug/nicegui,2024-07,exact_match,b0bc2078fb1e70607879d82ce96e3a488bc41f69,b0bc2078fb1e70607879d82ce96e3a488bc41f69,ncloc_close,code_smells,19352.0,22721.0,3369.0,3369.0
treatment,zauberzeug/nicegui,2024-06,exact_match,462af82d7027979fe68e7245b772c2c6cdbe7d94,462af82d7027979fe68e7245b772c2c6cdbe7d94,ncloc_close,code_smells,19352.0,22718.0,3366.0,3366.0
treatment,zauberzeug/nicegui,2024-05,exact_match,92a0cf0fdaee28ffba8329483e55f2a5d5c529fe,92a0cf0fdaee28ffba8329483e55f2a5d5c529fe,ncloc_close,code_smells,19350.0,22711.0,3361.0,3361.0
treatment,zauberzeug/nicegui,2024-04,exact_match,1bce2bad367d5baf842badb51a0d78c8543a49ef,1bce2bad367d5baf842badb51a0d78c8543a49ef,ncloc_close,code_smells,19343.0,22702.0,3359.0,3359.0
treatment,zauberzeug/nicegui,2024-03,exact_match,fff7b27eea91bf2b3d3f3080f0919c3ac62978b8,fff7b27eea91bf2b3d3f3080f0919c3ac62978b8,ncloc_close,code_smells,19341.0,22694.0,3353.0,3353.0
