metric,cause_category,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
bugs,commit_selection_difference,100,100,36,44,56,20,36,-27.1,0.0,1.0,39.70000000000006,75.1,1732.0,3080.0,45.1,18.0,0.56,0.2,0.36,0.04796835334610413
bugs,paper_commit_missing,1,1,1,0,1,0,1,-18.0,-18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,1.0,0.0,1.0,0.00028033453254216697
bugs,rule_config_analyzer_profile_signal,910,910,178,561,349,146,203,-5.537362637362637,0.0,0.0,8.0,17.0,338.0,6597.0,11.526373626373626,5.989010989010989,0.38351648351648354,0.16043956043956045,0.2230769230769231,0.10274260617670421
bugs,source_scope_difference_or_mixed,577,577,63,99,478,142,336,-77.31369150779896,-2.0,6.0,185.0,352.79999999999905,3864.0,54514.0,176.54592720970538,99.23223570190642,0.82842287694974,0.24610051993067592,0.5823223570190641,0.8490087059446495
code_smells,commit_selection_difference,100,100,36,2,98,90,8,88.28,12.5,16.5,158.40000000000003,362.29999999999995,3320.0,9698.0,535.03,623.31,0.98,0.9,0.08,0.0349521561277999
code_smells,paper_commit_missing,1,1,1,0,1,0,1,-208.0,-208.0,208.0,208.0,208.0,208.0,208.0,209.0,1.0,1.0,0.0,1.0,0.000749644099255762
code_smells,rule_config_analyzer_profile_signal,910,910,178,127,783,538,245,6.642857142857143,2.0,8.0,55.0,212.84999999999968,837.0,31913.0,130.23296703296703,136.87582417582416,0.8604395604395605,0.5912087912087912,0.2692307692307692,0.11501630836321698
code_smells,source_scope_difference_or_mixed,577,577,63,3,574,427,147,274.0589254766031,48.0,120.0,990.5999999999999,1508.0,8448.0,235646.0,2163.904679376083,2437.9636048526863,0.9948006932409013,0.7400346620450606,0.25476603119584057,0.8492818914097273
cognitive_complexity,commit_selection_difference,100,100,36,71,29,26,3,75.03,0.0,0.0,69.1000000000001,429.99999999999983,3603.0,7595.0,3662.42,3737.45,0.29,0.26,0.03,0.050386105508969325
cognitive_complexity,paper_commit_missing,1,1,1,0,1,0,1,-1446.0,-1446.0,1446.0,1446.0,1446.0,1446.0,1446.0,1573.0,127.0,1.0,0.0,1.0,0.009592930686763613
cognitive_complexity,rule_config_analyzer_profile_signal,910,910,178,909,1,0,1,-0.001098901098901099,0.0,0.0,0.0,0.0,1.0,1.0,944.0593406593407,944.0582417582417,0.001098901098901099,0.0,0.001098901098901099,6.6341152743870075e-06
cognitive_complexity,source_scope_difference_or_mixed,577,577,63,392,185,135,50,-53.487001733102254,0.0,0.0,165.0,736.3999999999968,29442.0,141694.0,12147.441941074523,12093.954939341422,0.32062391681109187,0.2339688041594454,0.08665511265164645,0.9400143296889927
comment_lines_density,commit_selection_difference,100,100,36,73,27,14,13,0.10400000000000004,0.0,0.0,0.3999999999999995,1.315,14.5,32.599999999999994,12.043,12.147,0.27,0.14,0.13,0.13118712273641847
comment_lines_density,paper_commit_missing,1,1,1,0,1,0,1,-9.1,-9.1,9.1,9.1,9.1,9.1,9.1,16.1,7.0,1.0,0.0,1.0,0.03661971830985915
