cause_category,source_group,repo_name,time,metric,commit_match_status,ncloc_scope_status,paper_latest_commit,our_latest_commit,paper_value,our_value,diff,abs_diff,is_treatment,post_event,time_to_event
source_scope_difference_or_mixed,treatment,zauberzeug/nicegui,2025-04,ncloc,exact_match,ncloc_different,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,211510.0,78118.0,-133392.0,133392.0,1,1,1.0
source_scope_difference_or_mixed,treatment,zauberzeug/nicegui,2025-04,technical_debt,exact_match,ncloc_different,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,193776.0,136929.0,-56847.0,56847.0,1,1,1.0
source_scope_difference_or_mixed,treatment,zauberzeug/nicegui,2025-04,cognitive_complexity,exact_match,ncloc_different,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,94814.0,65372.0,-29442.0,29442.0,1,1,1.0
source_scope_difference_or_mixed,treatment,wdm0006/elote,2025-02,cognitive_complexity,exact_match,ncloc_different,6371b529b88402434e8cafaaf0ed137b412bfd6b,6371b529b88402434e8cafaaf0ed137b412bfd6b,25342.0,275.0,-25067.0,25067.0,1,1,0.0
source_scope_difference_or_mixed,treatment,wdm0006/elote,2024-07,cognitive_complexity,exact_match,ncloc_different,75739e6ad51f3d50fdd047a0136f56b6274ad080,75739e6ad51f3d50fdd047a0136f56b6274ad080,25213.0,146.0,-25067.0,25067.0,0,0,-7.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2025-01,technical_debt,exact_match,ncloc_close,82c4055486147402d96748c0abd63de6850e83d1,82c4055486147402d96748c0abd63de6850e83d1,35928.0,18884.0,-17044.0,17044.0,0,0,-2.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2025-02,technical_debt,exact_match,ncloc_close,c3628b5ded79e88ab572dfd7bac6e5c1cd91f1d8,c3628b5ded79e88ab572dfd7bac6e5c1cd91f1d8,35815.0,18781.0,-17034.0,17034.0,0,0,-1.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2025-03,technical_debt,exact_match,ncloc_close,67cf3ad93e6873944bcdbd153c7305b03c2f51d4,67cf3ad93e6873944bcdbd153c7305b03c2f51d4,36164.0,19179.0,-16985.0,16985.0,1,1,0.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2025-04,technical_debt,exact_match,ncloc_close,fe4697fca14149122b2d992e53f8a0396755ebff,fe4697fca14149122b2d992e53f8a0396755ebff,36164.0,19262.0,-16902.0,16902.0,1,1,1.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2025-07,technical_debt,exact_match,ncloc_close,26abd13d37aca13903e1cf8e64b1f0f0959630f6,26abd13d37aca13903e1cf8e64b1f0f0959630f6,36876.0,20039.0,-16837.0,16837.0,1,1,4.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2025-08,technical_debt,exact_match,ncloc_close,af4afd423a8cce60bcaf879e543f1b696e3f0caa,af4afd423a8cce60bcaf879e543f1b696e3f0caa,37132.0,20324.0,-16808.0,16808.0,1,1,5.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-12,technical_debt,exact_match,ncloc_close,e6b077a2f4e4526dc00261698d752e7481547e66,e6b077a2f4e4526dc00261698d752e7481547e66,35613.0,18850.0,-16763.0,16763.0,0,0,-3.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-11,technical_debt,exact_match,ncloc_close,c08fd423affb8f7257d8fcb8e9a5afd869681415,c08fd423affb8f7257d8fcb8e9a5afd869681415,35413.0,18688.0,-16725.0,16725.0,0,0,-4.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2025-06,technical_debt,exact_match,ncloc_close,f9f78ed17fce4bcd63e24aaa39a9e47dddbd7f4f,f9f78ed17fce4bcd63e24aaa39a9e47dddbd7f4f,36392.0,19823.0,-16569.0,16569.0,1,1,3.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2025-05,technical_debt,exact_match,ncloc_close,1c924825332db0360a98ffc39e7c9d87618d66aa,1c924825332db0360a98ffc39e7c9d87618d66aa,36154.0,19633.0,-16521.0,16521.0,1,1,2.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-09,technical_debt,exact_match,ncloc_close,c1e85309a37c7c508f41c365f3002708f77f8cbf,c1e85309a37c7c508f41c365f3002708f77f8cbf,34980.0,18765.0,-16215.0,16215.0,0,0,-6.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-08,technical_debt,exact_match,ncloc_close,523c5afc8405d8726f7cf8867bbd5f75a75ce24e,523c5afc8405d8726f7cf8867bbd5f75a75ce24e,34216.0,18366.0,-15850.0,15850.0,0,0,-7.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-07,technical_debt,exact_match,ncloc_close,cdbf62d31e3f4f8ab0702b386c32dd06473d95e7,cdbf62d31e3f4f8ab0702b386c32dd06473d95e7,34055.0,18238.0,-15817.0,15817.0,0,0,-8.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-10,technical_debt,exact_match,ncloc_close,cbb5fc6a80505309a1b00b37b77d772255490afa,cbb5fc6a80505309a1b00b37b77d772255490afa,33907.0,18588.0,-15319.0,15319.0,0,0,-5.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-06,technical_debt,exact_match,ncloc_close,40193a9e2b1b854a8f3b95dd0e7041259f22653d,40193a9e2b1b854a8f3b95dd0e7041259f22653d,32532.0,18100.0,-14432.0,14432.0,0,0,-9.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-05,technical_debt,exact_match,ncloc_close,970e957779bbea1ac84e41927e6e0bd9f118f7ba,970e957779bbea1ac84e41927e6e0bd9f118f7ba,32175.0,18060.0,-14115.0,14115.0,0,0,-10.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-04,technical_debt,exact_match,ncloc_close,6d0b7455cbbd6b6bfc4a6d2a4ad3345d7a3b31ec,6d0b7455cbbd6b6bfc4a6d2a4ad3345d7a3b31ec,31816.0,17915.0,-13901.0,13901.0,0,0,-11.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-03,technical_debt,exact_match,ncloc_close,de516ffa17050c785c973acb4fcbab0a92a4253b,de516ffa17050c785c973acb4fcbab0a92a4253b,31209.0,17778.0,-13431.0,13431.0,0,0,-12.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-01,technical_debt,exact_match,ncloc_close,3f21b7bd08df0737cb477548d027a7a93f92f1ff,3f21b7bd08df0737cb477548d027a7a93f92f1ff,30811.0,17557.0,-13254.0,13254.0,0,0,-14.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,2024-02,technical_debt,exact_match,ncloc_close,1209aff535676d2788511da7ff82444c89640360,1209aff535676d2788511da7ff82444c89640360,30576.0,17387.0,-13189.0,13189.0,0,0,-13.0
source_scope_difference_or_mixed,treatment,zauberzeug/nicegui,2025-04,static_analysis_warnings,exact_match,ncloc_different,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,37736.0,25428.0,-12308.0,12308.0,1,1,1.0
source_scope_difference_or_mixed,control,odoo/industry,2024-09,ncloc,exact_match,ncloc_different,363fb6fddebfa90b4696d652a0e31ca4e48a0eef,363fb6fddebfa90b4696d652a0e31ca4e48a0eef,79415.0,70067.0,-9348.0,9348.0,0,0,
source_scope_difference_or_mixed,treatment,wdm0006/elote,2024-07,ncloc,exact_match,ncloc_different,75739e6ad51f3d50fdd047a0136f56b6274ad080,75739e6ad51f3d50fdd047a0136f56b6274ad080,10123.0,906.0,-9217.0,9217.0,0,0,-7.0
source_scope_difference_or_mixed,treatment,wdm0006/elote,2025-02,ncloc,exact_match,ncloc_different,6371b529b88402434e8cafaaf0ed137b412bfd6b,6371b529b88402434e8cafaaf0ed137b412bfd6b,11558.0,2341.0,-9217.0,9217.0,1,1,0.0
