metric,cause_category,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
bugs,commit_selection_difference,101,101,37,45,56,20,36,-26.831683168316832,0.0,1.0,39.0,75.0,1732.0,3080.0,44.67326732673267,17.84158415841584,0.5544554455445545,0.19801980198019803,0.3564356435643564,0.04436761740132527
bugs,ncloc_missing_exact_commit,22,22,12,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bugs,paper_commit_missing,422,422,95,263,159,71,88,-4.068720379146919,0.0,0.0,19.0,25.0,338.0,5229.0,22.274881516587676,18.20616113744076,0.3767772511848341,0.16824644549763032,0.20853080568720378,0.07532411408815903
bugs,rule_config_analyzer_profile_signal,911,911,178,562,349,146,203,-5.531284302963776,0.0,0.0,8.0,17.0,338.0,6597.0,11.513721185510429,5.982436882546652,0.38309549945115257,0.1602634467618002,0.22283205268935236,0.09503025064822818
bugs,source_scope_difference_or_mixed,577,577,63,99,478,142,336,-77.31369150779896,-2.0,6.0,185.0,352.79999999999905,3864.0,54514.0,176.54592720970538,99.23223570190642,0.82842287694974,0.24610051993067592,0.5823223570190641,0.7852780178622876
code_smells,commit_selection_difference,101,101,37,2,99,91,8,87.41584158415841,12.0,16.0,158.0,362.0,3320.0,9699.0,529.8514851485148,617.2673267326733,0.9801980198019802,0.900990099009901,0.07920792079207921,0.031672686186019476
code_smells,ncloc_missing_exact_commit,22,22,12,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code_smells,paper_commit_missing,422,422,95,74,348,260,88,0.4881516587677725,2.0,6.0,217.90000000000003,344.0,1017.0,28968.0,286.7582938388626,287.2464454976303,0.8246445497630331,0.6161137440758294,0.20853080568720378,0.09459680105542966
code_smells,rule_config_analyzer_profile_signal,911,911,178,128,783,538,245,6.635565312843029,2.0,8.0,55.0,212.5,837.0,31913.0,130.0900109769484,136.72557628979143,0.8594950603732162,0.5905598243688255,0.2689352360043908,0.10421388125110213
code_smells,source_scope_difference_or_mixed,577,577,63,3,574,427,147,274.0589254766031,48.0,120.0,990.5999999999999,1508.0,8448.0,235646.0,2163.904679376083,2437.9636048526863,0.9948006932409013,0.7400346620450606,0.25476603119584057,0.7695166315074488
cognitive_complexity,commit_selection_difference,101,101,37,72,29,26,3,74.2871287128713,0.0,0.0,68.0,427.0,3603.0,7595.0,3628.732673267327,3703.019801980198,0.2871287128712871,0.25742574257425743,0.0297029702970297,0.022308905644637785
cognitive_complexity,paper_commit_missing,413,413,93,385,28,3,25,-462.51573849878935,0.0,0.0,0.0,2180.0,25067.0,191157.0,2248.3849878934625,1785.869249394673,0.06779661016949153,0.007263922518159807,0.06053268765133172,0.5614882786454279
cognitive_complexity,rule_config_analyzer_profile_signal,910,910,178,909,1,0,1,-0.001098901098901099,0.0,0.0,0.0,0.0,1.0,1.0,944.0593406593407,944.0582417582417,0.001098901098901099,0.0,0.001098901098901099,2.937314765587595e-06
cognitive_complexity,source_scope_difference_or_mixed,577,577,63,392,185,135,50,-53.487001733102254,0.0,0.0,165.0,736.3999999999968,29442.0,141694.0,12147.441941074523,12093.954939341422,0.32062391681109187,0.2339688041594454,0.08665511265164645,0.4161998783951687
comment_lines_density,commit_selection_difference,101,101,37,74,27,14,13,0.102970297029703,0.0,0.0,0.3999999999999994,1.3000000000000007,14.5,32.599999999999994,12.124752475247524,12.227722772277227,0.26732673267326734,0.13861386138613863,0.12871287128712872,0.08101391650099402
comment_lines_density,paper_commit_missing,418,418,94,360,58,37,21,0.31435406698564594,0.0,0.0,0.29999999999999993,5.4,9.1,163.0,16.011004784688996,16.32535885167464,0.13875598086124402,0.08851674641148326,0.050239234449760764,0.40506958250497016
comment_lines_density,rule_config_analyzer_profile_signal,911,911,178,910,1,0,1,-0.00032930845225027423,0.0,0.0,0.0,0.0,0.2999999999999998,0.2999999999999998,17.296926454445664,17.296597145993413,0.0010976948408342481,0.0,0.0010976948408342481,0.0007455268389662023
comment_lines_density,source_scope_difference_or_mixed,577,577,63,347,230,105,125,-0.1876949740034662,0.0,0.0,0.3999999999999989,1.419999999999992,15.7,206.50000000000003,13.182668977469671,12.994974003466206,0.3986135181975737,0.18197573656845753,0.21663778162911612,0.5131709741550696
duplicated_lines_density,commit_selection_difference,101,101,37,80,21,11,10,0.2386138613861386,0.0,0.0,1.0999999999999996,3.3999999999999986,25.3,86.9,7.824752475247524,8.063366336633663,0.2079207920792079,0.10891089108910891,0.09900990099009901,0.09716010733452593
duplicated_lines_density,paper_commit_missing,418,418,94,356,62,7,55,-0.2906698564593302,0.0,0.0,0.5,1.644999999999993,5.7,133.70000000000005,9.350956937799042,9.060287081339713,0.14832535885167464,0.01674641148325359,0.13157894736842105,0.1494856887298748
duplicated_lines_density,rule_config_analyzer_profile_signal,911,911,178,894,17,1,16,-0.02239297475301866,0.0,0.0,0.0,0.0,6.499999999999999,21.4,5.499121844127332,5.4767288693743135,0.018660812294182216,0.0010976948408342481,0.01756311745334797,0.023926654740608226
duplicated_lines_density,source_scope_difference_or_mixed,577,577,63,345,232,72,160,-0.3923743500866552,0.0,0.0,1.5999999999999996,3.299999999999999,46.6,652.4,7.993414211438474,7.60103986135182,0.4020797227036395,0.12478336221837089,0.2772963604852686,0.729427549194991
ncloc,commit_selection_difference,101,101,37,53,48,40,8,935.2178217821782,0.0,0.0,561.0,2515.0,68575.0,95257.0,28621.762376237624,29556.980198019803,0.4752475247524752,0.39603960396039606,0.07920792079207921,0.05856916063802184
ncloc,paper_commit_missing,418,418,94,327,91,42,49,-389.72727272727275,0.0,0.0,662.0,7017.0,9217.0,247694.0,13869.334928229666,13479.607655502392,0.21770334928229665,0.10047846889952153,0.11722488038277512,0.15229568089562112
ncloc,rule_config_analyzer_profile_signal,911,911,178,911,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8634.40614709111,8634.40614709111,0.0,0.0,0.0,0.0
ncloc,source_scope_difference_or_mixed,577,577,63,0,577,298,279,1325.0138648180243,2.0,43.0,4486.0,10360.399999999976,133392.0,1283451.0,138341.84402079723,139666.85788561526,1.0,0.5164644714038128,0.48353552859618715,0.7891351584663571
static_analysis_warnings,commit_selection_difference,101,101,37,1,100,82,18,67.00990099009901,5.0,13.0,192.0,388.0,1591.0,8806.0,575.2277227722773,642.2376237623762,0.9900990099009901,0.8118811881188119,0.1782178217821782,0.01734041442920972
static_analysis_warnings,ncloc_missing_exact_commit,29,29,15,22,7,0,7,-5774.586206896552,0.0,0.0,22138.999999999985,37722.0,37725.0,167463.0,5774.586206896552,0.0,0.2413793103448276,0.0,0.2413793103448276,0.32976127885064127
static_analysis_warnings,paper_commit_missing,551,551,108,75,476,386,90,85.01633393829401,7.0,14.0,241.0,557.0,10016.0,81490.0,236.97822141560798,321.994555353902,0.8638838475499092,0.7005444646098004,0.16333938294010888,0.1604667694567681
static_analysis_warnings,rule_config_analyzer_profile_signal,911,911,178,108,803,540,263,2.221734357848518,3.0,9.0,55.0,228.5,841.0,38166.0,141.86059275521404,144.08232711306258,0.8814489571899012,0.5927552140504939,0.28869374313940727,0.07515492358678379
static_analysis_warnings,source_scope_difference_or_mixed,577,577,63,0,577,428,149,205.54592720970538,53.0,121.0,1063.8,1196.7999999999997,12308.0,211906.0,2349.880415944541,2555.4263431542463,1.0,0.7417677642980935,0.2582322357019064,0.41727661367659713
technical_debt,commit_selection_difference,101,101,37,27,74,63,11,319.64356435643566,45.0,60.0,770.0,1157.0,13489.0,38216.0,3570.366336633663,3890.009900990099,0.7326732673267327,0.6237623762376238,0.10891089108910891,0.023472687572361733
technical_debt,ncloc_missing_exact_commit,22,22,12,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
technical_debt,paper_commit_missing,422,422,95,79,343,256,87,-63.89099526066351,10.0,25.0,1090.0,3190.0,5328.0,179310.0,1932.0995260663508,1868.2085308056871,0.8127962085308057,0.6066350710900474,0.20616113744075829,0.1101341743929292
technical_debt,rule_config_analyzer_profile_signal,911,911,178,115,796,521,275,29.153677277716795,6.0,40.0,305.0,928.0,3580.0,155985.0,831.4467618002195,860.6004390779364,0.8737650933040615,0.5718990120746432,0.3018660812294182,0.0958077028201498
technical_debt,source_scope_difference_or_mixed,577,577,63,2,575,384,191,398.74523396880414,135.0,399.0,4575.999999999998,13739.199999999999,56847.0,1254594.0,14973.74350086655,15372.488734835355,0.9965337954939342,0.6655112651646448,0.3310225303292894,0.7705854352145592
vulnerabilities,commit_selection_difference,101,101,37,37,64,64,0,6.425742574257426,2.0,2.0,20.0,30.0,83.0,649.0,0.7029702970297029,7.128712871287129,0.6336633663366337,0.6336633663366337,0.0,0.07223149693934335
vulnerabilities,ncloc_missing_exact_commit,22,22,12,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vulnerabilities,paper_commit_missing,422,422,95,254,168,166,2,2.928909952606635,0.0,0.0,6.0,10.0,137.0,1240.0,0.3862559241706161,3.315165876777251,0.3981042654028436,0.3933649289099526,0.004739336492890996,0.13800779076238176
vulnerabilities,rule_config_analyzer_profile_signal,911,911,178,605,306,263,43,1.1174533479692645,0.0,0.0,4.0,6.0,19.0,1104.0,0.25686059275521406,1.3743139407244787,0.3358946212952799,0.28869374313940727,0.04720087815587267,0.12287145242070117
vulnerabilities,source_scope_difference_or_mixed,577,577,63,128,449,429,20,8.800693240901213,3.0,4.0,29.0,36.0,137.0,5992.0,9.429809358752166,18.23050259965338,0.7781629116117851,0.7435008665511266,0.03466204506065858,0.6668892598775737
