metric,cause_category,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
bugs,commit_selection_difference,100,100,36,44,56,20,36,-27.1,0.0,1.0,39.70000000000006,75.1,1732.0,3080.0,45.1,18.0,0.56,0.2,0.36,0.04796835334610413
bugs,paper_commit_missing,1,1,1,0,1,0,1,-18.0,-18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,1.0,0.0,1.0,0.00028033453254216697
bugs,rule_config_analyzer_profile_signal,910,910,178,561,349,146,203,-5.537362637362637,0.0,0.0,8.0,17.0,338.0,6597.0,11.526373626373626,5.989010989010989,0.38351648351648354,0.16043956043956045,0.2230769230769231,0.10274260617670421
bugs,source_scope_difference_or_mixed,577,577,63,99,478,142,336,-77.31369150779896,-2.0,6.0,185.0,352.79999999999905,3864.0,54514.0,176.54592720970538,99.23223570190642,0.82842287694974,0.24610051993067592,0.5823223570190641,0.8490087059446495
code_smells,commit_selection_difference,100,100,36,2,98,90,8,88.28,12.5,16.5,158.40000000000003,362.29999999999995,3320.0,9698.0,535.03,623.31,0.98,0.9,0.08,0.0349521561277999
code_smells,paper_commit_missing,1,1,1,0,1,0,1,-208.0,-208.0,208.0,208.0,208.0,208.0,208.0,209.0,1.0,1.0,0.0,1.0,0.000749644099255762
code_smells,rule_config_analyzer_profile_signal,910,910,178,127,783,538,245,6.642857142857143,2.0,8.0,55.0,212.84999999999968,837.0,31913.0,130.23296703296703,136.87582417582416,0.8604395604395605,0.5912087912087912,0.2692307692307692,0.11501630836321698
code_smells,source_scope_difference_or_mixed,577,577,63,3,574,427,147,274.0589254766031,48.0,120.0,990.5999999999999,1508.0,8448.0,235646.0,2163.904679376083,2437.9636048526863,0.9948006932409013,0.7400346620450606,0.25476603119584057,0.8492818914097273
static_analysis_warnings,commit_selection_difference,100,100,36,1,99,81,18,67.67,5.5,14.0,192.9000000000001,388.59999999999997,1591.0,8805.0,580.84,648.51,0.99,0.81,0.18,0.033982624670497834
static_analysis_warnings,paper_commit_missing,1,1,1,0,1,0,1,-226.0,-226.0,226.0,226.0,226.0,226.0,226.0,227.0,1.0,1.0,0.0,1.0,0.0008722399972211823
static_analysis_warnings,rule_config_analyzer_profile_signal,910,910,178,107,803,540,263,2.2241758241758243,3.0,9.0,55.200000000000045,228.54999999999995,841.0,38166.0,142.0164835164835,144.24065934065933,0.8824175824175824,0.5934065934065934,0.289010989010989,0.14730049439798074
static_analysis_warnings,source_scope_difference_or_mixed,577,577,63,0,577,428,149,205.54592720970538,53.0,121.0,1063.8,1196.7999999999997,12308.0,211906.0,2349.880415944541,2555.4263431542463,1.0,0.7417677642980935,0.2582322357019064,0.8178446409343002
technical_debt,commit_selection_difference,100,100,36,27,73,62,11,322.79,48.0,60.0,770.8000000000001,1172.3999999999992,13489.0,38211.0,3604.37,3927.16,0.73,0.62,0.11,0.02635137791135107
technical_debt,paper_commit_missing,1,1,1,0,1,0,1,-1267.0,-1267.0,1267.0,1267.0,1267.0,1267.0,1267.0,1273.0,6.0,1.0,0.0,1.0,0.0008737587556902935
technical_debt,rule_config_analyzer_profile_signal,910,910,178,114,796,521,275,29.185714285714287,7.0,40.0,306.10000000000025,931.1999999999971,3580.0,155985.0,832.3604395604395,861.5461538461539,0.8747252747252747,0.5725274725274725,0.3021978021978022,0.10757163339096325
technical_debt,source_scope_difference_or_mixed,577,577,63,2,575,384,191,398.74523396880414,135.0,399.0,4575.999999999998,13739.199999999999,56847.0,1254594.0,14973.74350086655,15372.488734835355,0.9965337954939342,0.6655112651646448,0.3310225303292894,0.8652032299419954
vulnerabilities,commit_selection_difference,100,100,36,36,64,64,0,6.49,2.0,2.0,20.60000000000005,30.0,83.0,649.0,0.71,7.2,0.64,0.64,0.0,0.08379599741768883
vulnerabilities,paper_commit_missing,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vulnerabilities,rule_config_analyzer_profile_signal,910,910,178,604,306,263,43,1.1186813186813187,0.0,0.0,4.0,6.0,19.0,1104.0,0.2571428571428571,1.3758241758241758,0.3362637362637363,0.289010989010989,0.04725274725274725,0.14254357650096836
vulnerabilities,source_scope_difference_or_mixed,577,577,63,128,449,429,20,8.800693240901213,3.0,4.0,29.0,36.0,137.0,5992.0,9.429809358752166,18.23050259965338,0.7781629116117851,0.7435008665511266,0.03466204506065858,0.7736604260813428
