source_group,repo_name,time,metric,cause_category,commit_label,commit,local_repo_path,git_error,tracked_files,python_files,notebook_files,js_ts_files,test_like_files,doc_example_files,generated_vendor_like_files,top_dir,files
treatment,zauberzeug/nicegui,2025-04,ncloc,source_scope_difference_or_mixed,paper,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,,1238,353,0,256,133,303,0,nicegui,738
treatment,zauberzeug/nicegui,2025-04,ncloc,source_scope_difference_or_mixed,paper,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,,1238,140,0,256,133,303,0,website,182
treatment,zauberzeug/nicegui,2025-04,ncloc,source_scope_difference_or_mixed,paper,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,,1238,97,0,256,133,303,0,examples,161
treatment,zauberzeug/nicegui,2025-04,ncloc,source_scope_difference_or_mixed,paper,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,,1238,97,0,256,133,303,0,tests,102
treatment,zauberzeug/nicegui,2025-04,ncloc,source_scope_difference_or_mixed,paper,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,,1238,8,0,256,133,303,0,(root),36
treatment,zauberzeug/nicegui,2025-04,ncloc,source_scope_difference_or_mixed,paper,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,,1238,1,0,256,133,303,0,.github,9
treatment,zauberzeug/nicegui,2025-04,ncloc,source_scope_difference_or_mixed,paper,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,,1238,0,0,256,133,303,0,scripts,5
treatment,zauberzeug/nicegui,2025-04,ncloc,source_scope_difference_or_mixed,paper,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,,1238,0,0,256,133,303,0,.cursor,2
treatment,zauberzeug/nicegui,2025-04,ncloc,source_scope_difference_or_mixed,paper,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,,1238,0,0,256,133,303,0,.devcontainer,2
treatment,zauberzeug/nicegui,2025-04,ncloc,source_scope_difference_or_mixed,paper,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,,1238,0,0,256,133,303,0,.vscode,1
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,2388,0,3195,1676,107,897,posthog,2619
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,363,0,3195,1676,107,897,ee,426
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,74,0,3195,1676,107,897,products,198
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,20,0,3195,1676,107,897,dags,22
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,17,0,3195,1676,107,897,common,244
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,6,0,3195,1676,107,897,infra-scripts,9
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,4,0,3195,1676,107,897,bin,42
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,2,0,3195,1676,107,897,plugin-server,554
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,2,0,3195,1676,107,897,(root),53
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,1,0,3195,1676,107,897,cypress,78
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,0,0,3195,1676,107,897,frontend,4923
treatment,PostHog/posthog,2025-04,ncloc,source_scope_difference_or_mixed,paper,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,,9860,0,0,3195,1676,107,897,rust,469
treatment,PostHog/posthog,2025-08,ncloc,source_scope_difference_or_mixed,paper,79cf381322842888a721905c09490e85f98a5a2a,../treatment-repos/PostHog_posthog,,12087,2791,0,3904,2058,119,1080,posthog,3054
treatment,PostHog/posthog,2025-08,ncloc,source_scope_difference_or_mixed,paper,79cf381322842888a721905c09490e85f98a5a2a,../treatment-repos/PostHog_posthog,,12087,461,0,3904,2058,119,1080,ee,535
treatment,PostHog/posthog,2025-08,ncloc,source_scope_difference_or_mixed,paper,79cf381322842888a721905c09490e85f98a5a2a,../treatment-repos/PostHog_posthog,,12087,271,0,3904,2058,119,1080,products,669
