repo_name,month,latest_commit
00sapo/taskcheck,2024-11,1c51a1d6596b27cf0803be6fe76a3cf55d136027
00sapo/taskcheck,2024-12,5d3fcfe965b3f342b19ea3a96b37c9840583eab4
00sapo/taskcheck,2025-01,5d3fcfe965b3f342b19ea3a96b37c9840583eab4
00sapo/taskcheck,2025-02,5d3fcfe965b3f342b19ea3a96b37c9840583eab4
00sapo/taskcheck,2025-03,c74c7283a2a9cc69474607bf262bafc6198c76ca
00sapo/taskcheck,2025-04,c74c7283a2a9cc69474607bf262bafc6198c76ca
00sapo/taskcheck,2025-05,c12e679d78c47cf47f27ed37478f1b1abf529b77
00sapo/taskcheck,2025-06,5dd5f96d2b171b8b846dfd18ca79af3e76c09a0d
00sapo/taskcheck,2025-07,90d25143fe856dc6079253d5b40fc08bfe89456e
00sapo/taskcheck,2025-08,90d25143fe856dc6079253d5b40fc08bfe89456e
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-01,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-02,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-03,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-04,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-05,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-06,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-07,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-08,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-09,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-10,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-11,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-12,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-01,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-02,5221bbfc995e48829975b34634f55d0e5936e59a
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,2155b95284b5e4bfb02cc6aaf00914eafbdcad07
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-04,2155b95284b5e4bfb02cc6aaf00914eafbdcad07
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-05,2155b95284b5e4bfb02cc6aaf00914eafbdcad07
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-06,2155b95284b5e4bfb02cc6aaf00914eafbdcad07
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-07,2155b95284b5e4bfb02cc6aaf00914eafbdcad07
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-08,2155b95284b5e4bfb02cc6aaf00914eafbdcad07
AkariAsai/ScholarQABench,2024-11,8f63e5b270ac2eac04ba06bfe42913388087f87f
AkariAsai/ScholarQABench,2024-12,8f63e5b270ac2eac04ba06bfe42913388087f87f
AkariAsai/ScholarQABench,2025-01,8f63e5b270ac2eac04ba06bfe42913388087f87f
AkariAsai/ScholarQABench,2025-02,c439fbce548b5fab5ff5304e748763e6c8b2b014
AkariAsai/ScholarQABench,2025-03,c439fbce548b5fab5ff5304e748763e6c8b2b014
AkariAsai/ScholarQABench,2025-04,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb
AkariAsai/ScholarQABench,2025-05,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb
AkariAsai/ScholarQABench,2025-06,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb
AkariAsai/ScholarQABench,2025-07,a87a5e9cf8913b1b0cab3f74c9fc51560e4a3465
AkariAsai/ScholarQABench,2025-08,95e6fc52b0a8a0ce0a74956029991e3bb00c38b9
ArpiarSaundersLab/annsql,2024-09,743f9eb70bd0a38892c47d6d7edb2598464bbd56
ArpiarSaundersLab/annsql,2024-10,c66fb84a7ce4a6a9b23dad2f15fd5d3812b65d17
ArpiarSaundersLab/annsql,2024-11,dd27a7d1a7b06498d0d3ead34847d6e7241105f6
ArpiarSaundersLab/annsql,2024-12,95458872d923921d3231becd2429b327a626bb6d
ArpiarSaundersLab/annsql,2025-01,ab9496863121dadc5cd7502e0c355536b24e6f36
ArpiarSaundersLab/annsql,2025-02,8349da0d1d0ce5692448c5c19e8bb83f2bdc36b1
ArpiarSaundersLab/annsql,2025-03,69f3d00daaa7ac6f185d7e8b4d5b4bed618c3cab
