repo_name,time,paper_same_column_match,dataset_source,ever_treated,is_treatment,is_treatment_dynamic,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,matched_as_control,matched_treatment_repos,match_ranks,matched_periods,sonarqube_latest_commit,ncloc_raw,bugs_raw,vulnerabilities_raw,code_smells_raw,duplicated_lines_density_raw,comment_lines_density_raw,cognitive_complexity_raw,technical_debt_raw,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,static_analysis_warnings,duplicate_line_density,code_complexity,warnings_per_kloc,complexity_per_kloc,code_smells_per_kloc,sonarqube_any_raw_metric_missing,sonarqube_all_raw_metrics_missing,sonarqube_ncloc_zero,sonarqube_static_warnings_missing,sonarqube_duplicate_density_missing,sonarqube_cognitive_complexity_missing,sonarqube_quality_outcomes_complete,log_static_analysis_warnings,log_code_complexity,log_technical_debt,log_ncloc,log_bugs,log_vulnerabilities,log_code_smells,log_warnings_per_kloc,log_complexity_per_kloc,log_code_smells_per_kloc,did_duplicate_repo_time_source_key,analysis_ready_core_quality,analysis_ready_quality_rates,analysis_ready_did_base,analysis_ready_quality_did
Elevate-Code/better-voice-typing,2025-08,0,treatment,1,1,0,2024-10,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,2,486,227,1,,,,,5233de084ce33a7b791b053561d57fc58fd81781,1824.0,0.0,0.0,24.0,0.0,21.4,413.0,144.0,1824.0,0.0,0.0,24.0,0.0,21.4,413.0,144.0,24.0,0.0,413.0,13.157894736842104,226.42543859649123,13.157894736842104,0,0,0,0,0,0,1,3.2188758248682006,6.025865973825314,4.976733742420574,7.509335266016592,0.0,0.0,3.2188758248682006,2.6502724004353984,5.42682244223871,2.6502724004353984,0,1,1,1,1
OpenMOSS/Language-Model-SAEs,2025-08,0,treatment,1,1,0,2024-12,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,31,43124,2646,2,,,,,6afc05011512735430b9e7036a7a0f1fb6d0fbe2,44912.0,83.0,8.0,4293.0,3.7,10.5,16606.0,22598.0,44912.0,83.0,8.0,4293.0,3.7,10.5,16606.0,22598.0,4384.0,3.7,16606.0,97.61311008193802,369.74527965799786,95.58692554328464,0,0,0,0,0,0,1,8.385944904806284,9.717579572206752,10.025660936493804,10.712482564117947,4.430816798843313,2.197224577336219,8.364973978438726,4.591204215061349,5.915515249063755,4.57044338571552,0,1,1,1,1
OpenSPP/openspp-modules,2025-08,0,treatment,1,1,0,2025-03,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,17,6952,15282,1,,,,,bbfe82a523fcba3a8202d41b851a1a961258e6b4,101618.0,167.0,9.0,636.0,24.8,6.6,4944.0,3619.0,101618.0,167.0,9.0,636.0,24.8,6.6,4944.0,3619.0,812.0,24.8,4944.0,7.990710307229033,48.65279773268515,6.258733688913382,0,0,0,0,0,0,1,6.70073110954781,8.506132244056813,8.194229304819816,11.528985804516742,5.123963979403259,2.3025850929940455,6.456769655572163,2.1961918561775815,3.9050547380010157,1.982205390608556,0,1,1,1,1
sirkirby/unifi-network-rules,2025-08,0,treatment,1,1,0,2025-03,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,3,1193,55,2,,,,,9f9e24ad109f75bfe7697e1b42aad3f3195ad50f,9411.0,12.0,0.0,165.0,0.2,24.3,3670.0,2785.0,9411.0,12.0,0.0,165.0,0.2,24.3,3670.0,2785.0,177.0,0.2,3670.0,18.807778131973222,389.96918499628094,17.532674529805547,0,0,0,0,0,0,1,5.181783550292085,8.208219383496834,7.932362154339751,9.149740749847252,2.5649493574615367,0.0,5.111987788356543,2.9860746955091853,5.968628746128435,2.919535365003681,0,1,1,1,1
vietanhdev/anylabeling,2025-07,0,treatment,1,1,0,2025-03,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,3,247,96,1,,,,,e591407de772550d99effc693670c5a567b5d95c,36542.0,4.0,0.0,59.0,0.8,3.1,1599.0,608.0,36542.0,4.0,0.0,59.0,0.8,3.1,1599.0,608.0,63.0,0.8,1599.0,1.7240435663072629,43.75786765913195,1.6145804827321986,0,0,0,0,0,0,1,4.1588830833596715,7.3777589082278725,6.411818267709897,10.506244928368067,1.6094379124341003,0.0,4.0943445622221,1.00211738166424,3.8012672428793497,0.9611036573935965,0,1,1,1,1
JustinSparrrow/IOOI-EmotionEgg,2025-03,0,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,8,2872,2838,3,1.0,appl-team/appl,1,202411.0,4593f10a974865bf903ca3576ac4b617a693978d,1538.0,0.0,10.0,17.0,0.0,7.1,72.0,33.0,1538.0,0.0,10.0,17.0,0.0,7.1,72.0,33.0,27.0,0.0,72.0,17.555266579973992,46.81404421326398,11.05331599479844,0,0,0,0,0,0,1,3.332204510175204,4.290459441148391,3.526360524616161,7.3388881338388785,0.0,2.3978952727983707,2.8903717578961645,2.920753661424931,3.8673194083360896,2.4893398083701888,0,1,1,1,1
JustinSparrrow/IOOI-EmotionEgg,2025-04,0,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,35,1050,307,4,1.0,appl-team/appl,1,202411.0,eb145035b7c60abf42b353ccdc47a3a31a233e82,1887.0,0.0,12.0,34.0,0.0,8.4,101.0,88.0,1887.0,0.0,12.0,34.0,0.0,8.4,101.0,88.0,46.0,0.0,101.0,24.37731849496556,53.52411234764176,18.01801801801802,0,0,0,0,0,0,1,3.8501476017100584,4.624972813284271,4.48863636973214,7.543273346705446,0.0,2.5649493574615367,3.5553480614894135,3.2338558024477613,3.9986430322237094,2.9453868465359863,0,1,1,1,1
Simatwa/free-proxies,2024-06,0,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1353,1398276,1398760,1,1.0,allthingslinux/tux,3,202501.0,fdd490af05ae58201c34e1286a8e898419460735,362.0,1.0,0.0,8.0,0.0,7.9,61.0,45.0,362.0,1.0,0.0,8.0,0.0,7.9,61.0,45.0,9.0,0.0,61.0,24.86187845303868,168.5082872928177,22.099447513812155,0,0,0,0,0,0,1,2.3025850929940455,4.127134385045092,3.828641396489095,5.8944028342648505,0.6931471805599453,0.0,2.197224577336219,3.252770010034245,5.132901818208297,3.139808700090739,0,1,1,1,1
Simatwa/free-proxies,2024-07,0,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1390,1667851,1667336,1,1.0,allthingslinux/tux,3,202501.0,86281d7ab10e8570d615c16f36e4819213635a54,362.0,1.0,0.0,8.0,0.0,7.9,61.0,45.0,362.0,1.0,0.0,8.0,0.0,7.9,61.0,45.0,9.0,0.0,61.0,24.86187845303868,168.5082872928177,22.099447513812155,0,0,0,0,0,0,1,2.3025850929940455,4.127134385045092,3.828641396489095,5.8944028342648505,0.6931471805599453,0.0,2.197224577336219,3.252770010034245,5.132901818208297,3.139808700090739,0,1,1,1,1
Simatwa/free-proxies,2024-08,0,control,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1393,1761852,1761070,1,1.0,allthingslinux/tux,3,202501.0,69c3789c3ed2e77c43456bbff38f6f16eeb4b5a6,362.0,1.0,0.0,8.0,0.0,7.9,61.0,45.0,362.0,1.0,0.0,8.0,0.0,7.9,61.0,45.0,9.0,0.0,61.0,24.86187845303868,168.5082872928177,22.099447513812155,0,0,0,0,0,0,1,2.3025850929940455,4.127134385045092,3.828641396489095,5.8944028342648505,0.6931471805599453,0.0,2.197224577336219,3.252770010034245,5.132901818208297,3.139808700090739,0,1,1,1,1
