rank,repo_name,adoption_month,n_pre,n_post,has_adoption_obs,n_obs_months,total_activity,balance,window
1,Altinity/clickhouse-grafana,2024-04,51,17,True,69,2635,17,68
2,dgokcin/dotfiles,2024-05,31,14,True,46,1373,14,45
3,samuelclay/NewsBlur,2024-08,129,13,True,143,19486,13,142
4,udecode/plate,2024-08,37,13,True,51,48025,13,50
5,supertokens/supertokens-python,2024-08,36,13,True,50,9729,13,49
6,Vrooli/Vrooli,2024-08,25,13,True,39,2343,13,38
7,parterburn/dabble.me,2024-08,102,12,True,115,1783,12,114
8,blacktop/ipsw,2024-09,71,12,True,84,13880,12,83
9,sectsect/wp-tag-order,2024-04,54,12,True,67,1110,12,66
10,spences10/scottspence.com,2024-09,51,12,True,64,17330,12,63
11,pollinations/pollinations,2024-09,38,12,True,51,21935,12,50
12,infinite-table/infinite-react,2024-08,32,12,True,45,2161,12,44
13,Shopify/cli,2024-09,27,12,True,40,55426,12,39
14,imrishit98/rp-nextjs-starter,2024-09,23,12,True,36,1784,12,35
15,ericmjl/llamabot,2024-09,17,12,True,30,3797,12,29
16,ChatFAQ/ChatFAQ,2024-09,17,12,True,30,3396,12,29
17,elie222/inbox-zero,2024-09,12,12,True,25,21412,12,24
18,rstropek/Samples,2024-10,115,11,True,127,1911,11,126
19,holochain/holochain,2024-10,49,11,True,61,86119,11,60
20,labnol/react-tailwind,2024-09,32,11,True,44,272,11,43
21,metriport/metriport,2024-10,23,11,True,35,81287,11,34
22,databricks-demos/dbdemos,2024-10,23,11,True,35,1415,11,34
23,dcramer/peated,2024-10,18,11,True,30,4228,11,29
24,helixml/helix,2024-10,11,11,True,23,7487,11,22
25,VRSEN/agency-swarm,2024-10,11,11,True,23,6291,11,22
26,owid/owid-grapher,2024-11,88,10,True,99,53794,10,98
27,ProcessMaker/processmaker,2024-11,65,10,True,76,61340,10,75
28,namuan/trading-utils,2024-11,39,10,True,50,658,10,49
29,konturio/disaster-ninja-fe,2024-10,28,10,True,39,19845,10,38
30,serversideup/docker-ssh,2024-11,25,10,True,36,210,10,35
31,syntaxfm/website,2024-11,19,10,True,30,8575,10,29
32,synatic/noql,2024-09,16,10,True,27,1232,10,26
33,panoratech/Panora,2024-11,14,10,True,25,9219,10,24
34,pockethost/pockethost,2024-11,14,10,True,25,2400,10,24
35,efdevcon/monorepo,2024-09,10,12,True,23,3277,10,22
36,kern/filepizza,2024-12,116,9,True,126,11603,9,125
37,Wox-launcher/Wox,2024-12,109,9,True,119,50652,9,118
38,wp-graphql/wp-graphql,2024-12,95,9,True,105,29019,9,104
39,pig-mesh/pig-ui,2024-11,52,9,True,62,2071,9,61
40,indiesoftby/defold-yagames,2024-10,39,9,True,49,439,9,48
41,serversideup/spin,2024-12,38,9,True,48,2590,9,47
42,melissamcewen/CurlsBotSite,2024-12,34,9,True,44,488,9,43
43,warmachine028/memories,2024-10,31,9,True,41,3744,9,40
44,oven-sh/bun,2024-12,29,9,True,39,219465,9,38
45,leemonade/leemons,2024-11,29,9,True,39,10628,9,38
46,haqq-network/frontend,2024-11,25,9,True,35,9841,9,34
47,YumNumm/EQMonitor,2024-11,25,9,True,35,4764,9,34
48,respawn-app/FlowMVI,2024-12,23,9,True,33,1988,9,32
49,twentyhq/twenty,2024-12,21,9,True,31,171069,9,30
50,ericmjl/pyds-cli,2024-11,21,9,True,31,753,9,30
51,yuiseki/TRIDENT,2024-12,20,9,True,30,6406,9,29
52,Cidan/BetterBags,2024-08,9,13,True,23,4868,9,22
53,hudy9x/namviek,2024-12,13,9,True,23,4504,9,22
54,yumemi-inc/flutter-mobile-project-template,2024-12,12,9,True,22,7733,9,21
55,MultiQC/MultiQC,2024-12,12,9,True,22,7731,9,21
56,nevalang/neva,2024-10,9,11,True,21,3625,9,20
57,piotrkulpinski/openalternative,2024-11,9,10,True,20,6146,9,19
58,Openpanel-dev/openpanel,2024-11,9,10,True,20,5700,9,19
59,MervinPraison/PraisonAI,2024-12,9,9,True,19,13994,9,18
60,terryyin/lizard,2025-01,120,8,True,129,4517,8,128
61,davidgasquez/dotfiles,2025-01,103,8,True,112,794,8,111
62,transloadit/node-sdk,2024-12,98,8,True,107,2029,8,106
63,ardriveapp/ardrive-web,2025-01,52,8,True,61,26092,8,60
64,ThatGuySam/doesitarm,2024-12,51,8,True,60,10625,8,59
65,tsukumijima/KonomiTV,2025-01,40,8,True,49,3785,8,48
66,maERP/maERP,2025-01,30,8,True,39,1779,8,38
67,f/awesome-chatgpt-prompts,2025-01,25,8,True,34,149905,8,33
68,tact-lang/tact-template,2025-01,23,8,True,32,574,8,31
69,PrefectHQ/marvin,2025-01,22,8,True,31,13400,8,30
70,L-Blondy/up-fetch,2025-01,19,8,True,28,2623,8,27
71,MythicalLTD/MythicalDash,2025-01,19,8,True,28,1845,8,27
72,konecty/Konecty,2024-12,19,8,True,28,1343,8,27
73,assafelovic/gpt-researcher,2025-01,18,8,True,27,32190,8,26
74,kepano/flexoki,2025-01,15,8,True,24,3107,8,23
75,Bistutu/FluentRead,2025-01,14,8,True,23,5050,8,22
76,atopile/atopile,2025-01,13,8,True,22,11574,8,21
77,badass-courses/course-builder,2025-01,13,8,True,22,9147,8,21
78,adidahiya/raga,2025-01,12,8,True,21,2012,8,20
79,frostime/sy-f-misc,2025-01,10,8,True,19,755,8,18
80,deeeed/expo-audio-stream,2024-12,8,9,True,18,2195,8,17
81,OpenMOSS/Language-Model-SAEs,2024-12,8,9,True,18,1176,8,17
82,unmonk/chainlink,2024-09,9,8,True,18,402,8,17
83,getsentry/sentry,2025-02,121,7,True,129,973080,7,128
84,Automattic/jetpack,2025-02,121,7,True,129,493613,7,128
85,dotCMS/core,2025-02,121,7,True,129,256853,7,128
86,rubenarslan/formr.org,2025-01,117,7,True,125,3340,7,124
87,imazen/imageflow,2025-02,112,7,True,120,10357,7,119
88,Automattic/wp-calypso,2025-02,111,7,True,119,1185527,7,118
89,woocommerce/woocommerce,2025-02,101,7,True,109,414752,7,108
90,grafana/loki,2025-02,74,7,True,82,193342,7,81
91,AudiusProject/audius-protocol,2025-02,66,7,True,74,172240,7,73
92,PostHog/posthog,2025-02,61,7,True,69,449777,7,68
93,mantou132/gem,2025-02,59,7,True,67,2192,7,66
