treatment_repo,main_final_control_count,main_final_controls,drop_reason
Bistutu/FluentRead,1,soulerror/HivisionIDPhotos-Uniapp,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
johanguse/next-saas-template,1,soulerror/HivisionIDPhotos-Uniapp,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
sadmann7/shadcn-table,1,duiliuliu/logseq-plugin-files-manager,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
serge-0v/next-js-sanity-starter,1,paper-design/shaders,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
0xfrankz/Kaas,2,AnshSinghal/DHARA.github.io;hipstersmoothie/react-window-splitter,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
AnEntrypoint/apptoapp,2,59de44955ebd/twitter-to-bsky;loskoderos/georender,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
KaizeNodeLabs/SafeSwap,2,DonTaka/Mobile2024;yosle/xnauta-electron,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
LastBotInc/nextjs-supabase-ai-webapp,2,gastonchenet/hopmytrack;iAmCorey/favicon-stealer,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
Ly-GGboy/AI-Library,2,Amogh2409/Pregrad-MERN-Data;patorjk/image-quilter,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
MaggieAppleton/lodestone,2,gastonchenet/hopmytrack;iAmCorey/favicon-stealer,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
Malte2036/thw-tools,2,Convertiv/handoff-app;cdloh/obsidian-cron,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
Melvynx/next-zod-route,2,craigsdennis/shorty-dot-dev;mrgnlabs/mrgn-ts,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
Shopify/cli,2,FrancescoXX/rustcrab;andreisergiu98/baeta,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
ahmedkhaleel2004/gitdiagram,2,Redocly/redocly-cli;any-listen/any-listen,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
ai-hero-dev/ai-hero,2,Mapform/Mapform;tomquist/hame-relay,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
betagouv/france-chaleur-urbaine,2,Donald-Ennis/Jsrepo_jp;zaidmukaddam/o3-mini-search,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
ccbikai/github-stars,2,Hardcoding-1992/FeatherJS;hexnome/pumpfun-cli-bot-tools,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
constROD/template-hono-prisma-kysely,2,basehub-ai/docs-template;codebucks27/AI-Powered-Twitter-Bio-Generator,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
fatwang2/search1api-mcp,2,Donald-Ennis/Jsrepo_jp;zaidmukaddam/o3-mini-search,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
frostime/sy-f-misc,2,pmndrs/directed;sunpm/unisave,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
genesis-ai-dev/codex-editor,2,damienallen/urban-heat;mrgnlabs/mrgn-ts,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
howoii/SmartBookmark,2,Amogh2409/Pregrad-MERN-Data;patorjk/image-quilter,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
jonathanbertholet/promptmanager,2,jasperbaes/Conditional-Access-Matrix;pskill9/website-downloader,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
kazuph/mcp-screenshot,2,Hardcoding-1992/FeatherJS;hexnome/pumpfun-cli-bot-tools,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
kelvin6365/rocksdev.tools,2,GlobalArtInc/nestcord;OpenWebGAL/WebGAL,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
latitude-dev/latitude-llm,2,FrancescoXX/rustcrab;andreisergiu98/baeta,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
leemonade/leemons,2,ajaynegi45/LibraryMan;aukilabs/posemesh,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
magebitcom/magento-toolbox,2,compolabs/spark-frontend;folkscommunity/folks,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
metriport/metriport,2,ajaynegi45/LibraryMan;yaming116/docker-pull-proxy,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
milaboratory/platforma,2,any-listen/any-listen;rudderlabs/rudder-transformer,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
mzxrai/mcp-openai,2,Hardcoding-1992/FeatherJS;hexnome/pumpfun-cli-bot-tools,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
omnisat/lasereyes-mono,2,Redocly/redocly-cli;any-listen/any-listen,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
opentoolsteam/cli,2,Donald-Ennis/Jsrepo_jp;zaidmukaddam/o3-mini-search,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
piotrkulpinski/openalternative,2,joshmu/ts-swarm;middlewarehq/middleware,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
pnd280/complexity,2,OpenAgentPlatform/Dive;duiliuliu/logseq-plugin-files-manager,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
pollinations/pollinations,2,ajaynegi45/LibraryMan;yaming116/docker-pull-proxy,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
q1226189767/FlyAdmin,2,ajcwebdev/autoshow;walnuthq/op-scan,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
rivet-gg/actor-core,2,any-listen/any-listen;rudderlabs/rudder-transformer,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
social-embed/social-embed,2,CyberAgentHack/web-speed-hackathon-2021-leaderboard;Emiliano-Bucci/react-spring-carousel,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
stacksjs/vite-plugin-local,2,ajcwebdev/autoshow;walnuthq/op-scan,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
unsend-dev/unsend,2,pages-cms/pages-cms;tsky-dev/tsky,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
webdevcody/survive-the-night-game,2,AjayiMike/extrascan;lingualdev/react-i18n-transformations,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
wham/kaja,2,Mapform/Mapform;sst/sst,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
yayxs/ai-coding,2,JohnMwendwa/positivus-landing-page;acutmore/proposal-composites,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
zzfn/zzf,2,checkerschaf/sherlock-deno;fwilhe2/setup-kotlin,not_in_strict_1to3; treatment does not have exactly 3 final controls after clone/control filtering
