repo_name,status,target_dir,note
1mrat/cursor-taskrunner,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,already_has_git_dir
Altinity/clickhouse-grafana,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Altinity_clickhouse-grafana,already_has_git_dir
Anemll/Anemll,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,already_has_git_dir
Apocrathia/home-assistant-config,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,already_has_git_dir
Aronnaxx/Behold-Urwar-Droid-Concepts,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Aronnaxx_Behold-Urwar-Droid-Concepts,already_has_git_dir
AttackIQ/DetectIQ,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/AttackIQ_DetectIQ,already_has_git_dir
ChatFAQ/ChatFAQ,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ChatFAQ_ChatFAQ,already_has_git_dir
Chocksy/qc-options-framework,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Chocksy_qc-options-framework,already_has_git_dir
DannyMac180/mirror,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DannyMac180_mirror,already_has_git_dir
DataDog/integrations-core,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataDog_integrations-core,already_has_git_dir
DataScienceUIBK/Rankify,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataScienceUIBK_Rankify,already_has_git_dir
DutchCryptoDad/bamboo-ta,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DutchCryptoDad_bamboo-ta,Cloning into '/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DutchCryptoDad_bamboo-ta'... remote: Repository not found. fatal: repository 'https://github.com/DutchCryptoDad/bamboo-ta.git/' not found
Elevate-Code/better-voice-typing,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Elevate-Code_better-voice-typing,already_has_git_dir
Hankanman/Area-Occupancy-Detection,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,already_has_git_dir
Kiln-AI/Kiln,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Kiln-AI_Kiln,already_has_git_dir
KroMiose/nekro-agent,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/KroMiose_nekro-agent,already_has_git_dir
LearningCircuit/local-deep-research,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/LearningCircuit_local-deep-research,already_has_git_dir
MDGrey33/pyvisionai,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/MDGrey33_pyvisionai,already_has_git_dir
Meeting-Baas/speaking-meeting-bot,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Meeting-Baas_speaking-meeting-bot,already_has_git_dir
Metta-AI/metta,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Metta-AI_metta,Cloning into '/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Metta-AI_metta'... remote: Repository not found. fatal: repository 'https://github.com/Metta-AI/metta.git/' not found
Mineru98/mysql-mcp-server,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Mineru98_mysql-mcp-server,already_has_git_dir
Multi-V-VM/MVVM,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Multi-V-VM_MVVM,already_has_git_dir
Ody-Z/Trading_Game_Simulator,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Ody-Z_Trading_Game_Simulator,already_has_git_dir
OpenMOSS/Language-Model-SAEs,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/OpenMOSS_Language-Model-SAEs,already_has_git_dir
OpenSPP/openspp-modules,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/OpenSPP_openspp-modules,already_has_git_dir
PiotrCzapla/smart_dictation,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PiotrCzapla_smart_dictation,already_has_git_dir
PostHog/posthog,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PostHog_posthog,already_has_git_dir
PrefectHQ/marvin,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/PrefectHQ_marvin,already_has_git_dir
ResearchHub/researchhub-backend,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ResearchHub_researchhub-backend,already_has_git_dir
Scrapybara/codecapy,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Scrapybara_codecapy,already_has_git_dir
ShunsukeHayashi/Auto-coder-agent_Cursor_Roo_code,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ShunsukeHayashi_Auto-coder-agent_Cursor_Roo_code,Cloning into '/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ShunsukeHayashi_Auto-coder-agent_Cursor_Roo_code'... remote: Repository not found. fatal: repository 'https://github.com/ShunsukeHayashi/Auto-coder-agent_Cursor_Roo_code.git/' not found
SlyyCooper/cursorrules-architect,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/SlyyCooper_cursorrules-architect,already_has_git_dir
TextGeneratorio/text-generator.io,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/TextGeneratorio_text-generator.io,already_has_git_dir
The-Pocket/PocketFlow,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow,already_has_git_dir
The-Pocket/PocketFlow-Template-Python,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_PocketFlow-Template-Python,already_has_git_dir
The-Pocket/Tutorial-AI-Paul-Graham,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_Tutorial-AI-Paul-Graham,already_has_git_dir
The-Pocket/Tutorial-Cold-Email-Personalization,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_Tutorial-Cold-Email-Personalization,already_has_git_dir
The-Pocket/Tutorial-Cursor,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket_Tutorial-Cursor,already_has_git_dir
TheSethRose/Agent-Chat,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/TheSethRose_Agent-Chat,already_has_git_dir
ToolUse/infinite-ai-seo,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_infinite-ai-seo,already_has_git_dir
ToolUse/tool-use-ai,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_tool-use-ai,already_has_git_dir
VRSEN/agency-swarm,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm,already_has_git_dir
VRSEN/agency-swarm-memory-demo,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-swarm-memory-demo,already_has_git_dir
VRSEN/agency-voice-interface,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/VRSEN_agency-voice-interface,already_has_git_dir
W1ndys/Blog,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/W1ndys_Blog,already_has_git_dir
WangQrkkk/ThinkingCursor,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/WangQrkkk_ThinkingCursor,already_has_git_dir
airweave-ai/airweave,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/airweave-ai_airweave,already_has_git_dir
allthingslinux/tux,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/allthingslinux_tux,already_has_git_dir
appl-team/appl,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/appl-team_appl,already_has_git_dir
arjitvermaco/DbDost,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/arjitvermaco_DbDost,already_has_git_dir
