repo_name,status,target_dir,note
toheart/goanalysis,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/toheart_goanalysis,already_has_git_dir
grafana/faro-flutter-sdk,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/grafana_faro-flutter-sdk,already_has_git_dir
airweave-ai/airweave,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/airweave-ai_airweave,already_has_git_dir
sirkirby/unifi-network-rules,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/sirkirby_unifi-network-rules,already_has_git_dir
VladSez/easy-invoice-pdf,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/VladSez_easy-invoice-pdf,already_has_git_dir
IamLiuLv/compoder,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/IamLiuLv_compoder,ok
reliverse/cli-ai-app-site-anything-builder,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/reliverse_cli-ai-app-site-anything-builder,ok
ai-hero-dev/ai-hero,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/ai-hero-dev_ai-hero,ok
dogokit/dogokit-akita,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/dogokit_dogokit-akita,ok
yayxs/ai-coding,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/yayxs_ai-coding,ok
maciej-trebacz/ff7-ultima,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/maciej-trebacz_ff7-ultima,ok
constROD/template-hono-prisma-kysely,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/constROD_template-hono-prisma-kysely,ok
dgokcin/dotfiles,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/dgokcin_dotfiles,ok
meta-secret/meta-secret-core,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/meta-secret_meta-secret-core,ok
vadxq/nextjs-ai-starter,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/vadxq_nextjs-ai-starter,ok
VRSEN/agency-swarm,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/VRSEN_agency-swarm,ok
recallnet/js-recall,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/recallnet_js-recall,ok
Tmeister/wppb-generator,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/Tmeister_wppb-generator,ok
makerkit/react-native-expo-turbo-saas-kit,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/makerkit_react-native-expo-turbo-saas-kit,ok
TextGeneratorio/text-generator.io,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/TextGeneratorio_text-generator.io,ok
Melvynx/next-zod-route,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/Melvynx_next-zod-route,ok
melissamcewen/CurlsBotSite,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/melissamcewen_CurlsBotSite,ok
QuantGeekDev/mcp-framework,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/QuantGeekDev_mcp-framework,ok
