source_dir,repo_name,py_file_count,py_total_lines,commit_count,readme_flag,suspect,reasons
../treatment-repos,1mrat_cursor-taskrunner,1,151,4,,True,only 4 commits
../treatment-repos,Altinity_clickhouse-grafana,69,13936,2218,,False,
../treatment-repos,Anemll_Anemll,170,61105,84,moved to,True,README mentions: 'moved to'
../treatment-repos,Apocrathia_home-assistant-config,2,97,1072,,False,
../treatment-repos,Aronnaxx_Behold-Urwar-Droid-Concepts,15,4594,68,,False,
../treatment-repos,AttackIQ_DetectIQ,122,10549,36,,False,
../treatment-repos,ChatFAQ_ChatFAQ,410,30179,1548,,False,
../treatment-repos,Chocksy_qc-options-framework,101,16380,100,,False,
../treatment-repos,DannyMac180_mirror,42,4665,15,,False,
../treatment-repos,DataDog_integrations-core,5093,647327,20591,,False,
../treatment-repos,DataScienceUIBK_Rankify,363,54846,475,,False,
../treatment-repos,Dror-Bengal_CursorFocus,10,2487,18,,False,
../treatment-repos,Elevate-Code_better-voice-typing,17,2828,40,,False,
../treatment-repos,Hankanman_Area-Occupancy-Detection,78,62587,1285,,False,
../treatment-repos,Kiln-AI_Kiln,618,205649,6928,,False,
../treatment-repos,KroMiose_nekro-agent,459,107861,883,,False,
../treatment-repos,LearningCircuit_local-deep-research,2200,790851,7176,,False,
../treatment-repos,MDGrey33_pyvisionai,63,10094,147,,False,
../treatment-repos,Meeting-Baas_speaking-meeting-bot,31,4900,169,,False,
../treatment-repos,Mineru98_mysql-mcp-server,17,1341,62,,False,
../treatment-repos,Multi-V-VM_MVVM,35,10714,500,,False,
../treatment-repos,Ody-Z_Trading_Game_Simulator,8,894,4,,True,only 4 commits
../treatment-repos,OpenMOSS_Language-Model-SAEs,149,33680,1422,renamed to,True,README mentions: 'renamed to'
../treatment-repos,OpenSPP_openspp-modules,967,66273,3972,,False,
../treatment-repos,PiotrCzapla_smart_dictation,7,451,6,,False,
../treatment-repos,PostHog_posthog,12372,2728402,49030,,False,
../treatment-repos,PrefectHQ_marvin,177,23797,3979,renamed to,True,README mentions: 'renamed to'
../treatment-repos,ResearchHub_researchhub-backend,2112,226708,14958,,False,
../treatment-repos,Scrapybara_codecapy,16,1852,37,,False,
../treatment-repos,SlyyCooper_cursorrules-architect,325,49786,228,,False,
../treatment-repos,TextGeneratorio_text-generator.io,202,37581,222,,False,
../treatment-repos,The-Pocket-World_PocketManus,113,17229,382,,False,
../treatment-repos,The-Pocket_PocketFlow,269,20213,640,,False,
../treatment-repos,The-Pocket_PocketFlow-Template-Python,5,74,46,,False,
../treatment-repos,The-Pocket_Tutorial-AI-Paul-Graham,11,1271,24,,False,
../treatment-repos,The-Pocket_Tutorial-Cold-Email-Personalization,8,833,8,,False,
../treatment-repos,The-Pocket_Tutorial-Cursor,11,1770,24,,False,
../treatment-repos,TheSethRose_Agent-Chat,5,534,8,,False,
../treatment-repos,ToolUse_infinite-ai-seo,7,1682,7,,False,
../treatment-repos,ToolUse_tool-use-ai,22,4178,75,,False,
../treatment-repos,VRSEN_agency-swarm,319,73785,2595,,False,
../treatment-repos,VRSEN_agency-swarm-memory-demo,8,305,12,,False,
../treatment-repos,VRSEN_agency-voice-interface,45,3475,57,,False,
../treatment-repos,W1ndys_Blog,3,241,809,,False,
../treatment-repos,W1ndys_W1ndysBot,408,54620,1229,,False,
../treatment-repos,WangQrkkk_ThinkingCursor,1,114,5,,False,
../treatment-repos,airweave-ai_airweave,1523,305771,4775,,False,
../treatment-repos,allthingslinux_tux,403,84845,4402,,False,
../treatment-repos,appl-team_appl,96,12665,24,,False,
../treatment-repos,arjitvermaco_DbDost,10,979,2,,True,only 2 commits
../treatment-repos,askjohngeorge_pipecat-lead-qualifier,18,2705,396,,False,
../treatment-repos,assafelovic_gpt-researcher,215,21752,3005,,False,
../treatment-repos,atopile_atopile,441,172122,2843,,False,
../treatment-repos,c4fun_tell-stories-webui,32,3746,20,,False,
../treatment-repos,cbardyn_ai-swiss-workflows,15,2946,7,,False,
../treatment-repos,cgevans_qslib,35,13853,654,,False,
../treatment-repos,codingforentrepreneurs_Cursor-Django,37,772,32,,False,
../treatment-repos,cohnen_mcp-google-ads,4,1798,19,,False,
../treatment-repos,daojiAnime_vmq-fastapi,66,3109,38,,False,
../treatment-repos,discus0434_nook,84,10054,29,,False,
../treatment-repos,ericmjl_llamabot,184,45419,2269,,False,
../treatment-repos,ericmjl_pyds-cli,18,1568,485,,False,
../treatment-repos,ericyuegu_hal,88,25981,900,,False,
../treatment-repos,ericzakariasson_uber-eats-mcp-server,2,165,5,,False,
../treatment-repos,ethereum_pm,65,20085,4381,,False,
../treatment-repos,ethyca_fides,1884,415438,4774,,False,
../treatment-repos,ezyang_codemcp,76,14676,1089,,False,
../treatment-repos,gerred_mcp-server-replicate,29,3977,26,,False,
../treatment-repos,getsentry_sentry,7995,1627277,106393,,False,
../treatment-repos,grapeot_devin.cursorrules,9,1330,48,,False,
../treatment-repos,grapeot_web_agentic_ai,27,4985,73,,False,
../treatment-repos,huggingface_nanotron,195,46583,1269,,False,
../treatment-repos,hyperb1iss_droidmind,36,8525,85,,False,
../treatment-repos,ifokeev_telegram-ai-agent,35,4266,18,,False,
../treatment-repos,ilanbenb_wa_llm,69,5765,305,,False,
../treatment-repos,instructor-ai_instructor,508,65874,1563,,False,
../treatment-repos,jmurth1234_ClaudePlayer,20,1921,12,,False,
../treatment-repos,keephq_keep,712,140820,2939,,False,
../treatment-repos,kenshiro-o_nagato-ai,112,18464,117,,False,
../treatment-repos,kevon217_custom-agency-swarms,45,1963,21,,False,
../treatment-repos,leettools-dev_leettools,601,62804,138,,False,
../treatment-repos,loftwah_auto-jira,6,1097,34,,False,
../treatment-repos,loning_universe,25,7761,915,,False,
../treatment-repos,lss233_kirara-ai,288,29684,1633,,False,
../treatment-repos,martinnormark_neural-mesh-simplification,52,3995,143,,False,
../treatment-repos,matebenyovszky_healing-agent,29,2655,18,,False,
../treatment-repos,namuan_trading-utils,149,43247,902,,False,
../treatment-repos,neal-zhu_sentinel,51,7159,7,,False,
../treatment-repos,nextml-code_pytorch-datastream,20,2490,134,,False,
../treatment-repos,osomai_servicenow-mcp,59,19514,42,,False,
../treatment-repos,panther-labs_panther-analysis,713,23100,1214,,False,
../treatment-repos,raphaelmansuy_code2prompt,78,3947,141,,False,
../treatment-repos,raphaelmansuy_iteration_of_tought,3,502,21,,False,
../treatment-repos,samuelgursky_davinci-resolve-mcp,239,115233,292,,False,
../treatment-repos,sbomify_sbomify,903,222669,3516,,False,
../treatment-repos,sirkirby_unifi-network-rules,88,18678,128,,False,
../treatment-repos,smartian1_tgtrader,126,19902,245,,False,
../treatment-repos,smorin_py-launch-blueprint,96,12423,717,,False,
../treatment-repos,sshtunnelvision_MCP-LOGO-GEN,10,722,15,,False,
../treatment-repos,stampchain-io_btc_stamps,364,106780,1910,moved to,True,README mentions: 'moved to'
../treatment-repos,synaptiai_prompt-decorators,131,31960,265,,False,
../treatment-repos,terryyin_lizard,141,25692,1310,,False,
../treatment-repos,tmux-python_tmuxp,140,27370,4966,,False,
../treatment-repos,tony_django-docutils,60,5632,1779,,False,
../treatment-repos,tony_django-slugify-processor,15,501,1244,,False,
../treatment-repos,trycua_cua,714,181133,3641,,False,
../treatment-repos,tsukumijima_KonomiTV,91,40409,3732,,False,
../treatment-repos,ttmouse_Wispr-Flow-CN,115,32007,105,,False,
../treatment-repos,tw-haiven_haiven,106,14466,1518,,False,
../treatment-repos,utensils_mcp-nixos,28,8854,436,,False,
../treatment-repos,vcs-python_vcspull,95,46938,3391,,False,
../treatment-repos,vietanhdev_anylabeling,71,41540,274,,False,
../treatment-repos,wdm0006_elote,71,14841,83,,False,
../treatment-repos,wdm0006_git-pandas,59,16647,169,,False,
../treatment-repos,wdm0006_pygeohash,30,4415,99,,False,
../treatment-repos,whiteducksoftware_flock,429,118897,1694,,False,
../treatment-repos,xzq-xu_jvm-mcp-server,28,5331,51,,False,
../treatment-repos,yagami1997_CursorMind,18,3478,33,,False,
../treatment-repos,yagami1997_TradeMind,42,12786,283,,False,
../treatment-repos,yeagerai_genlayer-studio,332,77550,710,,False,
../treatment-repos,zauberzeug_nicegui,647,55407,6736,,False,
../treatment-repos,zenbase-ai_py-priompt,12,5945,12,,False,
../treatment-repos,zilliztech_mcp-server-milvus,2,1113,42,,False,
