repo_name,status,target_dir,note,status_norm
00sapo/taskcheck,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/00sapo_taskcheck,already_has_git_dir,skipped_existing
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,already_has_git_dir,skipped_existing
4mritGiri/NumberTracker,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/4mritGiri_NumberTracker,already_has_git_dir,skipped_existing
666wcy/ARPT-Bot,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/666wcy_ARPT-Bot,already_has_git_dir,skipped_existing
AkariAsai/ScholarQABench,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,already_has_git_dir,skipped_existing
AlexIoannides/pyspark-example-project,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AlexIoannides_pyspark-example-project,ok,cloned
ArpiarSaundersLab/annsql,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,ok,cloned
BalancerMaxis/multisig-ops,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,ok,cloned
Benzauber/convert-commander,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Benzauber_convert-commander,ok,cloned
BiancoChiu/iOSRealRun-cli-18,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BiancoChiu_iOSRealRun-cli-18,ok,cloned
C4NU/Paddie,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/C4NU_Paddie,ok,cloned
Cherecho/Triangular-arbitrage,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Cherecho_Triangular-arbitrage,ok,cloned
Cjy-CN/PUBGRecognizeAndGunpress,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Cjy-CN_PUBGRecognizeAndGunpress,ok,cloned
DakeQQ/YOLO-Depth-Estimation-for-Android,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,ok,cloned
Drchip61/Dual_SAM,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Drchip61_Dual_SAM,ok,cloned
EURAC-EEBgroup/brick-llm,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/EURAC-EEBgroup_brick-llm,ok,cloned
Envious-Data/Env-KB,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Envious-Data_Env-KB,ok,cloned
Event-AHU/OpenEvDET,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,ok,cloned
FFY0/AdaKV,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FFY0_AdaKV,ok,cloned
FMInference/FlexiGen,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,ok,cloned
FaceAdapter/Face-Adapter,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FaceAdapter_Face-Adapter,ok,cloned
FlipperPA/peregrine,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,ok,cloned
FolhaSP/mosaico,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,ok,cloned
GispoCoding/qgis-venv-creator,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/GispoCoding_qgis-venv-creator,ok,cloned
Hack-a-Day/2024-Supercon-8-Add-On-Badge,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Hack-a-Day_2024-Supercon-8-Add-On-Badge,ok,cloned
HelpingAI/Webscout,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,ok,cloned
IBM/mt-rag-benchmark,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/IBM_mt-rag-benchmark,ok,cloned
ITSpecialist111/ai_automation_suggester,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ITSpecialist111_ai_automation_suggester,ok,cloned
Jieqianyu/SGN,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Jieqianyu_SGN,ok,cloned
JustinSparrrow/IOOI-EmotionEgg,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/JustinSparrrow_IOOI-EmotionEgg,ok,cloned
Khrylx/PyTorch-RL,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Khrylx_PyTorch-RL,ok,cloned
LGro/PyAPSI,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LGro_PyAPSI,ok,cloned
LinJing517/micropython-deauth,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LinJing517_micropython-deauth,ok,cloned
LonamiWebs/Telebackup,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LonamiWebs_Telebackup,ok,cloned
LuneMods/KCD2-Blender-Toolkit,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LuneMods_KCD2-Blender-Toolkit,ok,cloned
MIT-Emerging-Talent/ET6-edXtras,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,ok,cloned
Makopolo/megascan_houdini20.0_USD_plugin,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Makopolo_megascan_houdini20.0_USD_plugin,ok,cloned
MalevichAI/malevich,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,ok,cloned
MingSun-Tse/LightAvatar-TensorFlow,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MingSun-Tse_LightAvatar-TensorFlow,ok,cloned
MrTimonM/Arichain-Bot,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MrTimonM_Arichain-Bot,ok,cloned
NVIDIA/cuEquivariance,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/NVIDIA_cuEquivariance,ok,cloned
NiceRingNode/LGGPT,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/NiceRingNode_LGGPT,ok,cloned
OSU-NLP-Group/HippoRAG,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/OSU-NLP-Group_HippoRAG,ok,cloned
PennyLaneAI/catalyst,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PennyLaneAI_catalyst,ok,cloned
PhilNad/robot-arm-kinematic-calibration,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PhilNad_robot-arm-kinematic-calibration,ok,cloned
PiotrMachowski/Home-Assistant-custom-components-TGE,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PiotrMachowski_Home-Assistant-custom-components-TGE,ok,cloned
PromtEngineer/localGPT,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PromtEngineer_localGPT,ok,cloned
R0uter/ss.conf-for-surge,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/R0uter_ss.conf-for-surge,ok,cloned
Retmon403/cs2_cheats_for_python,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Retmon403_cs2_cheats_for_python,ok,cloned
RobinWu218/ToST,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/RobinWu218_ToST,ok,cloned
SEU-ProactiveSecurity-Group/LLM-PD,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/SEU-ProactiveSecurity-Group_LLM-PD,ok,cloned
Scholar01/sd-webui-bg-mask,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Scholar01_sd-webui-bg-mask,ok,cloned
Simatwa/free-proxies,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,ok,cloned
The-Compiler/pytest-vw,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/The-Compiler_pytest-vw,ok,cloned
