repo_name,time,metric,our_modified_value,paper_value,diff_our_minus_paper,abs_diff
zauberzeug/nicegui,2025-04,ncloc,78118.0,211510.0,-133392.0,133392.0
PostHog/posthog,2025-04,ncloc,1025455.0,937017.0,88438.0,88438.0
PostHog/posthog,2025-08,ncloc,1313277.0,1232071.0,81206.0,81206.0
PostHog/posthog,2025-07,ncloc,1224250.0,1155675.0,68575.0,68575.0
PostHog/posthog,2025-06,ncloc,1143141.0,1079135.0,64006.0,64006.0
zauberzeug/nicegui,2025-04,technical_debt,136099.0,193776.0,-57677.0,57677.0
PostHog/posthog,2025-05,ncloc,1075854.0,1021926.0,53928.0,53928.0
PostHog/posthog,2025-03,ncloc,981233.0,936364.0,44869.0,44869.0
PostHog/posthog,2025-02,ncloc,933176.0,896790.0,36386.0,36386.0
zauberzeug/nicegui,2025-02,technical_debt,228706.0,193727.0,34979.0,34979.0
zauberzeug/nicegui,2025-03,technical_debt,228749.0,193770.0,34979.0,34979.0
zauberzeug/nicegui,2025-01,technical_debt,228702.0,193727.0,34975.0,34975.0
zauberzeug/nicegui,2024-12,technical_debt,228687.0,193717.0,34970.0,34970.0
zauberzeug/nicegui,2024-11,technical_debt,228632.0,193701.0,34931.0,34931.0
PostHog/posthog,2025-01,ncloc,870221.0,837418.0,32803.0,32803.0
PostHog/posthog,2024-12,ncloc,832993.0,802199.0,30794.0,30794.0
PostHog/posthog,2024-11,ncloc,806559.0,776480.0,30079.0,30079.0
zauberzeug/nicegui,2025-04,cognitive_complexity,65372.0,94814.0,-29442.0,29442.0
PostHog/posthog,2024-10,ncloc,774018.0,748190.0,25828.0,25828.0
PostHog/posthog,2024-09,ncloc,748626.0,725600.0,23026.0,23026.0
lancedb/lancedb,2025-08,ncloc,51090.0,28931.0,22159.0,22159.0
lancedb/lancedb,2025-07,ncloc,53434.0,31373.0,22061.0,22061.0
lancedb/lancedb,2025-06,ncloc,52330.0,30612.0,21718.0,21718.0
lancedb/lancedb,2025-05,ncloc,51641.0,30103.0,21538.0,21538.0
lancedb/lancedb,2025-04,ncloc,50737.0,29375.0,21362.0,21362.0
PostHog/posthog,2024-08,ncloc,715660.0,695941.0,19719.0,19719.0
lancedb/lancedb,2025-03,ncloc,47274.0,28068.0,19206.0,19206.0
DataDog/integrations-core,2025-02,technical_debt,17165.0,35815.0,-18650.0,18650.0
DataDog/integrations-core,2025-01,technical_debt,17288.0,35928.0,-18640.0,18640.0
DataDog/integrations-core,2025-03,technical_debt,17543.0,36164.0,-18621.0,18621.0
DataDog/integrations-core,2025-08,technical_debt,18525.0,37132.0,-18607.0,18607.0
DataDog/integrations-core,2025-07,technical_debt,18273.0,36876.0,-18603.0,18603.0
DataDog/integrations-core,2025-04,technical_debt,17606.0,36164.0,-18558.0,18558.0
DataDog/integrations-core,2024-12,technical_debt,17274.0,35613.0,-18339.0,18339.0
DataDog/integrations-core,2025-06,technical_debt,18097.0,36392.0,-18295.0,18295.0
DataDog/integrations-core,2024-11,technical_debt,17172.0,35413.0,-18241.0,18241.0
DataDog/integrations-core,2025-05,technical_debt,17967.0,36154.0,-18187.0,18187.0
DataDog/integrations-core,2024-09,technical_debt,17269.0,34980.0,-17711.0,17711.0
lancedb/lancedb,2025-02,ncloc,44605.0,26921.0,17684.0,17684.0
DataDog/integrations-core,2024-08,technical_debt,16990.0,34216.0,-17226.0,17226.0
zauberzeug/nicegui,2025-05,technical_debt,136120.0,118922.0,17198.0,17198.0
zauberzeug/nicegui,2025-06,technical_debt,136140.0,118972.0,17168.0,17168.0
DataDog/integrations-core,2024-07,technical_debt,16902.0,34055.0,-17153.0,17153.0
zauberzeug/nicegui,2025-07,technical_debt,136265.0,119151.0,17114.0,17114.0
zauberzeug/nicegui,2025-08,technical_debt,136272.0,119160.0,17112.0,17112.0
DataDog/integrations-core,2024-10,technical_debt,17092.0,33907.0,-16815.0,16815.0
lancedb/lancedb,2025-01,ncloc,42438.0,25744.0,16694.0,16694.0
lancedb/lancedb,2024-12,ncloc,39898.0,23524.0,16374.0,16374.0
DataDog/integrations-core,2024-06,technical_debt,16784.0,32532.0,-15748.0,15748.0
DataDog/integrations-core,2024-05,technical_debt,16764.0,32175.0,-15411.0,15411.0
DataDog/integrations-core,2024-04,technical_debt,16684.0,31816.0,-15132.0,15132.0
lancedb/lancedb,2024-11,ncloc,37497.0,22522.0,14975.0,14975.0
DataDog/integrations-core,2024-03,technical_debt,16557.0,31209.0,-14652.0,14652.0
DataDog/integrations-core,2024-02,technical_debt,16226.0,30576.0,-14350.0,14350.0
DataDog/integrations-core,2024-01,technical_debt,16553.0,30811.0,-14258.0,14258.0
lancedb/lancedb,2024-10,ncloc,35585.0,21682.0,13903.0,13903.0
zauberzeug/nicegui,2024-07,technical_debt,137761.0,124588.0,13173.0,13173.0
zauberzeug/nicegui,2024-06,technical_debt,137746.0,124588.0,13158.0,13158.0
zauberzeug/nicegui,2024-04,technical_debt,137676.0,124519.0,13157.0,13157.0
zauberzeug/nicegui,2024-05,technical_debt,137726.0,124570.0,13156.0,13156.0
zauberzeug/nicegui,2024-03,technical_debt,137583.0,124488.0,13095.0,13095.0
lancedb/lancedb,2024-09,ncloc,34763.0,21675.0,13088.0,13088.0
zauberzeug/nicegui,2024-02,technical_debt,137366.0,124407.0,12959.0,12959.0
