check,value
panel_label,strict
input_schema,paper_same_column
covariate_mode_requested,auto
rows,1589
repos,217
treatment_rows,838
control_rows,751
treated_repos,100
control_repos,117
control_post_event_sum,0
treated_post_rows,424
post_event_mismatch_rows,0
analysis_ready_quality_did_rows,1589
static_analysis_warnings_nonmissing,1589
duplicate_line_density_nonmissing,1589
code_complexity_nonmissing,1589
age_nonmissing,1589
ncloc_nonmissing,1589
contributors_nonmissing,1589
stars_nonmissing,1589
issues_nonmissing,1589
sonarqube_latest_commit_missing,
sonarqube_any_raw_metric_missing_sum,
sonarqube_all_raw_metrics_missing_sum,
sonarqube_ncloc_zero_sum,
sonarqube_quality_outcomes_complete_sum,
