panel,check,value
strict,panel_label,strict
strict,input_rows,1633
strict,output_rows,1633
strict,row_count_preserved_in_full_output,1
strict,repos,220
strict,min_time,2024-01
strict,max_time,2025-08
strict,treatment_rows,853
strict,control_rows,780
strict,treatment_repos,100
strict,control_repos,120
strict,duplicate_repo_time_source_rows,0
strict,analysis_ready_did_base_rows,1633
strict,analysis_ready_core_quality_rows,1604
strict,analysis_ready_quality_did_rows,1604
strict,missing_core_quality_rows,29
strict,treatment_time_to_event_nonmissing,853
strict,control_time_to_event_nonmissing,0
strict,post_event_sum,432
strict,control_post_event_sum,0
strict,treatment_post_event_sum,432
strict,sonarqube_latest_commit_missing,0
strict,sonarqube_any_raw_metric_missing_sum,29
strict,sonarqube_all_raw_metrics_missing_sum,6
strict,sonarqube_ncloc_zero_sum,0
strict,sonarqube_static_warnings_missing_sum,6
strict,sonarqube_duplicate_density_missing_sum,28
strict,sonarqube_cognitive_complexity_missing_sum,29
strict,sonarqube_quality_outcomes_complete_sum,1604
strict,static_analysis_warnings_nonmissing,1627
strict,static_analysis_warnings_missing,6
strict,static_analysis_warnings_zero_count,56
strict,static_analysis_warnings_mean,1002.5685310387215
strict,static_analysis_warnings_median,128.0
strict,duplicate_line_density_nonmissing,1605
strict,duplicate_line_density_missing,28
strict,duplicate_line_density_zero_count,455
strict,duplicate_line_density_mean,6.362305295950156
strict,duplicate_line_density_median,2.6
strict,code_complexity_nonmissing,1604
strict,code_complexity_missing,29
strict,code_complexity_zero_count,2
strict,code_complexity_mean,5169.276184538653
strict,code_complexity_median,927.0
strict,warnings_per_kloc_nonmissing,1605
strict,warnings_per_kloc_missing,28
strict,warnings_per_kloc_zero_count,34
strict,warnings_per_kloc_mean,26.959110242889142
strict,warnings_per_kloc_median,16.239687364307425
strict,complexity_per_kloc_nonmissing,1604
strict,complexity_per_kloc_missing,29
strict,complexity_per_kloc_zero_count,2
strict,complexity_per_kloc_mean,142.12774866639117
strict,complexity_per_kloc_median,115.5039235908083
strict,code_smells_per_kloc_nonmissing,1605
strict,code_smells_per_kloc_missing,28
strict,code_smells_per_kloc_zero_count,40
strict,code_smells_per_kloc_mean,24.657314210889925
strict,code_smells_per_kloc_median,15.299724103335842
strict,technical_debt_nonmissing,1627
strict,technical_debt_missing,6
strict,technical_debt_zero_count,62
strict,technical_debt_mean,6056.897357098956
strict,technical_debt_median,727.0
strict,ncloc_nonmissing,1605
strict,ncloc_missing,28
strict,ncloc_zero_count,0
strict,ncloc_mean,57103.653582554514
strict,ncloc_median,7639.0
strict,duplicated_lines_density_nonmissing,1605
strict,duplicated_lines_density_missing,28
strict,duplicated_lines_density_zero_count,455
strict,duplicated_lines_density_mean,6.362305295950156
strict,duplicated_lines_density_median,2.6
strict,comment_lines_density_nonmissing,1605
strict,comment_lines_density_missing,28
strict,comment_lines_density_zero_count,10
strict,comment_lines_density_mean,15.322803738317758
strict,comment_lines_density_median,12.5
strict,cognitive_complexity_nonmissing,1604
strict,cognitive_complexity_missing,29
strict,cognitive_complexity_zero_count,2
strict,cognitive_complexity_mean,5169.276184538653
strict,cognitive_complexity_median,927.0
strict,bugs_nonmissing,1627
strict,bugs_missing,6
strict,bugs_zero_count,407
strict,bugs_mean,39.83712354025814
strict,bugs_median,4.0
strict,vulnerabilities_nonmissing,1627
strict,vulnerabilities_missing,6
strict,vulnerabilities_zero_count,800
strict,vulnerabilities_mean,7.885064535955747
strict,vulnerabilities_median,1.0
strict,code_smells_nonmissing,1627
strict,code_smells_missing,6
strict,code_smells_zero_count,62
strict,code_smells_mean,954.8463429625077
strict,code_smells_median,115.0
strict,log_static_analysis_warnings_nonmissing,1627
strict,log_static_analysis_warnings_finite,1627
strict,log_code_complexity_nonmissing,1604
strict,log_code_complexity_finite,1604
strict,log_technical_debt_nonmissing,1627
strict,log_technical_debt_finite,1627
strict,log_ncloc_nonmissing,1605
strict,log_ncloc_finite,1605
strict,log_bugs_nonmissing,1627
strict,log_bugs_finite,1627
strict,log_vulnerabilities_nonmissing,1627
strict,log_vulnerabilities_finite,1627
strict,log_code_smells_nonmissing,1627
strict,log_code_smells_finite,1627
strict,log_warnings_per_kloc_nonmissing,1605
strict,log_warnings_per_kloc_finite,1605
strict,log_complexity_per_kloc_nonmissing,1604
strict,log_complexity_per_kloc_finite,1604
strict,log_code_smells_per_kloc_nonmissing,1605
strict,log_code_smells_per_kloc_finite,1605
strict,complete_output_path,repo_python/did_final/panel_event_matched_strict_with_sonarqube_quality_did_input_complete.csv
strict,complete_output_rows,1604
strict,complete_output_repos,219
strict,convert_paper_same_column,1
strict,keep_overlap_paper_same_column,1
strict,paper_same_column_output_path,repo_python/did_final/panel_event_monthly_quality_py.csv
strict,paper_same_column_output_rows,1589
strict,paper_same_column_matched_rows,1589
strict,paper_same_column_unmatched_rows,15
strict,paper_same_column_unmatched_output_path,repo_python/tmp/panel_event_monthly_quality_py_unmatched_repo_months.csv
