metric,exists,nonmissing,missing,mean,median,min,max,zero_count
ncloc_raw,1,1589,44,57545.05789804909,7660.0,4.0,2037467.0,0
bugs_raw,1,1611,22,40.041589075108625,4.0,0.0,2278.0,405
vulnerabilities_raw,1,1611,22,7.75356921166977,1.0,0.0,157.0,795
code_smells_raw,1,1611,22,989.195530726257,122.0,0.0,41102.0,62
duplicated_lines_density_raw,1,1589,44,6.413845185651352,2.6,0.0,94.5,444
comment_lines_density_raw,1,1589,44,15.404027690371302,12.7,0.0,47.7,9
cognitive_complexity_raw,1,1588,45,5170.76637279597,927.0,0.0,113885.0,2
technical_debt_raw,1,1611,22,6236.284916201117,808.0,0.0,242848.0,62
static_analysis_warnings,1,1611,22,1036.9906890130353,140.0,0.0,43384.0,56
duplicate_line_density,1,1589,44,6.413845185651352,2.6,0.0,94.5,444
code_complexity,1,1588,45,5170.76637279597,927.0,0.0,113885.0,2
warnings_per_kloc,1,1589,44,27.638088471186247,17.377567140600316,0.0,759.3860684769776,34
complexity_per_kloc,1,1588,45,139.11405522003858,114.58333333333331,0.0,836.836580557618,2
code_smells_per_kloc,1,1589,44,25.347484183130398,16.65065642010887,0.0,757.9693034238488,40
sonarqube_any_raw_metric_missing,1,1633,0,0.027556644213104716,0.0,0.0,1.0,1588
sonarqube_all_raw_metrics_missing,1,1633,0,0.013472137170851195,0.0,0.0,1.0,1611
sonarqube_ncloc_zero,1,1633,0,0.0,0.0,0.0,0.0,1633
sonarqube_static_warnings_missing,1,1633,0,0.013472137170851195,0.0,0.0,1.0,1611
sonarqube_duplicate_density_missing,1,1633,0,0.02694427434170239,0.0,0.0,1.0,1589
sonarqube_cognitive_complexity_missing,1,1633,0,0.027556644213104716,0.0,0.0,1.0,1588
sonarqube_quality_outcomes_complete,1,1633,0,0.9724433557868953,1.0,0.0,1.0,45
