check,value
input_panel_rows,1633
merged_rows,1633
row_count_preserved,1
repos,220
treatment_rows,853
control_rows,780
treatment_repos,100
control_repos,120
min_time,2024-01
max_time,2025-08
duplicate_repo_time_source_rows,0
missing_sonarqube_latest_commit,15
ncloc_raw_nonmissing,1589
ncloc_raw_missing,44
bugs_raw_nonmissing,1611
bugs_raw_missing,22
vulnerabilities_raw_nonmissing,1611
vulnerabilities_raw_missing,22
code_smells_raw_nonmissing,1611
code_smells_raw_missing,22
duplicated_lines_density_raw_nonmissing,1589
duplicated_lines_density_raw_missing,44
comment_lines_density_raw_nonmissing,1589
comment_lines_density_raw_missing,44
cognitive_complexity_raw_nonmissing,1588
cognitive_complexity_raw_missing,45
technical_debt_raw_nonmissing,1611
technical_debt_raw_missing,22
static_analysis_warnings_nonmissing,1611
static_analysis_warnings_missing,22
duplicate_line_density_nonmissing,1589
duplicate_line_density_missing,44
code_complexity_nonmissing,1588
code_complexity_missing,45
warnings_per_kloc_nonmissing,1589
warnings_per_kloc_missing,44
complexity_per_kloc_nonmissing,1588
complexity_per_kloc_missing,45
code_smells_per_kloc_nonmissing,1589
code_smells_per_kloc_missing,44
sonarqube_any_raw_metric_missing_sum,45
sonarqube_all_raw_metrics_missing_sum,22
sonarqube_ncloc_zero_sum,0
sonarqube_static_warnings_missing_sum,22
sonarqube_duplicate_density_missing_sum,44
sonarqube_cognitive_complexity_missing_sum,45
sonarqube_quality_outcomes_complete_sum,1588
run_py_2c_panel_variant,strict
run_py_2c_rows,1633
run_py_2c_repos,220
run_py_2c_treatment_rows,853
run_py_2c_control_rows,780
run_py_2c_treatment_repos,100
run_py_2c_control_repos,120
run_py_2c_sonarqube_all_raw_metrics_missing_rows,22
run_py_2c_sonarqube_ncloc_zero_rows,0
run_py_2c_static_warnings_missing_rows,22
run_py_2c_duplicate_density_missing_rows,44
run_py_2c_cognitive_complexity_missing_rows,45
run_py_2c_quality_outcomes_complete_rows,1588
