check,value
panel_label,strict
input_rows,1633
output_rows,1633
row_count_preserved_in_full_output,1
repos,220
min_time,2024-01
max_time,2025-08
treatment_rows,853
control_rows,780
treatment_repos,100
control_repos,120
duplicate_repo_time_source_rows,0
analysis_ready_did_base_rows,1633
analysis_ready_core_quality_rows,1588
analysis_ready_quality_did_rows,1588
missing_core_quality_rows,45
treatment_time_to_event_nonmissing,853
control_time_to_event_nonmissing,0
post_event_sum,432
control_post_event_sum,0
treatment_post_event_sum,432
sonarqube_latest_commit_missing,15
sonarqube_any_raw_metric_missing_sum,45
sonarqube_all_raw_metrics_missing_sum,22
sonarqube_ncloc_zero_sum,0
sonarqube_static_warnings_missing_sum,22
sonarqube_duplicate_density_missing_sum,44
sonarqube_cognitive_complexity_missing_sum,45
sonarqube_quality_outcomes_complete_sum,1588
static_analysis_warnings_nonmissing,1611
static_analysis_warnings_missing,22
static_analysis_warnings_zero_count,56
static_analysis_warnings_mean,1036.9906890130353
static_analysis_warnings_median,140.0
duplicate_line_density_nonmissing,1589
duplicate_line_density_missing,44
duplicate_line_density_zero_count,444
duplicate_line_density_mean,6.413845185651352
duplicate_line_density_median,2.6
code_complexity_nonmissing,1588
code_complexity_missing,45
code_complexity_zero_count,2
code_complexity_mean,5170.76637279597
code_complexity_median,927.0
warnings_per_kloc_nonmissing,1589
warnings_per_kloc_missing,44
warnings_per_kloc_zero_count,34
warnings_per_kloc_mean,27.638088471186247
warnings_per_kloc_median,17.377567140600316
complexity_per_kloc_nonmissing,1588
complexity_per_kloc_missing,45
complexity_per_kloc_zero_count,2
complexity_per_kloc_mean,139.11405522003858
complexity_per_kloc_median,114.58333333333331
code_smells_per_kloc_nonmissing,1589
code_smells_per_kloc_missing,44
code_smells_per_kloc_zero_count,40
code_smells_per_kloc_mean,25.347484183130398
code_smells_per_kloc_median,16.65065642010887
technical_debt_nonmissing,1611
technical_debt_missing,22
technical_debt_zero_count,62
technical_debt_mean,6236.284916201117
technical_debt_median,808.0
ncloc_nonmissing,1589
ncloc_missing,44
ncloc_zero_count,0
ncloc_mean,57545.05789804909
ncloc_median,7660.0
duplicated_lines_density_nonmissing,1589
duplicated_lines_density_missing,44
duplicated_lines_density_zero_count,444
duplicated_lines_density_mean,6.413845185651352
duplicated_lines_density_median,2.6
comment_lines_density_nonmissing,1589
comment_lines_density_missing,44
comment_lines_density_zero_count,9
comment_lines_density_mean,15.404027690371302
comment_lines_density_median,12.7
cognitive_complexity_nonmissing,1588
cognitive_complexity_missing,45
cognitive_complexity_zero_count,2
cognitive_complexity_mean,5170.76637279597
cognitive_complexity_median,927.0
bugs_nonmissing,1611
bugs_missing,22
bugs_zero_count,405
bugs_mean,40.041589075108625
bugs_median,4.0
vulnerabilities_nonmissing,1611
vulnerabilities_missing,22
vulnerabilities_zero_count,795
vulnerabilities_mean,7.75356921166977
vulnerabilities_median,1.0
code_smells_nonmissing,1611
code_smells_missing,22
code_smells_zero_count,62
code_smells_mean,989.195530726257
code_smells_median,122.0
log_static_analysis_warnings_nonmissing,1611
log_static_analysis_warnings_finite,1611
log_code_complexity_nonmissing,1588
log_code_complexity_finite,1588
log_technical_debt_nonmissing,1611
log_technical_debt_finite,1611
log_ncloc_nonmissing,1589
log_ncloc_finite,1589
log_bugs_nonmissing,1611
log_bugs_finite,1611
log_vulnerabilities_nonmissing,1611
log_vulnerabilities_finite,1611
log_code_smells_nonmissing,1611
log_code_smells_finite,1611
log_warnings_per_kloc_nonmissing,1589
log_warnings_per_kloc_finite,1589
log_complexity_per_kloc_nonmissing,1588
log_complexity_per_kloc_finite,1588
log_code_smells_per_kloc_nonmissing,1589
log_code_smells_per_kloc_finite,1589
complete_output_path,repo_python/did_final_pyv2_paper_overlap/panel_event_matched_strict_with_sonarqube_quality_did_input_complete.csv
complete_output_rows,1588
complete_output_repos,217
