check,value
panel_label,strict
rows,1588
repos,217
treatment_rows,837
control_rows,751
treated_repos,100
control_repos,117
control_post_event_sum,0
treated_post_rows,423
post_event_mismatch_rows,0
analysis_ready_quality_did_rows,1588
static_analysis_warnings_nonmissing,1588
duplicate_line_density_nonmissing,1588
code_complexity_nonmissing,1588
sonarqube_latest_commit_missing,0
sonarqube_any_raw_metric_missing_sum,0
sonarqube_all_raw_metrics_missing_sum,0
sonarqube_ncloc_zero_sum,0
sonarqube_quality_outcomes_complete_sum,1588
