panel,check,value
strict,panel_label,strict
strict,input_rows,1633
strict,output_rows,1633
strict,row_count_preserved_in_full_output,1
strict,repos,220
strict,min_time,2024-01
strict,max_time,2025-08
strict,treatment_rows,853
strict,control_rows,780
strict,treatment_repos,100
strict,control_repos,120
strict,duplicate_repo_time_source_rows,0
strict,analysis_ready_did_base_rows,1633
strict,analysis_ready_core_quality_rows,1588
strict,analysis_ready_quality_did_rows,1588
strict,missing_core_quality_rows,45
strict,treatment_time_to_event_nonmissing,853
strict,control_time_to_event_nonmissing,0
strict,post_event_sum,432
strict,control_post_event_sum,0
strict,treatment_post_event_sum,432
strict,sonarqube_latest_commit_missing,15
strict,sonarqube_any_raw_metric_missing_sum,45
strict,sonarqube_all_raw_metrics_missing_sum,22
strict,sonarqube_ncloc_zero_sum,0
strict,sonarqube_static_warnings_missing_sum,22
strict,sonarqube_duplicate_density_missing_sum,44
strict,sonarqube_cognitive_complexity_missing_sum,45
strict,sonarqube_quality_outcomes_complete_sum,1588
strict,static_analysis_warnings_nonmissing,1611
strict,static_analysis_warnings_missing,22
strict,static_analysis_warnings_zero_count,56
strict,static_analysis_warnings_mean,1036.9906890130353
strict,static_analysis_warnings_median,140.0
strict,duplicate_line_density_nonmissing,1589
strict,duplicate_line_density_missing,44
strict,duplicate_line_density_zero_count,444
strict,duplicate_line_density_mean,6.413845185651352
strict,duplicate_line_density_median,2.6
strict,code_complexity_nonmissing,1588
strict,code_complexity_missing,45
strict,code_complexity_zero_count,2
strict,code_complexity_mean,5170.76637279597
strict,code_complexity_median,927.0
strict,warnings_per_kloc_nonmissing,1589
strict,warnings_per_kloc_missing,44
strict,warnings_per_kloc_zero_count,34
strict,warnings_per_kloc_mean,27.638088471186247
strict,warnings_per_kloc_median,17.377567140600316
strict,complexity_per_kloc_nonmissing,1588
strict,complexity_per_kloc_missing,45
strict,complexity_per_kloc_zero_count,2
strict,complexity_per_kloc_mean,139.11405522003858
strict,complexity_per_kloc_median,114.58333333333331
strict,code_smells_per_kloc_nonmissing,1589
strict,code_smells_per_kloc_missing,44
strict,code_smells_per_kloc_zero_count,40
strict,code_smells_per_kloc_mean,25.347484183130398
strict,code_smells_per_kloc_median,16.65065642010887
strict,technical_debt_nonmissing,1611
strict,technical_debt_missing,22
strict,technical_debt_zero_count,62
strict,technical_debt_mean,6236.284916201117
strict,technical_debt_median,808.0
strict,ncloc_nonmissing,1589
strict,ncloc_missing,44
strict,ncloc_zero_count,0
strict,ncloc_mean,57545.05789804909
strict,ncloc_median,7660.0
strict,duplicated_lines_density_nonmissing,1589
strict,duplicated_lines_density_missing,44
strict,duplicated_lines_density_zero_count,444
strict,duplicated_lines_density_mean,6.413845185651352
strict,duplicated_lines_density_median,2.6
strict,comment_lines_density_nonmissing,1589
strict,comment_lines_density_missing,44
strict,comment_lines_density_zero_count,9
strict,comment_lines_density_mean,15.404027690371302
strict,comment_lines_density_median,12.7
strict,cognitive_complexity_nonmissing,1588
strict,cognitive_complexity_missing,45
strict,cognitive_complexity_zero_count,2
strict,cognitive_complexity_mean,5170.76637279597
strict,cognitive_complexity_median,927.0
strict,bugs_nonmissing,1611
strict,bugs_missing,22
strict,bugs_zero_count,405
strict,bugs_mean,40.041589075108625
strict,bugs_median,4.0
strict,vulnerabilities_nonmissing,1611
strict,vulnerabilities_missing,22
strict,vulnerabilities_zero_count,795
strict,vulnerabilities_mean,7.75356921166977
strict,vulnerabilities_median,1.0
strict,code_smells_nonmissing,1611
strict,code_smells_missing,22
strict,code_smells_zero_count,62
strict,code_smells_mean,989.195530726257
strict,code_smells_median,122.0
strict,log_static_analysis_warnings_nonmissing,1611
strict,log_static_analysis_warnings_finite,1611
strict,log_code_complexity_nonmissing,1588
strict,log_code_complexity_finite,1588
strict,log_technical_debt_nonmissing,1611
strict,log_technical_debt_finite,1611
strict,log_ncloc_nonmissing,1589
strict,log_ncloc_finite,1589
strict,log_bugs_nonmissing,1611
strict,log_bugs_finite,1611
strict,log_vulnerabilities_nonmissing,1611
strict,log_vulnerabilities_finite,1611
strict,log_code_smells_nonmissing,1611
strict,log_code_smells_finite,1611
strict,log_warnings_per_kloc_nonmissing,1589
strict,log_warnings_per_kloc_finite,1589
strict,log_complexity_per_kloc_nonmissing,1588
strict,log_complexity_per_kloc_finite,1588
strict,log_code_smells_per_kloc_nonmissing,1589
strict,log_code_smells_per_kloc_finite,1589
strict,complete_output_path,repo_python/did_final_pyv2_paper_overlap/panel_event_matched_strict_with_sonarqube_quality_did_input_complete.csv
strict,complete_output_rows,1588
strict,complete_output_repos,217
