repo_name,status,target_dir,note,status_norm
00sapo/taskcheck,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/00sapo_taskcheck,already_has_git_dir,skipped_existing
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,already_has_git_dir,skipped_existing
4mritGiri/NumberTracker,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/4mritGiri_NumberTracker,already_has_git_dir,skipped_existing
666wcy/ARPT-Bot,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/666wcy_ARPT-Bot,already_has_git_dir,skipped_existing
AkariAsai/ScholarQABench,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,already_has_git_dir,skipped_existing
AlexIoannides/pyspark-example-project,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AlexIoannides_pyspark-example-project,already_has_git_dir,skipped_existing
ArpiarSaundersLab/annsql,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,already_has_git_dir,skipped_existing
BalancerMaxis/multisig-ops,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,already_has_git_dir,skipped_existing
Benzauber/convert-commander,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Benzauber_convert-commander,already_has_git_dir,skipped_existing
BiancoChiu/iOSRealRun-cli-18,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BiancoChiu_iOSRealRun-cli-18,already_has_git_dir,skipped_existing
C4NU/Paddie,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/C4NU_Paddie,already_has_git_dir,skipped_existing
Cherecho/Triangular-arbitrage,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Cherecho_Triangular-arbitrage,already_has_git_dir,skipped_existing
Cjy-CN/PUBGRecognizeAndGunpress,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Cjy-CN_PUBGRecognizeAndGunpress,already_has_git_dir,skipped_existing
DakeQQ/YOLO-Depth-Estimation-for-Android,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,already_has_git_dir,skipped_existing
Drchip61/Dual_SAM,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Drchip61_Dual_SAM,already_has_git_dir,skipped_existing
EURAC-EEBgroup/brick-llm,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/EURAC-EEBgroup_brick-llm,already_has_git_dir,skipped_existing
Envious-Data/Env-KB,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Envious-Data_Env-KB,already_has_git_dir,skipped_existing
Event-AHU/OpenEvDET,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,already_has_git_dir,skipped_existing
FFY0/AdaKV,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FFY0_AdaKV,already_has_git_dir,skipped_existing
FMInference/FlexiGen,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,already_has_git_dir,skipped_existing
FaceAdapter/Face-Adapter,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FaceAdapter_Face-Adapter,already_has_git_dir,skipped_existing
FlipperPA/peregrine,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,already_has_git_dir,skipped_existing
FolhaSP/mosaico,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,already_has_git_dir,skipped_existing
GispoCoding/qgis-venv-creator,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/GispoCoding_qgis-venv-creator,already_has_git_dir,skipped_existing
Hack-a-Day/2024-Supercon-8-Add-On-Badge,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Hack-a-Day_2024-Supercon-8-Add-On-Badge,already_has_git_dir,skipped_existing
HelpingAI/Webscout,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,already_has_git_dir,skipped_existing
IBM/mt-rag-benchmark,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/IBM_mt-rag-benchmark,already_has_git_dir,skipped_existing
ITSpecialist111/ai_automation_suggester,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ITSpecialist111_ai_automation_suggester,already_has_git_dir,skipped_existing
Jieqianyu/SGN,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Jieqianyu_SGN,already_has_git_dir,skipped_existing
JustinSparrrow/IOOI-EmotionEgg,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/JustinSparrrow_IOOI-EmotionEgg,already_has_git_dir,skipped_existing
Khrylx/PyTorch-RL,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Khrylx_PyTorch-RL,already_has_git_dir,skipped_existing
LGro/PyAPSI,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LGro_PyAPSI,already_has_git_dir,skipped_existing
LinJing517/micropython-deauth,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LinJing517_micropython-deauth,already_has_git_dir,skipped_existing
LonamiWebs/Telebackup,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LonamiWebs_Telebackup,already_has_git_dir,skipped_existing
LuneMods/KCD2-Blender-Toolkit,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LuneMods_KCD2-Blender-Toolkit,already_has_git_dir,skipped_existing
MIT-Emerging-Talent/ET6-edXtras,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,already_has_git_dir,skipped_existing
Makopolo/megascan_houdini20.0_USD_plugin,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Makopolo_megascan_houdini20.0_USD_plugin,already_has_git_dir,skipped_existing
MalevichAI/malevich,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,already_has_git_dir,skipped_existing
MingSun-Tse/LightAvatar-TensorFlow,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MingSun-Tse_LightAvatar-TensorFlow,already_has_git_dir,skipped_existing
MrTimonM/Arichain-Bot,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MrTimonM_Arichain-Bot,already_has_git_dir,skipped_existing
NVIDIA/cuEquivariance,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/NVIDIA_cuEquivariance,already_has_git_dir,skipped_existing
NiceRingNode/LGGPT,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/NiceRingNode_LGGPT,already_has_git_dir,skipped_existing
OSU-NLP-Group/HippoRAG,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/OSU-NLP-Group_HippoRAG,already_has_git_dir,skipped_existing
PennyLaneAI/catalyst,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PennyLaneAI_catalyst,already_has_git_dir,skipped_existing
PhilNad/robot-arm-kinematic-calibration,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PhilNad_robot-arm-kinematic-calibration,already_has_git_dir,skipped_existing
PiotrMachowski/Home-Assistant-custom-components-TGE,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PiotrMachowski_Home-Assistant-custom-components-TGE,already_has_git_dir,skipped_existing
PromtEngineer/localGPT,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PromtEngineer_localGPT,already_has_git_dir,skipped_existing
