dataset_source,repo_name,latest_commit,snapshot_dir,python_files_manifest,regular_python_files_counted,symlinks_skipped,total_physical_lines,comment_only_lines,ncloc_python_snapshot,tokenized_files,fallback_files,ncloc_failure_count
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,repo_python/run-py-3a/strict/python_snapshots/control/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention/2155b95284b5e4bfb02cc6aaf00914eafbdcad07,3,3,0,545,66,408,3,0,0
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,repo_python/run-py-3a/strict/python_snapshots/control/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention/5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,545,66,408,3,0,0
control,AkariAsai/ScholarQABench,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,repo_python/run-py-3a/strict/python_snapshots/control/AkariAsai_ScholarQABench/05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,8,8,0,2133,107,1714,8,0,0
control,AkariAsai/ScholarQABench,8f63e5b270ac2eac04ba06bfe42913388087f87f,repo_python/run-py-3a/strict/python_snapshots/control/AkariAsai_ScholarQABench/8f63e5b270ac2eac04ba06bfe42913388087f87f,7,7,0,1934,106,1545,7,0,0
control,AkariAsai/ScholarQABench,95e6fc52b0a8a0ce0a74956029991e3bb00c38b9,repo_python/run-py-3a/strict/python_snapshots/control/AkariAsai_ScholarQABench/95e6fc52b0a8a0ce0a74956029991e3bb00c38b9,8,8,0,2133,107,1714,8,0,0
control,AkariAsai/ScholarQABench,a87a5e9cf8913b1b0cab3f74c9fc51560e4a3465,repo_python/run-py-3a/strict/python_snapshots/control/AkariAsai_ScholarQABench/a87a5e9cf8913b1b0cab3f74c9fc51560e4a3465,8,8,0,2133,107,1714,8,0,0
control,AkariAsai/ScholarQABench,c439fbce548b5fab5ff5304e748763e6c8b2b014,repo_python/run-py-3a/strict/python_snapshots/control/AkariAsai_ScholarQABench/c439fbce548b5fab5ff5304e748763e6c8b2b014,8,8,0,2133,107,1714,8,0,0
control,ArpiarSaundersLab/annsql,144ef3bf441c1dc2ffc43ff3c967601f668bb4a9,repo_python/run-py-3a/strict/python_snapshots/control/ArpiarSaundersLab_annsql/144ef3bf441c1dc2ffc43ff3c967601f668bb4a9,25,25,0,5820,597,4192,25,0,0
control,ArpiarSaundersLab/annsql,4d48c602f9a55fef75cd57e3db238503bf180736,repo_python/run-py-3a/strict/python_snapshots/control/ArpiarSaundersLab_annsql/4d48c602f9a55fef75cd57e3db238503bf180736,25,25,0,5820,597,4192,25,0,0
control,ArpiarSaundersLab/annsql,69f3d00daaa7ac6f185d7e8b4d5b4bed618c3cab,repo_python/run-py-3a/strict/python_snapshots/control/ArpiarSaundersLab_annsql/69f3d00daaa7ac6f185d7e8b4d5b4bed618c3cab,25,25,0,5820,597,4192,25,0,0
control,ArpiarSaundersLab/annsql,743f9eb70bd0a38892c47d6d7edb2598464bbd56,repo_python/run-py-3a/strict/python_snapshots/control/ArpiarSaundersLab_annsql/743f9eb70bd0a38892c47d6d7edb2598464bbd56,11,11,0,996,110,741,11,0,0
control,ArpiarSaundersLab/annsql,8349da0d1d0ce5692448c5c19e8bb83f2bdc36b1,repo_python/run-py-3a/strict/python_snapshots/control/ArpiarSaundersLab_annsql/8349da0d1d0ce5692448c5c19e8bb83f2bdc36b1,21,21,0,5286,450,3871,21,0,0
control,ArpiarSaundersLab/annsql,95458872d923921d3231becd2429b327a626bb6d,repo_python/run-py-3a/strict/python_snapshots/control/ArpiarSaundersLab_annsql/95458872d923921d3231becd2429b327a626bb6d,14,14,0,1928,234,1416,14,0,0
control,ArpiarSaundersLab/annsql,ab9496863121dadc5cd7502e0c355536b24e6f36,repo_python/run-py-3a/strict/python_snapshots/control/ArpiarSaundersLab_annsql/ab9496863121dadc5cd7502e0c355536b24e6f36,16,16,0,2300,227,1744,16,0,0
control,ArpiarSaundersLab/annsql,c66fb84a7ce4a6a9b23dad2f15fd5d3812b65d17,repo_python/run-py-3a/strict/python_snapshots/control/ArpiarSaundersLab_annsql/c66fb84a7ce4a6a9b23dad2f15fd5d3812b65d17,11,11,0,1298,133,981,11,0,0
control,ArpiarSaundersLab/annsql,dd27a7d1a7b06498d0d3ead34847d6e7241105f6,repo_python/run-py-3a/strict/python_snapshots/control/ArpiarSaundersLab_annsql/dd27a7d1a7b06498d0d3ead34847d6e7241105f6,14,14,0,1928,234,1416,14,0,0
control,BalancerMaxis/multisig-ops,11a86b0fffa84f618b236372f79ebdedd003a168,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/11a86b0fffa84f618b236372f79ebdedd003a168,77,76,1,11457,834,9096,76,0,0
control,BalancerMaxis/multisig-ops,293b45f01cfdbe37abab909b627f9419f8a6a0be,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/293b45f01cfdbe37abab909b627f9419f8a6a0be,76,75,1,11323,826,8984,75,0,0
control,BalancerMaxis/multisig-ops,5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/5483a5ab2c8ec21b205d21bfb3d3b7b96a737fe9,90,89,1,13950,984,11047,89,0,0
control,BalancerMaxis/multisig-ops,5507c2d5eb55e27c52041c0712b6a8abe8509dcd,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/5507c2d5eb55e27c52041c0712b6a8abe8509dcd,84,83,1,12404,857,9855,83,0,0
control,BalancerMaxis/multisig-ops,6ab6c1a7bd43de48366f370db059ffac768caf4a,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/6ab6c1a7bd43de48366f370db059ffac768caf4a,75,74,1,10588,794,8337,74,0,0
control,BalancerMaxis/multisig-ops,707332fe68a8b569c7fe20e020300a86a882f90c,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/707332fe68a8b569c7fe20e020300a86a882f90c,85,84,1,12662,877,10061,84,0,0
control,BalancerMaxis/multisig-ops,7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/7f89042c4e35b1e75c5e987c3bac3a2faf98dbef,87,86,1,13367,917,10685,86,0,0
control,BalancerMaxis/multisig-ops,9614e46a65df5037ab770ea4d2b21dc51c8b0018,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/9614e46a65df5037ab770ea4d2b21dc51c8b0018,84,83,1,12419,858,9869,83,0,0
control,BalancerMaxis/multisig-ops,9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/9d46eba7992833ffc520fed2afc4d8ec6ed5fad9,75,74,1,10922,811,8626,74,0,0
control,BalancerMaxis/multisig-ops,a4414862d17f1c2f1a775d2f7bef9d3b79384edb,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/a4414862d17f1c2f1a775d2f7bef9d3b79384edb,82,81,1,12098,847,9614,81,0,0
control,BalancerMaxis/multisig-ops,a719d670957ca738f43a2e583516df488a3e9428,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/a719d670957ca738f43a2e583516df488a3e9428,84,83,1,12340,857,9803,83,0,0
control,BalancerMaxis/multisig-ops,ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/ac6ec10c4a3b2f72ba1b9b898800280c0c6a36a0,81,80,1,12005,847,9529,80,0,0
control,BalancerMaxis/multisig-ops,b41a942c42f6608f5b31a227968894f2c2a12ff1,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/b41a942c42f6608f5b31a227968894f2c2a12ff1,78,77,1,11771,837,9357,77,0,0
control,BalancerMaxis/multisig-ops,b660d124f15401d6aa523fe33731f99bf0e4e6aa,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/b660d124f15401d6aa523fe33731f99bf0e4e6aa,87,86,1,13149,897,10499,86,0,0
control,BalancerMaxis/multisig-ops,bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/bfb22ac38e1c315d7ca2087ce4d8d2d81981e0cc,89,88,1,13675,986,10832,88,0,0
control,BalancerMaxis/multisig-ops,cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/cf6f7f1782e8b6ee5ec7b47529e5b43eb3634aad,81,80,1,12096,849,9609,80,0,0
control,BalancerMaxis/multisig-ops,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/df970e8b772a5bcd3d75893a4ad23c0f9cba345c,75,74,1,10718,803,8441,74,0,0
control,BalancerMaxis/multisig-ops,ee129356940cfa41c62e1bbda188aaa1bd7f25fe,repo_python/run-py-3a/strict/python_snapshots/control/BalancerMaxis_multisig-ops/ee129356940cfa41c62e1bbda188aaa1bd7f25fe,86,85,1,13099,896,10454,85,0,0
