repo_name,time,dataset_source,is_treatment,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,stars,issues,age,ncloc_paper,ncloc_python_snapshot,paper_covariate_matched,python_snapshot_ncloc_matched,analysis_ready_agc_paper_ncloc,analysis_ready_agc_python_snapshot_ncloc,latest_commit,python_file_count,files_analyzed,failure_count,agc_analysis_status,agc_repo_month_matched,top_level_blocks_scored,agc_top_level_blocks,human_top_level_blocks,agc_top_level_block_ratio,function_blocks_scored,agc_function_blocks,human_function_blocks,agc_function_block_ratio,class_blocks_scored,agc_class_blocks,human_class_blocks,agc_class_block_ratio,comparison_status,changed_top_level_blocks,changed_agc_top_level_blocks,changed_hwc_top_level_blocks,agc_changed_top_level_block_ratio,added_top_level_blocks,added_agc_top_level_blocks,added_hwc_top_level_blocks,agc_added_top_level_block_ratio,modified_top_level_blocks,modified_agc_top_level_blocks,modified_hwc_top_level_blocks,agc_modified_top_level_block_ratio,changed_function_blocks,changed_agc_function_blocks,changed_hwc_function_blocks,agc_changed_function_block_ratio,changed_class_blocks,changed_agc_class_blocks,changed_hwc_class_blocks,agc_changed_class_block_ratio,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc
1mrat/cursor-taskrunner,2024-08,treatment,1,2024-08,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,264,8,1,9.0,0.0,0.0,209.0,121,1,1,1,1,53d6ca106d0525b5eec3d03eba2406488da0ddcd,1,1,0,ok,1,8,4,4,0.5,8,4,4,0.5,0,0,0,,no_previous_month,,,,,,,,,,,,,,,,,,,,,0,0
Anemll/Anemll,2025-02,treatment,1,2025-02,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,2742,701,2,212.0,3.0,0.0,3990.0,4482,1,1,1,1,d3b2e3660c0657ab643b68a0513b4b5ab443c04c,22,22,0,ok,1,73,12,61,0.1643835616438356,56,11,45,0.1964285714285714,17,1,16,0.0588235294117647,no_previous_month,,,,,,,,,,,,,,,,,,,,,0,0
Anemll/Anemll,2025-04,treatment,1,2025-02,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,23138,423,2,23.0,5.0,51.0,4093.0,4609,1,1,1,1,d175746c2ffbabd0a0e4491212c0ef0a501d9848,23,23,0,ok,1,77,12,65,0.1558441558441558,60,11,49,0.1833333333333333,17,1,16,0.0588235294117647,ready,19,1,18,0.05263157894736842,4,0,4,0.0,15,1,14,0.06666666666666667,16,1,15,0.0625,3,0,3,0.0,1,1
Anemll/Anemll,2025-05,treatment,1,2025-02,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,551.0,2.0,81.0,4093.0,4609,1,1,1,1,4bfa0b08183a437e759798f2245bbcba2313521f,23,23,0,ok,1,77,12,65,0.1558441558441558,60,11,49,0.1833333333333333,17,1,16,0.0588235294117647,ready,1,0,1,0.0,0,0,0,,1,0,1,0.0,1,0,1,0.0,0,0,0,,1,1
Anemll/Anemll,2025-06,treatment,1,2025-02,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,65,91287,9154,3,74.0,3.0,112.0,18458.0,19392,1,1,1,1,b0ea623eaac791a0803849c4f35ef8357f98935b,113,113,0,ok,1,284,29,255,0.102112676056338,230,26,204,0.1130434782608695,54,3,51,0.0555555555555555,ready,226,17,209,0.0752212389380531,207,17,190,0.0821256038647343,19,0,19,0.0,186,15,171,0.08064516129032258,40,2,38,0.05,1,1
Anemll/Anemll,2025-07,treatment,1,2025-02,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5389,567,1,35.0,2.0,142.0,21444.0,22574,1,1,1,1,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,119,119,0,ok,1,311,34,277,0.1093247588424437,248,31,217,0.125,63,3,60,0.0476190476190476,ready,48,6,42,0.125,27,4,23,0.14814814814814814,21,2,19,0.09523809523809523,32,6,26,0.1875,16,0,16,0.0,1,1
Apocrathia/home-assistant-config,2024-01,treatment,0,2025-02,0,-13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,22,1,3.0,0.0,2070.0,48.0,59,1,1,1,1,bbe44a43577ec4c93304b6303bf7604710f10533,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,no_previous_month,,,,,,,,,,,,,,,,,,,,,0,0
Apocrathia/home-assistant-config,2024-02,treatment,0,2025-02,0,-12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4.0,0.0,2101.0,48.0,59,1,1,1,1,26904b6524e3139a36005bd9d482feb396099c25,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2024-03,treatment,0,2025-02,0,-11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,147,1,2.0,0.0,2130.0,48.0,59,1,1,1,1,8a82eda5ceac8dc9bc217ca0985392aceff8fcd4,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2024-04,treatment,0,2025-02,0,-10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,108,40,1,6.0,0.0,2161.0,48.0,59,1,1,1,1,a47d24eaa2e788005bda981bc81601dc1324825e,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
