outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,specification,specification_label,ncloc_column,role,sample_rows,sample_repositories,first_stage_formula,estimate_percentage_points,conf_low_percentage_points,conf_high_percentage_points
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,-6,-0.0237867758816612,-0.0639777953162072,0.0164042435528848,0.0205056221604827,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,-2.37867758816612,-6.39777953162072,1.64042435528848
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,-5,-0.021268649420982,-0.0655543942613963,0.0230170954194322,0.0225947677757216,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,-2.1268649420982,-6.55543942613963,2.30170954194322
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,-4,-0.0192016089884833,-0.0798234165486439,0.0414201985716773,0.0309294936531432,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,-1.92016089884833,-7.98234165486439,4.14201985716773
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,-3,-0.0272359752853114,-0.0857538336682865,0.0312818830976637,0.0298560501953955,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,-2.72359752853114,-8.57538336682865,3.12818830976637
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,-2,0.0204174336327523,-0.0301190109769609,0.0709538782424655,0.0257839003110782,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,2.04174336327523,-3.01190109769609,7.09538782424655
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,0,0.0458166433660371,-0.0271080797138631,0.118741366445937,0.037206491367296,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,4.58166433660371,-2.71080797138631,11.8741366445937
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,1,-0.0100564287126691,-0.0597643650910228,0.0396515076656846,0.0253611920297723,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,-1.00564287126691,-5.97643650910228,3.96515076656846
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,2,-0.0461587797297434,-0.105843735802514,0.0135261763430277,0.0304515082003934,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,-4.61587797297434,-10.5843735802514,1.35261763430277
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,3,-0.0156484516166086,-0.0619440329712776,0.0306471297380604,0.0236201945687087,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,-1.56484516166086,-6.19440329712776,3.06471297380604
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,4,-0.0333036971321383,-0.102465164803303,0.0358577705390259,0.0352864630975328,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,-3.33036971321383,-10.2465164803303,3.58577705390259
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,5,-0.0580153880916189,-0.11084335848643,-0.00518741769680813,0.0269530461198014,,TRUE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,-5.80153880916189,-11.084335848643,-0.518741769680813
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,6,-0.0573965810514567,-0.160642179961861,0.0458490178589479,0.0526763259746962,,FALSE,strict,unadjusted,Unadjusted,none,primary,1123,166,~1 | repo_id + time_id,-5.73965810514567,-16.0642179961861,4.58490178589479
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,-6,-0.0289951161543727,-0.0679212734874248,0.00993104117867939,0.019860284353598,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-2.89951161543727,-6.79212734874248,0.993104117867939
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,-5,-0.0190676352193302,-0.0645638370995598,0.0264285666608994,0.0232123478980763,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.90676352193302,-6.45638370995598,2.64285666608994
