check,value
panel_label,strict
rows,1633
repositories,220
treatment_rows,853
control_rows,780
treatment_repositories,100
control_repositories,120
duplicate_keys,0
time_id_missing,0
treatment_event_id_missing,0
control_event_id_nonzero,0
is_treatment_post_event_mismatch,0
time_to_event_mismatch,0
changed_agc_plus_hwc_mismatch,0
changed_added_plus_modified_mismatch,0
changed_agc_added_plus_modified_mismatch,0
changed_hwc_added_plus_modified_mismatch,0
changed_function_plus_class_mismatch,0
changed_agc_function_plus_class_mismatch,0
changed_hwc_function_plus_class_mismatch,0
primary_ratio_mismatch,0
function_ratio_mismatch,0
class_ratio_mismatch,0
primary_ratio_outside_unit_interval,0
function_ratio_outside_unit_interval,0
class_ratio_outside_unit_interval,0
primary_ratio_rows,1127
commits_nonmissing,1633
lines_added_nonmissing,1633
commits_negative,0
lines_added_negative,0
ncloc_paper_nonmissing,1596
ncloc_python_snapshot_nonmissing,1633
upstream_validation_status,PASS
upstream_checks_failed,0
