dataset_source,repo_name,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate,treatment_group,active_treatment,first_month,last_month,event_month,parse_exclusion_record_share,parse_exclusion_rank
treatment,allthingslinux/tux,2721,2139,3981,3981,3486,7467,38,28,10,24,19,7,6853,34,0.3684210526315789,0.011220196353436185,0.007033408691283597,0.002868617326448652,0.005089058524173028,0.004961330804027433,1,1,2024-01,2025-08,2025-02,0.11801242236024845,1
control,pieces-app/cli-agent,1245,956,3632,3632,1863,5495,32,25,7,32,20,3,5040,26,0.15,0.03347280334728033,0.006883259911894273,0.003757380568974772,0.005823475887170155,0.005158730158730159,0,0,2024-01,2025-08,,0.09937888198757763,2
treatment,getsentry/sentry,27530,27497,62166,62166,59025,121191,24,24,0,24,20,5,120549,24,0.25,0.000872822489726152,0.00038606312132033585,0.0,0.00019803450751293414,0.0001990891670606973,1,1,2024-01,2025-08,2025-02,0.07453416149068323,3
control,HelpingAI/Webscout,932,872,3347,3347,2645,5992,19,10,9,17,19,5,5529,16,0.2631578947368421,0.0194954128440367,0.002987750224081267,0.003402646502835539,0.003170894526034713,0.0028938325194429373,0,0,2024-02,2025-08,,0.059006211180124224,4
treatment,OpenMOSS/Language-Model-SAEs,842,745,2077,2077,1780,3857,19,16,3,18,18,6,3440,18,0.3333333333333333,0.024161073825503355,0.0077034183919114105,0.0016853932584269663,0.0049261083743842365,0.005232558139534884,1,1,2024-03,2025-08,2024-12,0.059006211180124224,4
treatment,ericyuegu/hal,748,742,1620,1620,1476,3096,16,15,1,16,10,6,2571,15,0.6,0.0215633423180593,0.009259259259259259,0.0006775067750677507,0.00516795865633075,0.005834305717619603,1,1,2024-05,2025-03,2025-02,0.049689440993788817,6
control,MalevichAI/malevich,549,432,1309,1309,1099,2408,14,4,10,7,11,3,2246,13,0.2727272727272727,0.016203703703703703,0.0030557677616501145,0.009099181073703366,0.005813953488372093,0.00578806767586821,0,0,2024-01,2024-11,,0.043478260869565216,7
control,golemfoundation/octant,3468,2426,3699,3699,3057,6756,12,0,12,3,20,3,6196,12,0.15,0.001236603462489695,0.0,0.003925417075564278,0.0017761989342806395,0.001936733376371853,0,0,2024-01,2025-08,,0.037267080745341616,8
treatment,airweave-ai/airweave,1647,1429,4078,4078,3433,7511,11,5,6,11,9,4,6989,8,0.4444444444444444,0.007697690692792162,0.0012260912211868563,0.001747742499271774,0.0014645187058980162,0.001144655887823723,1,1,2024-12,2025-08,2025-03,0.034161490683229816,9
control,aj47/100x-orchestrator,345,319,312,312,270,582,10,7,3,10,4,1,474,8,0.25,0.03134796238244514,0.022435897435897436,0.011111111111111112,0.01718213058419244,0.016877637130801686,0,0,2024-11,2025-02,,0.031055900621118012,10
