excluded_top_repositories,excluded_repository_names,analysis_group,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
0,,overall,197853,188349,212024,212024,185027,397051,322,209,113,281,1633,97,378312,274,0.05939987752602572,0.001491911292334974,0.0009857374636833567,0.0006107216784577386,0.0008109789422517511,0.0007242699147793355
0,,control,111950,107762,40808,40808,33007,73815,136,74,62,116,780,40,68115,113,0.05128205128205128,0.0010764462426458307,0.001813369927465203,0.0018783894325446117,0.0018424439477071055,0.0016589591132643324
0,,treatment,85903,80587,171216,171216,152020,323236,186,135,51,165,853,57,310197,161,0.0668229777256741,0.002047476640152878,0.0007884777123633305,0.0003354821733982371,0.0005754309544728929,0.0005190250066892974
1,treatment|allthingslinux/tux,overall,195132,186210,208043,208043,181541,389584,284,181,103,257,1614,90,371459,240,0.055762081784386616,0.0013801621824821439,0.0008700124493494133,0.0005673649478630171,0.0007289827097622079,0.0006461009155788391
1,treatment|allthingslinux/tux,control,111950,107762,40808,40808,33007,73815,136,74,62,116,780,40,68115,113,0.05128205128205128,0.0010764462426458307,0.001813369927465203,0.0018783894325446117,0.0018424439477071055,0.0016589591132643324
1,treatment|allthingslinux/tux,treatment,83182,78448,167235,167235,148534,315769,148,107,41,141,834,50,303344,127,0.05995203836930456,0.0017973689577809504,0.0006398182198702425,0.00027603107705979777,0.0004686970538589919,0.0004186665963394694
3,treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|getsentry/sentry,overall,166357,157757,142245,142245,120653,262898,228,132,96,201,1574,82,245870,190,0.052096569250317665,0.001274111449888119,0.0009279763787830855,0.000795670227843485,0.0008672565025218906,0.0007727660959043397
3,treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|getsentry/sentry,control,110705,106806,37176,37176,31144,68320,104,49,55,84,760,37,63075,87,0.04868421052631579,0.0007864726700747149,0.0013180546589197332,0.001765990238890316,0.001522248243559719,0.001379310344827586
3,treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|getsentry/sentry,treatment,55652,50951,105069,105069,89509,194578,124,83,41,117,814,45,182795,103,0.05528255528255528,0.0022963239190594885,0.0007899570758263618,0.00045805449731311934,0.0006372765677517499,0.0005634727426898985
5,treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|getsentry/sentry;control|HelpingAI/Webscout;treatment|OpenMOSS/Language-Model-SAEs,overall,164583,156140,136821,136821,116228,253049,190,106,84,166,1537,71,236901,156,0.04619388418998048,0.0010631484565133853,0.0007747348725707311,0.0007227174174897615,0.0007508427221605302,0.0006585029189408233
5,treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|getsentry/sentry;control|HelpingAI/Webscout;treatment|OpenMOSS/Language-Model-SAEs,control,109773,105934,33829,33829,28499,62328,85,39,46,67,741,32,57546,71,0.043184885290148446,0.0006324692733211245,0.0011528570161695587,0.0016140917225165796,0.001363753048389167,0.001233795572237862
5,treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|getsentry/sentry;control|HelpingAI/Webscout;treatment|OpenMOSS/Language-Model-SAEs,treatment,54810,50206,102992,102992,87729,190721,105,67,38,99,796,39,179355,85,0.048994974874371856,0.0019718758714097917,0.0006505359639583656,0.00043315209337847234,0.0005505424153606578,0.00047392043712190905
10,treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|getsentry/sentry;control|HelpingAI/Webscout;treatment|OpenMOSS/Language-Model-SAEs;treatment|ericyuegu/hal;control|MalevichAI/malevich;control|golemfoundation/octant;treatment|airweave-ai/airweave;control|aj47/100x-orchestrator,overall,157826,150792,125803,125803,106893,232696,127,75,52,119,1483,54,218425,100,0.03641267700606878,0.0007891665340336358,0.0005961702026183796,0.00048646777618740236,0.0005457764637123114,0.0004578230513906375
10,treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|getsentry/sentry;control|HelpingAI/Webscout;treatment|OpenMOSS/Language-Model-SAEs;treatment|ericyuegu/hal;control|MalevichAI/malevich;control|golemfoundation/octant;treatment|airweave-ai/airweave;control|aj47/100x-orchestrator,control,105411,102757,28509,28509,24073,52582,49,28,21,47,706,25,48630,38,0.03541076487252125,0.000457389764200979,0.0009821459889859342,0.0008723466123873219,0.0009318778289148378,0.0007814106518609911
10,treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|getsentry/sentry;control|HelpingAI/Webscout;treatment|OpenMOSS/Language-Model-SAEs;treatment|ericyuegu/hal;control|MalevichAI/malevich;control|golemfoundation/octant;treatment|airweave-ai/airweave;control|aj47/100x-orchestrator,treatment,52415,48035,97294,97294,82820,180114,78,47,31,72,777,29,169795,62,0.03732303732303732,0.001498907046944936,0.0004830719263263922,0.00037430572325525236,0.00043305906259369066,0.00036514620571866075
