dataset_source,stage,error_type,error_records,unique_blob_revisions,affected_commit_pairs,affected_repositories,affected_repository_months
treatment,current_file_parse,SyntaxError,822,822,619,30,91
control,current_file_parse,SyntaxError,128,128,112,17,42
treatment,parent_file_parse,SyntaxError,82,82,69,23,47
control,parent_file_parse,SyntaxError,74,74,48,15,40
control,current_file_parse,IndentationError,30,30,30,9,13
treatment,current_file_parse,IndentationError,20,20,20,9,13
treatment,parent_file_parse,IndentationError,15,15,15,8,9
control,parent_file_parse,IndentationError,13,13,13,8,11
control,current_file_parse,TabError,10,10,10,1,2
control,parent_file_parse,TabError,3,3,3,1,2
