dataset_source,repo_name,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate,treatment_group,active_treatment,first_month,last_month,event_month,parse_exclusion_record_share,parse_exclusion_rank
treatment,getsentry/sentry,27530,27497,62166,62166,58580,120746,496,483,13,342,20,10,120108,496,0.5,0.012437720478597666,0.0077695203165717595,0.00022191874359849778,0.004107796531562122,0.004129616678322842,1,1,2024-01,2025-08,2025-02,0.4143692564745196,1
treatment,allthingslinux/tux,2721,2139,3981,3981,3362,7343,190,159,31,136,19,15,6759,186,0.7894736842105263,0.06358111266947171,0.039939713639788994,0.009220701963117191,0.025874982976984883,0.027518863737239236,1,1,2024-01,2025-08,2025-02,0.15873015873015872,2
control,pieces-app/cli-agent,1245,956,3632,3632,1815,5447,106,78,28,88,20,12,5006,97,0.6,0.09205020920502092,0.021475770925110133,0.015426997245179064,0.019460253350468148,0.01937674790251698,0,0,2024-01,2025-08,,0.0885547201336675,3
treatment,trycua/cua,1276,1057,1351,1351,994,2345,54,52,2,49,8,5,2134,53,0.625,0.046357615894039736,0.0384900074019245,0.002012072434607646,0.02302771855010661,0.02483598875351453,1,1,2025-01,2025-08,2025-03,0.045112781954887216,4
treatment,ilanbenb/wa_llm,194,179,421,421,338,759,29,27,2,27,9,7,664,29,0.7777777777777778,0.15083798882681565,0.06413301662707839,0.005917159763313609,0.03820816864295125,0.043674698795180725,1,1,2024-12,2025-08,2025-02,0.02422723475355054,5
control,HelpingAI/Webscout,932,872,3347,3347,2645,5992,19,10,9,17,19,5,5529,16,0.2631578947368421,0.0194954128440367,0.002987750224081267,0.003402646502835539,0.003170894526034713,0.0028938325194429373,0,0,2024-02,2025-08,,0.015873015873015872,6
treatment,OpenMOSS/Language-Model-SAEs,842,745,2077,2077,1780,3857,19,16,3,18,18,6,3440,18,0.3333333333333333,0.024161073825503355,0.0077034183919114105,0.0016853932584269663,0.0049261083743842365,0.005232558139534884,1,1,2024-03,2025-08,2024-12,0.015873015873015872,6
control,ArpiarSaundersLab/annsql,102,94,215,215,161,376,17,17,0,17,9,2,308,17,0.2222222222222222,0.18085106382978725,0.07906976744186046,0.0,0.04521276595744681,0.05519480519480519,0,0,2024-09,2025-05,,0.014202172096908938,8
treatment,ericyuegu/hal,748,742,1620,1620,1476,3096,16,15,1,16,10,6,2571,15,0.6,0.0215633423180593,0.009259259259259259,0.0006775067750677507,0.00516795865633075,0.005834305717619603,1,1,2024-05,2025-03,2025-02,0.013366750208855471,9
control,BalancerMaxis/multisig-ops,6137,4491,676,676,646,1322,15,9,6,15,20,6,1123,12,0.3,0.0033400133600534404,0.013313609467455622,0.009287925696594427,0.0113464447806354,0.01068566340160285,0,0,2024-01,2025-08,,0.012531328320802004,10
control,MalevichAI/malevich,549,432,1309,1309,1099,2408,14,4,10,7,11,3,2246,13,0.2727272727272727,0.016203703703703703,0.0030557677616501145,0.009099181073703366,0.005813953488372093,0.00578806767586821,0,0,2024-01,2024-11,,0.011695906432748537,11
treatment,yeagerai/genlayer-studio,451,432,1556,1556,1228,2784,14,13,1,11,18,6,2641,14,0.3333333333333333,0.02546296296296296,0.008354755784061696,0.0008143322475570033,0.005028735632183908,0.005301022340022719,1,1,2024-03,2025-08,2025-03,0.011695906432748537,11
treatment,airweave-ai/airweave,1647,1429,4078,4078,3432,7510,13,6,7,13,9,5,6988,9,0.5555555555555556,0.009097270818754374,0.0014713094654242277,0.0020396270396270395,0.0017310252996005327,0.0012879221522610188,1,1,2024-12,2025-08,2025-03,0.01086048454469507,13
control,golemfoundation/octant,3468,2426,3699,3699,3057,6756,12,0,12,3,20,3,6196,12,0.15,0.001236603462489695,0.0,0.003925417075564278,0.0017761989342806395,0.001936733376371853,0,0,2024-01,2025-08,,0.010025062656641603,14
treatment,TextGeneratorio/text-generator.io,167,133,480,480,362,842,11,8,3,10,15,3,788,10,0.2,0.07518796992481203,0.016666666666666666,0.008287292817679558,0.013064133016627079,0.012690355329949238,1,1,2024-01,2025-08,2025-03,0.009189640768588136,15
control,ITSpecialist111/ai_automation_suggester,184,161,162,162,146,308,10,5,5,8,9,4,264,6,0.4444444444444444,0.049689440993788817,0.030864197530864196,0.03424657534246575,0.032467532467532464,0.022727272727272728,0,0,2024-10,2025-06,,0.00835421888053467,16
control,aj47/100x-orchestrator,345,319,312,312,270,582,10,7,3,10,4,1,474,8,0.25,0.03134796238244514,0.022435897435897436,0.011111111111111112,0.01718213058419244,0.016877637130801686,0,0,2024-11,2025-02,,0.00835421888053467,16
treatment,ezyang/codemcp,1088,1045,1567,1567,1457,3024,10,6,4,10,4,1,2478,7,0.25,0.009569377990430622,0.0038289725590299937,0.002745367192862045,0.0033068783068783067,0.002824858757062147,1,1,2025-03,2025-06,2025-03,0.00835421888053467,16
treatment,whiteducksoftware/flock,876,707,2175,2175,1509,3684,10,5,5,10,7,1,3324,5,0.14285714285714285,0.014144271570014143,0.0022988505747126436,0.0033134526176275677,0.0027144408251900108,0.0015042117930204573,1,1,2025-02,2025-08,2025-03,0.00835421888053467,16
control,believethehype/nostrdvm,835,806,2327,2327,2180,4507,9,5,4,9,18,4,4085,7,0.2222222222222222,0.011166253101736972,0.0021486892995272885,0.001834862385321101,0.0019968937208786333,0.0017135862913096695,0,0,2024-01,2025-08,,0.007518796992481203,20
control,microsoft/semantic-link-labs,1628,1365,3867,3867,3615,7482,9,4,5,9,16,5,6360,6,0.3125,0.006593406593406593,0.001034393586759762,0.0013831258644536654,0.0012028869286287089,0.0009433962264150943,0,0,2024-05,2025-08,,0.007518796992481203,20
control,stakewise/v3-operator,160,160,397,397,358,755,9,9,0,4,19,4,720,9,0.21052631578947367,0.025,0.022670025188916875,0.0,0.011920529801324504,0.0125,0,0,2024-01,2025-08,,0.007518796992481203,20
treatment,Hankanman/Area-Occupancy-Detection,635,570,1790,1790,1639,3429,8,6,2,8,9,4,2954,7,0.4444444444444444,0.014035087719298246,0.0033519553072625698,0.0012202562538133007,0.0023330417031204435,0.002369668246445498,1,1,2024-11,2025-08,2024-12,0.006683375104427736,23
treatment,LearningCircuit/local-deep-research,1713,1256,3871,3871,3155,7026,8,4,4,8,7,3,6627,8,0.42857142857142855,0.006369426751592357,0.0010333247222939809,0.0012678288431061807,0.001138627953316254,0.0012071827372868568,1,1,2025-02,2025-08,2025-03,0.006683375104427736,23
treatment,Multi-V-VM/MVVM,167,161,229,229,181,410,8,4,4,8,9,5,338,6,0.5555555555555556,0.049689440993788817,0.017467248908296942,0.022099447513812154,0.01951219512195122,0.01775147928994083,1,1,2024-01,2025-07,2025-03,0.006683375104427736,23
treatment,VRSEN/agency-swarm,1308,1047,2695,2695,2371,5066,8,4,4,8,20,4,4663,5,0.2,0.007640878701050621,0.001484230055658627,0.001687051876845213,0.0015791551519936833,0.001072271070126528,1,1,2024-01,2025-08,2024-10,0.006683375104427736,23
treatment,DataDog/integrations-core,3207,3205,7856,7856,6915,14771,7,7,0,2,20,2,14712,7,0.1,0.0006240249609984399,0.0008910386965376783,0.0,0.0004739015638751608,0.0004758020663404024,1,1,2024-01,2025-08,2025-03,0.005847953216374269,27
control,Simatwa/free-proxies,8480,8477,46,46,34,80,7,6,1,7,8,1,64,6,0.125,0.0008257638315441783,0.13043478260869565,0.029411764705882353,0.0875,0.09375,0,0,2024-05,2025-08,,0.005847953216374269,27
treatment,sirkirby/unifi-network-rules,83,67,247,247,185,432,7,7,0,7,10,4,366,7,0.4,0.1044776119402985,0.02834008097165992,0.0,0.016203703703703703,0.01912568306010929,1,1,2024-09,2025-08,2025-03,0.005847953216374269,27
treatment,Anemll/Anemll,80,74,322,322,167,489,4,2,2,4,5,1,466,3,0.2,0.05405405405405406,0.006211180124223602,0.011976047904191617,0.0081799591002045,0.006437768240343348,1,1,2025-02,2025-07,2025-02,0.003341687552213868,30
control,adelatour11/androidtvbackground,163,158,88,88,78,166,4,3,1,4,8,2,144,4,0.25,0.02531645569620253,0.03409090909090909,0.01282051282051282,0.024096385542168676,0.027777777777777776,0,0,2024-04,2025-08,,0.003341687552213868,30
control,bropines/chrome-lens-py,102,96,185,185,157,342,4,2,2,2,10,1,284,4,0.1,0.020833333333333332,0.010810810810810811,0.012738853503184714,0.011695906432748537,0.014084507042253521,0,0,2024-08,2025-08,,0.003341687552213868,30
treatment,tw-haiven/haiven,1487,1434,1980,1980,1810,3790,4,2,2,4,17,1,3351,2,0.058823529411764705,0.002789400278940028,0.00101010101010101,0.0011049723756906078,0.0010554089709762533,0.000596836765144733,1,1,2024-04,2025-08,2025-02,0.003341687552213868,30
control,MIT-Emerging-Talent/ET6-edXtras,28,24,496,496,303,799,3,3,0,3,3,2,761,3,0.6666666666666666,0.125,0.006048387096774193,0.0,0.0037546933667083854,0.003942181340341655,0,0,2025-02,2025-04,,0.002506265664160401,34
treatment,appl-team/appl,24,23,363,363,260,623,3,3,0,3,9,2,532,3,0.2222222222222222,0.13043478260869565,0.008264462809917356,0.0,0.004815409309791332,0.005639097744360902,1,1,2024-05,2025-01,2024-12,0.002506265664160401,34
treatment,Chocksy/qc-options-framework,100,96,332,332,225,557,2,1,1,2,10,1,499,2,0.1,0.020833333333333332,0.0030120481927710845,0.0044444444444444444,0.003590664272890485,0.004008016032064128,1,1,2024-04,2025-03,2025-03,0.001670843776106934,36
treatment,Kiln-AI/Kiln,2838,2472,3907,3907,3616,7523,2,1,1,2,13,1,6592,2,0.07692307692307693,0.0008090614886731392,0.0002559508574353724,0.0002765486725663717,0.0002658513890735079,0.00030339805825242716,1,1,2024-08,2025-08,2025-01,0.001670843776106934,36
treatment,PostHog/posthog,12783,12779,26627,26627,24217,50844,2,1,1,2,20,1,50482,2,0.05,0.0001565067689177557,3.7555864348217974e-05,4.1293306355039846e-05,3.93360081818897e-05,3.961808169248445e-05,1,1,2024-01,2025-08,2025-02,0.001670843776106934,36
control,daxa-ai/pebblo,494,452,887,887,701,1588,2,1,1,2,13,1,1541,2,0.07692307692307693,0.004424778761061947,0.0011273957158962795,0.0014265335235378032,0.0012594458438287153,0.0012978585334198572,0,0,2024-01,2025-06,,0.001670843776106934,36
treatment,gerred/mcp-server-replicate,26,23,47,47,13,60,2,2,0,1,2,1,57,2,0.5,0.043478260869565216,0.0425531914893617,0.0,0.03333333333333333,0.03508771929824561,1,1,2025-01,2025-02,2025-01,0.001670843776106934,36
treatment,instructor-ai/instructor,889,870,1731,1731,1408,3139,2,1,1,2,20,1,3018,2,0.05,0.0022988505747126436,0.0005777007510109763,0.0007102272727272727,0.0006371455877668047,0.0006626905235255136,1,1,2024-01,2025-08,2025-03,0.001670843776106934,36
treatment,leettools-dev/leettools,137,131,1460,1460,833,2293,2,1,1,2,5,1,2195,2,0.2,0.015267175572519083,0.0006849315068493151,0.0012004801920768306,0.0008722197993894462,0.0009111617312072893,1,1,2024-12,2025-04,2025-03,0.001670843776106934,36
treatment,loftwah/auto-jira,34,34,47,47,40,87,2,1,1,2,1,1,65,1,1.0,0.058823529411764705,0.02127659574468085,0.025,0.022988505747126436,0.015384615384615385,1,1,2025-02,2025-02,2025-02,0.001670843776106934,36
treatment,namuan/trading-utils,512,512,652,652,565,1217,2,2,0,2,14,1,979,2,0.07142857142857142,0.00390625,0.003067484662576687,0.0,0.0016433853738701725,0.0020429009193054137,1,1,2024-02,2025-03,2024-11,0.001670843776106934,36
treatment,panther-labs/panther-analysis,592,520,1331,1331,1057,2388,2,1,1,2,20,1,2370,2,0.05,0.0038461538461538464,0.0007513148009015778,0.000946073793755913,0.0008375209380234506,0.0008438818565400844,1,1,2024-01,2025-08,2025-03,0.001670843776106934,36
control,plurai-ai/intellagent,291,209,437,437,351,788,2,1,1,2,6,1,680,2,0.16666666666666666,0.009569377990430622,0.002288329519450801,0.002849002849002849,0.0025380710659898475,0.0029411764705882353,0,0,2024-10,2025-04,,0.001670843776106934,36
control,thegreenwebfoundation/admin-portal,373,350,436,436,369,805,2,1,1,2,20,1,717,1,0.05,0.005714285714285714,0.0022935779816513763,0.0027100271002710027,0.002484472049689441,0.001394700139470014,0,0,2024-01,2025-08,,0.001670843776106934,36
control,zhou19830318/xiaozhi_micropython,118,118,34,34,13,47,2,1,1,2,3,1,43,2,0.3333333333333333,0.01694915254237288,0.029411764705882353,0.07692307692307693,0.0425531914893617,0.046511627906976744,0,0,2025-02,2025-04,,0.001670843776106934,36
control,Drchip61/Dual_SAM,34,34,28,28,0,28,1,1,0,1,3,1,28,1,0.3333333333333333,0.029411764705882353,0.03571428571428571,,0.03571428571428571,0.03571428571428571,0,0,2024-03,2024-12,,0.000835421888053467,49
