dataset_source,repo_name,time,treatment_group,active_treatment,is_treatment,event,post_event,time_to_event,treatment_period,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,audited_commit_pairs,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,unique_blob_revisions_attempted,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,unique_excluded_blob_revisions,commit_pairs_with_parse_exclusions,has_parse_exclusion,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,AkariAsai/ScholarQABench,2024-11,0,0,0,,0,,control,3,3,7,1,7,0,7,7,0,0,0,0,0,0,0.0,0.0,,0.0,0.0
control,AkariAsai/ScholarQABench,2025-02,0,0,0,,0,,control,7,7,1,1,1,0,1,1,0,0,0,0,0,0,0.0,0.0,,0.0,0.0
control,AkariAsai/ScholarQABench,2025-04,0,0,0,,0,,control,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,AkariAsai/ScholarQABench,2025-07,0,0,0,,0,,control,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,AkariAsai/ScholarQABench,2025-08,0,0,0,,0,,control,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,ArpiarSaundersLab/annsql,2024-09,0,0,0,,0,,control,20,20,46,16,46,30,76,63,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,ArpiarSaundersLab/annsql,2024-10,0,0,0,,0,,control,22,22,52,18,52,48,100,84,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,ArpiarSaundersLab/annsql,2024-11,0,0,0,,0,,control,13,13,21,10,21,18,39,32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,ArpiarSaundersLab/annsql,2024-12,0,0,0,,0,,control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
control,ArpiarSaundersLab/annsql,2025-01,0,0,0,,0,,control,5,5,15,5,15,12,27,23,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,ArpiarSaundersLab/annsql,2025-02,0,0,0,,0,,control,19,18,47,15,47,29,76,65,12,12,0,12,12,1,0.6666666666666666,0.2553191489361702,0.0,0.15789473684210525,0.18461538461538463
control,ArpiarSaundersLab/annsql,2025-03,0,0,0,,0,,control,18,13,31,10,31,21,52,43,5,5,0,5,5,1,0.38461538461538464,0.16129032258064516,0.0,0.09615384615384616,0.11627906976744186
control,ArpiarSaundersLab/annsql,2025-04,0,0,0,,0,,control,2,1,1,1,1,1,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,ArpiarSaundersLab/annsql,2025-05,0,0,0,,0,,control,2,1,2,1,2,2,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2024-01,0,0,0,,0,,control,217,158,27,25,27,26,53,45,2,1,1,1,2,1,0.012658227848101266,0.037037037037037035,0.038461538461538464,0.03773584905660377,0.022222222222222223
control,BalancerMaxis/multisig-ops,2024-02,0,0,0,,0,,control,161,118,15,13,15,14,29,24,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2024-03,0,0,0,,0,,control,290,205,53,44,53,51,104,90,2,1,1,2,2,1,0.00975609756097561,0.018867924528301886,0.0196078431372549,0.019230769230769232,0.022222222222222223
control,BalancerMaxis/multisig-ops,2024-04,0,0,0,,0,,control,290,225,94,45,94,93,187,165,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2024-05,0,0,0,,0,,control,317,245,76,52,76,75,151,128,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2024-06,0,0,0,,0,,control,321,241,45,36,45,43,88,72,2,1,1,2,2,1,0.008298755186721992,0.022222222222222223,0.023255813953488372,0.022727272727272728,0.027777777777777776
control,BalancerMaxis/multisig-ops,2024-07,0,0,0,,0,,control,330,227,39,36,39,38,77,65,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2024-08,0,0,0,,0,,control,265,189,9,9,9,7,16,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2024-09,0,0,0,,0,,control,307,215,24,21,24,24,48,41,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2024-10,0,0,0,,0,,control,363,262,8,8,8,7,15,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2024-11,0,0,0,,0,,control,143,100,27,21,27,25,52,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2024-12,0,0,0,,0,,control,338,235,36,15,36,34,70,66,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2025-01,0,0,0,,0,,control,306,223,18,18,18,18,36,30,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2025-02,0,0,0,,0,,control,328,241,28,26,28,23,51,38,6,5,1,5,6,1,0.024896265560165973,0.17857142857142858,0.043478260869565216,0.11764705882352941,0.13157894736842105
control,BalancerMaxis/multisig-ops,2025-03,0,0,0,,0,,control,301,218,37,27,37,36,73,68,1,0,1,1,1,1,0.0045871559633027525,0.0,0.027777777777777776,0.0136986301369863,0.014705882352941176
control,BalancerMaxis/multisig-ops,2025-04,0,0,0,,0,,control,395,290,16,16,16,14,30,26,2,1,1,1,2,1,0.006896551724137931,0.0625,0.07142857142857142,0.06666666666666667,0.038461538461538464
control,BalancerMaxis/multisig-ops,2025-05,0,0,0,,0,,control,362,272,16,16,16,16,32,27,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
control,BalancerMaxis/multisig-ops,2025-06,0,0,0,,0,,control,317,234,32,30,32,32,64,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
