excluded_top_repositories,excluded_repository_names,analysis_group,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
0,,overall,197853,188349,212024,212024,184262,396286,1197,1010,187,926,1633,163,377643,1138,0.0998162890385793,0.004916405183993544,0.004763611666603781,0.0010148592764650335,0.0030205457674507804,0.0030134280259398426
0,,control,111950,107762,40808,40808,32918,73726,258,168,90,213,780,61,68058,229,0.0782051282051282,0.0019765780145134648,0.004116839835326407,0.0027340664681936933,0.0034994438868241867,0.0033647771018836875
0,,treatment,85903,80587,171216,171216,151344,322560,939,842,97,713,853,102,309585,909,0.11957796014067995,0.008847580875327285,0.004917764694888328,0.0006409239877365472,0.0029110863095238096,0.0029361887688356993
1,treatment|getsentry/sentry,overall,170323,160852,149858,149858,125682,275540,701,527,174,584,1613,153,257535,642,0.09485430874147552,0.0036306666998234404,0.0035166624404436198,0.00138444646011362,0.0025440952311824054,0.002492865047469276
1,treatment|getsentry/sentry,control,111950,107762,40808,40808,32918,73726,258,168,90,213,780,61,68058,229,0.0782051282051282,0.0019765780145134648,0.004116839835326407,0.0027340664681936933,0.0034994438868241867,0.0033647771018836875
1,treatment|getsentry/sentry,treatment,58373,53090,109050,109050,92764,201814,443,359,84,371,833,92,189477,413,0.11044417767106843,0.006988133358447919,0.003292067858780376,0.0009055236945366737,0.002195090528902851,0.0021796840777508616
3,treatment|getsentry/sentry;treatment|allthingslinux/tux;control|pieces-app/cli-agent,overall,166357,157757,142245,142245,120505,262750,405,290,115,360,1574,126,245770,359,0.08005082592121983,0.002281990656516034,0.0020387359836901123,0.0009543172482469607,0.0015413891531874406,0.0014607153029254994
3,treatment|getsentry/sentry;treatment|allthingslinux/tux;control|pieces-app/cli-agent,control,110705,106806,37176,37176,31103,68279,152,90,62,125,760,49,63052,132,0.06447368421052632,0.0011703462352302305,0.002420916720464816,0.001993376844677362,0.002226160312834107,0.00209351011863224
3,treatment|getsentry/sentry;treatment|allthingslinux/tux;control|pieces-app/cli-agent,treatment,55652,50951,105069,105069,89402,194471,253,200,53,235,814,77,182718,227,0.0945945945945946,0.004612274538281879,0.0019035110260876187,0.0005928279009418134,0.0013009651824693656,0.0012423516019220875
5,treatment|getsentry/sentry;treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|trycua/cua;treatment|ilanbenb/wa_llm,overall,164887,156521,140473,140473,119173,259646,322,211,111,284,1557,114,242972,277,0.07321772639691715,0.0018144530126947822,0.0015020680130701273,0.0009314190294781536,0.0012401500504533095,0.0011400490591508487
5,treatment|getsentry/sentry;treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|trycua/cua;treatment|ilanbenb/wa_llm,control,110705,106806,37176,37176,31103,68279,152,90,62,125,760,49,63052,132,0.06447368421052632,0.0011703462352302305,0.002420916720464816,0.001993376844677362,0.002226160312834107,0.00209351011863224
5,treatment|getsentry/sentry;treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|trycua/cua;treatment|ilanbenb/wa_llm,treatment,54182,49715,103297,103297,88070,191367,170,121,49,159,797,65,179920,145,0.08155583437892096,0.003198229910489792,0.001171379614122385,0.0005563756103099807,0.0008883454305078723,0.000805913739439751
10,treatment|getsentry/sentry;treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|trycua/cua;treatment|ilanbenb/wa_llm;control|HelpingAI/Webscout;treatment|OpenMOSS/Language-Model-SAEs;control|ArpiarSaundersLab/annsql;treatment|ericyuegu/hal;control|BalancerMaxis/multisig-ops,overall,156126,149577,132538,132538,112465,245003,236,144,92,201,1481,89,230001,199,0.06009453072248481,0.0013437894863515113,0.001086480858319878,0.0008180322767083093,0.0009632535111814957,0.0008652136295059586
10,treatment|getsentry/sentry;treatment|allthingslinux/tux;control|pieces-app/cli-agent;treatment|trycua/cua;treatment|ilanbenb/wa_llm;control|HelpingAI/Webscout;treatment|OpenMOSS/Language-Model-SAEs;control|ArpiarSaundersLab/annsql;treatment|ericyuegu/hal;control|BalancerMaxis/multisig-ops,control,103534,101349,32938,32938,27651,60589,101,54,47,76,712,36,56092,87,0.05056179775280899,0.0007498840639769509,0.001639443803509624,0.0016997576941159452,0.0016669692518443942,0.0015510233188333453
