excluded_top_treatment_repositories,excluded_treatment_repository_names,time_to_event,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate
0,,-14.0,746,692,1349,1349,1190,2539,3,2,1,3,14,2,2461,3,0.14285714285714285,0.004335260115606936,0.0014825796886582653,0.0008403361344537816,0.0011815675462780622,0.001219016659894352
0,,-13.0,2828,2736,5072,5072,4650,9722,3,1,2,3,18,1,9455,2,0.05555555555555555,0.0010964912280701754,0.0001971608832807571,0.00043010752688172043,0.00030857848179386956,0.00021152829190904283
0,,-12.0,2691,2599,8691,8691,8252,16943,4,2,2,4,20,2,16787,3,0.1,0.0015390534821085034,0.00023012311586698885,0.0002423654871546292,0.00023608569910877649,0.0001787097158515518
0,,-11.0,2864,2760,6715,6715,6105,12820,1,1,0,1,21,1,12487,1,0.047619047619047616,0.00036231884057971015,0.0001489203276247208,0.0,7.800312012480499e-05,8.008328661808281e-05
0,,-10.0,3428,3260,6994,6994,6409,13403,3,2,1,3,22,3,13150,3,0.13636363636363635,0.0009202453987730061,0.00028595939376608524,0.00015603058199407084,0.00022383048571215399,0.00022813688212927757
0,,-9.0,3212,3066,6186,6186,5774,11960,0,0,0,0,30,0,11560,0,0.0,0.0,0.0,0.0,0.0,0.0
0,,-8.0,3295,3066,6638,6638,6050,12688,7,5,2,7,31,3,12364,5,0.0967741935483871,0.00228310502283105,0.0007532389273877674,0.00033057851239669424,0.0005517023959646911,0.0004043998705920414
0,,-7.0,3921,3685,7862,7862,7196,15058,10,8,2,9,31,2,14609,10,0.06451612903225806,0.0024423337856173677,0.0010175527855507504,0.00027793218454697053,0.0006640988179041042,0.0006845095489082072
0,,-6.0,3226,2987,6695,6695,5970,12665,12,7,5,10,31,4,12144,11,0.12903225806451613,0.0033478406427854034,0.0010455563853622107,0.0008375209380234506,0.0009474930911962101,0.0009057971014492754
0,,-5.0,3530,3330,6808,6808,6144,12952,13,10,3,9,33,1,12409,10,0.030303030303030304,0.002702702702702703,0.0014688601645123384,0.00048828125,0.001003705991352687,0.0008058667096462245
0,,-4.0,3204,3046,5442,5442,4812,10254,34,28,6,24,35,2,9997,34,0.05714285714285714,0.007879185817465528,0.005145167217934583,0.0012468827930174563,0.003315779208113907,0.0034010203060918275
0,,-3.0,3070,2961,5844,5844,4614,10458,15,12,3,12,40,5,9991,15,0.125,0.004052684903748734,0.002053388090349076,0.0006501950585175553,0.001434308663224326,0.0015013512160944851
0,,-2.0,3280,3081,5677,5677,5032,10709,18,18,0,15,42,2,10353,18,0.047619047619047616,0.004868549172346641,0.0031706887440549588,0.0,0.0016808292090764777,0.0017386264850767893
0,,-1.0,4784,4518,7468,7468,6112,13580,23,9,14,12,53,4,12968,23,0.07547169811320754,0.0026560424966799467,0.001205141938939475,0.0022905759162303663,0.0016936671575846834,0.0017735965453423812
0,,0.0,8288,7811,16047,16047,13114,29161,76,68,8,67,100,13,26277,72,0.13,0.008577646908206376,0.004237552190440581,0.0006100350770169285,0.002606220637152361,0.002740038817216577
0,,1.0,7225,6738,10473,10473,9124,19597,78,72,6,76,71,13,18454,75,0.18309859154929578,0.011279311368358563,0.006874820968203953,0.000657606313020605,0.003980201051181303,0.004064159531808822
0,,2.0,5862,5372,9520,9520,8301,17821,86,72,14,78,60,8,17005,81,0.13333333333333333,0.014519731943410276,0.007563025210084034,0.0016865437899048308,0.00482576735312272,0.004763304910320494
0,,3.0,4461,4143,7858,7858,6634,14492,66,65,1,62,59,9,13954,66,0.15254237288135594,0.014965001206854936,0.008271824891829982,0.00015073861923424781,0.004554236820314656,0.004729826573025656
0,,4.0,5121,4854,9757,9757,8333,18090,181,171,10,121,55,10,17549,177,0.18181818181818182,0.024927894519983517,0.017525878856205802,0.0012000480019200767,0.010005527915975677,0.010086044788876859
0,,5.0,5665,5233,13578,13578,12284,25862,132,124,8,100,48,8,25230,130,0.16666666666666666,0.01910949742021785,0.0091324200913242,0.0006512536633018561,0.005104013610702962,0.005152596115735236
0,,6.0,3276,3092,13187,13187,12215,25402,162,158,4,86,18,5,24889,161,0.2777777777777778,0.0278137128072445,0.011981496928793509,0.0003274662300450266,0.006377450594441382,0.006468721121780706
