py311_error_type,py311_error_signature,py311_fstring_error,error_records,recovered_error_records,remaining_error_records,record_recovery_rate,unique_blob_revisions,recovered_unique_blob_revisions,remaining_unique_blob_revisions,unique_blob_recovery_rate,py311_fstring_error_records,py311_fstring_recovered_records,py311_fstring_record_recovery_rate
IndentationError,IndentationError: expected an indented block after 'else' statement on line 112,0,1,0,1,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'else' statement on line 288,0,2,0,2,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'else' statement on line 638,0,2,0,2,0.0,2,0,2,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'except' statement on line 129,0,2,0,2,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'except' statement on line 140,0,2,0,2,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'for' statement on line 14,0,3,0,3,0.0,3,0,3,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'if' statement on line 1345,0,1,0,1,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'if' statement on line 1349,0,1,0,1,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'if' statement on line 566,0,3,0,3,0.0,2,0,2,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'if' statement on line 573,0,2,0,2,0.0,2,0,2,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'if' statement on line 956,0,2,0,2,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'try' statement on line 298,0,2,0,2,0.0,2,0,2,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'while' statement on line 418,0,2,0,2,0.0,2,0,2,0.0,0,0,
IndentationError,IndentationError: expected an indented block after 'with' statement on line 157,0,2,0,2,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after function definition on line 166,0,2,0,2,0.0,1,0,1,0.0,0,0,
IndentationError,IndentationError: expected an indented block after function definition on line 18,0,1,0,1,0.0,1,0,1,0.0,0,0,
