dataset_source,repo_name,error_records,recovered_error_records,remaining_error_records,record_recovery_rate,unique_blob_revisions,recovered_unique_blob_revisions,remaining_unique_blob_revisions,unique_blob_recovery_rate,py311_fstring_error_records,py311_fstring_recovered_records,py311_fstring_record_recovery_rate
control,ArpiarSaundersLab/annsql,17,17,0,1.0,17,17,0,1.0,17,17,1.0
control,BalancerMaxis/multisig-ops,15,9,6,0.6,12,7,5,0.5833333333333334,5,5,1.0
control,Drchip61/Dual_SAM,1,0,1,0.0,1,0,1,0.0,0,0,
control,HelpingAI/Webscout,19,0,19,0.0,16,0,16,0.0,0,0,
control,ITSpecialist111/ai_automation_suggester,10,2,8,0.2,6,2,4,0.3333333333333333,2,2,1.0
control,MIT-Emerging-Talent/ET6-edXtras,3,0,3,0.0,3,0,3,0.0,0,0,
control,MalevichAI/malevich,14,0,14,0.0,13,0,13,0.0,0,0,
control,Simatwa/free-proxies,7,7,0,1.0,6,6,0,1.0,7,7,1.0
control,adelatour11/androidtvbackground,4,0,4,0.0,4,0,4,0.0,0,0,
control,aj47/100x-orchestrator,10,0,10,0.0,8,0,8,0.0,0,0,
control,believethehype/nostrdvm,9,0,9,0.0,7,0,7,0.0,0,0,
control,bropines/chrome-lens-py,4,4,0,1.0,4,4,0,1.0,0,0,
control,daxa-ai/pebblo,2,0,2,0.0,2,0,2,0.0,0,0,
control,golemfoundation/octant,12,0,12,0.0,12,0,12,0.0,0,0,
control,microsoft/semantic-link-labs,9,0,9,0.0,6,0,6,0.0,0,0,
control,pieces-app/cli-agent,106,74,32,0.6981132075471698,97,71,26,0.7319587628865979,43,43,1.0
control,plurai-ai/intellagent,2,0,2,0.0,2,0,2,0.0,0,0,
control,qiboteam/qibojit,1,0,1,0.0,1,0,1,0.0,0,0,
control,stakewise/v3-operator,9,9,0,1.0,9,9,0,1.0,9,9,1.0
control,thegreenwebfoundation/admin-portal,2,0,2,0.0,1,0,1,0.0,0,0,
control,zhou19830318/xiaozhi_micropython,2,0,2,0.0,2,0,2,0.0,0,0,
treatment,Anemll/Anemll,4,0,4,0.0,3,0,3,0.0,0,0,
treatment,Chocksy/qc-options-framework,2,0,2,0.0,2,0,2,0.0,0,0,
treatment,DataDog/integrations-core,7,0,7,0.0,7,0,7,0.0,0,0,
treatment,Hankanman/Area-Occupancy-Detection,8,7,1,0.875,7,6,1,0.8571428571428571,0,0,
treatment,Kiln-AI/Kiln,2,2,0,1.0,2,2,0,1.0,0,0,
treatment,LearningCircuit/local-deep-research,8,6,2,0.75,8,6,2,0.75,6,6,1.0
treatment,Multi-V-VM/MVVM,8,0,8,0.0,6,0,6,0.0,0,0,
treatment,OpenMOSS/Language-Model-SAEs,19,0,19,0.0,18,0,18,0.0,0,0,
treatment,PostHog/posthog,2,2,0,1.0,2,2,0,1.0,2,2,1.0
treatment,TextGeneratorio/text-generator.io,11,2,9,0.18181818181818182,10,2,8,0.2,2,2,1.0
treatment,The-Pocket/PocketFlow,1,1,0,1.0,1,1,0,1.0,1,1,1.0
treatment,VRSEN/agency-swarm,8,4,4,0.5,5,3,2,0.6,4,4,1.0
treatment,airweave-ai/airweave,13,2,11,0.15384615384615385,9,1,8,0.1111111111111111,0,0,
treatment,allthingslinux/tux,190,152,38,0.8,186,152,34,0.8172043010752689,91,91,1.0
treatment,appl-team/appl,3,3,0,1.0,3,3,0,1.0,3,3,1.0
treatment,ericyuegu/hal,16,0,16,0.0,15,0,15,0.0,0,0,
treatment,ezyang/codemcp,10,0,10,0.0,7,0,7,0.0,0,0,
treatment,gerred/mcp-server-replicate,2,0,2,0.0,2,0,2,0.0,0,0,
treatment,getsentry/sentry,496,472,24,0.9516129032258065,496,472,24,0.9516129032258065,179,179,1.0
treatment,ilanbenb/wa_llm,29,26,3,0.896551724137931,29,26,3,0.896551724137931,26,26,1.0
treatment,instructor-ai/instructor,2,0,2,0.0,2,0,2,0.0,0,0,
treatment,leettools-dev/leettools,2,0,2,0.0,2,0,2,0.0,0,0,
treatment,loftwah/auto-jira,2,2,0,1.0,1,1,0,1.0,2,2,1.0
treatment,namuan/trading-utils,2,2,0,1.0,2,2,0,1.0,2,2,1.0
treatment,panther-labs/panther-analysis,2,0,2,0.0,2,0,2,0.0,0,0,
treatment,sirkirby/unifi-network-rules,7,7,0,1.0,7,7,0,1.0,7,7,1.0
treatment,trycua/cua,54,48,6,0.8888888888888888,53,48,5,0.9056603773584906,48,48,1.0
treatment,tw-haiven/haiven,4,2,2,0.5,2,1,1,0.5,2,2,1.0
treatment,whiteducksoftware/flock,10,0,10,0.0,5,0,5,0.0,0,0,
treatment,yagami1997/TradeMind,1,0,1,0.0,1,0,1,0.0,0,0,
treatment,yeagerai/genlayer-studio,14,13,1,0.9285714285714286,14,13,1,0.9285714285714286,2,2,1.0
