dataset_source,repo_name,blob_commit,blob_relative_path,repo_dir,error_record_count,current_error_record_count,parent_error_record_count,first_observed_time,last_observed_time,observed_treatment_periods,py311_error_types,py311_error_signatures,py311_fstring_error,source_bytes,source_encoding,content_sha256,py312_parse_success,py312_recovered,py312_error_type,py312_error
control,BalancerMaxis/multisig-ops,0a05c635103abbd572f810e9af31452577123ff4,action-scripts/brownie/scripts/report_gauges.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,1,0,2024-06,2024-06,control,IndentationError,IndentationError: unindent does not match any outer indentation level,0,30807,utf-8,2f5b88c757ab995090a4203c96989d69294858d815ba606631bf1e15091da1d7,0,0,IndentationError,"IndentationError: unindent does not match any outer indentation level (report_gauges.py, line 578)"
control,BalancerMaxis/multisig-ops,32e8c67c1351327c4847271d98e864319d2484d9,action-scripts/merge_pr_jsons.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,2,1,1,2024-01,2024-01,control,SyntaxError,SyntaxError: closing parenthesis ')' does not match opening parenthesis '[',0,9320,utf-8,f4a6465d51241abd5697416f21d90be4c56878d51a9342de909da50aca0587cb,0,0,SyntaxError,"SyntaxError: closing parenthesis ')' does not match opening parenthesis '[' (merge_pr_jsons.py, line 226)"
control,BalancerMaxis/multisig-ops,583ec77fd93298d8eec744df64bd900275055805,action-scripts/brownie/scripts/report_gauges.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,1,0,2024-03,2024-03,control,IndentationError,IndentationError: expected an indented block after 'else' statement on line 638,0,27797,utf-8,407cd44b9f259aae9e9d8c967d56edb5355fa00321d1c991d39335871fa5566d,0,0,IndentationError,"IndentationError: expected an indented block after 'else' statement on line 638 (report_gauges.py, line 639)"
control,BalancerMaxis/multisig-ops,6efc1dc993b259097f576dc560574d302d1e2a47,action-scripts/brownie/scripts/report_gauges.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,0,1,2024-06,2024-06,control,IndentationError,IndentationError: unindent does not match any outer indentation level,0,30807,utf-8,2f5b88c757ab995090a4203c96989d69294858d815ba606631bf1e15091da1d7,0,0,IndentationError,"IndentationError: unindent does not match any outer indentation level (report_gauges.py, line 578)"
control,BalancerMaxis/multisig-ops,ecd8e12b07ca3efdf04b8a0f61b9c71dc0c3ca52,action-scripts/brownie/scripts/report_gauges.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,0,1,2024-03,2024-03,control,IndentationError,IndentationError: expected an indented block after 'else' statement on line 638,0,27797,utf-8,407cd44b9f259aae9e9d8c967d56edb5355fa00321d1c991d39335871fa5566d,0,0,IndentationError,"IndentationError: expected an indented block after 'else' statement on line 638 (report_gauges.py, line 639)"
control,Drchip61/Dual_SAM,3efdae9483742dd2e2d63331ebdf67972492c9c7,test_score.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Drchip61_Dual_SAM,1,1,0,2024-03,2024-03,control,IndentationError,IndentationError: unindent does not match any outer indentation level,0,1803,utf-8,47284e41c28a8e1a49326b1ed5c6699184a3d5b17fb6aa5bbe018d8685452ef2,0,0,IndentationError,"IndentationError: unindent does not match any outer indentation level (3efdae9483742dd2e2d63331ebdf67972492c9c7:test_score.py, line 60)"
control,HelpingAI/Webscout,139c1c230d85b2cd3c20e081eec8f2390f091f86,webscout/Provider/OPENAI/api.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,0,1,2025-05,2025-05,control,SyntaxError,SyntaxError: closing parenthesis '}' does not match opening parenthesis '(' on line 586,0,41070,utf-8,d313fce0da67afafedd81eb55fc445e0ad1234aabef8c1f5ceb13b7807c72b62,0,0,SyntaxError,"SyntaxError: closing parenthesis '}' does not match opening parenthesis '(' on line 586 (api.py, line 609)"
control,HelpingAI/Webscout,21db125b879af34de5ec9270cddaf460f56db62e,t.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,2,1,1,2024-08,2024-08,control,SyntaxError,SyntaxError: invalid syntax,0,426,utf-8,d9b85628aa08a04828633487916d33921c8b3a2d461cb733d2781602eb218433,0,0,SyntaxError,"SyntaxError: invalid syntax (21db125b879af34de5ec9270cddaf460f56db62e:t.py, line 1)"
control,HelpingAI/Webscout,33d640de6112f627a17830e051a81db3ad071b0c,webscout/Provider/UNFINISHED/chatgptextension.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,0,1,2024-09,2024-09,control,SyntaxError,SyntaxError: invalid syntax,0,2996,utf-8,0121e775a67ec2b140534c4c3e8143c8c15b8fbf95cb4adaba475bf3b6cf4d6e,0,0,SyntaxError,"SyntaxError: invalid syntax (chatgptextension.py, line 70)"
control,HelpingAI/Webscout,4bc7871eb8ce0820d71cb76df223c83706719a27,webscout/Provider/OPENAI/exachat.py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,0,1,2025-05,2025-05,control,IndentationError,IndentationError: unexpected indent,0,14805,utf-8,9e471aad2af353bde0c81a802debc690ac5f95e8a8f81db1025de72a32042a65,0,0,IndentationError,"IndentationError: unexpected indent (exachat.py, line 169)"
