treatment_group,time_to_event,repo_months,zero_event_months,event_positive_months,total_function_change_events,total_agc_function_change_events,total_hwc_function_change_events,zero_event_month_ratio,event_positive_month_ratio
control,,780,209,571,101530,27539.0,73991.0,0.26794871794871794,0.732051282051282
treatment,-14.0,14,3,11,1653,422.0,1231.0,0.21428571428571427,0.7857142857142857
treatment,-13.0,18,3,15,7905,1464.0,6441.0,0.16666666666666666,0.8333333333333334
treatment,-12.0,20,1,19,13811,2946.0,10865.0,0.05,0.95
treatment,-11.0,21,3,18,10229,1953.0,8276.0,0.14285714285714285,0.8571428571428571
treatment,-10.0,22,3,19,12411,2508.0,9903.0,0.13636363636363635,0.8636363636363636
treatment,-9.0,30,6,24,11725,1930.0,9795.0,0.2,0.8
treatment,-8.0,31,8,23,12390,2184.0,10206.0,0.25806451612903225,0.7419354838709677
treatment,-7.0,31,6,25,13368,2731.0,10637.0,0.1935483870967742,0.8064516129032258
treatment,-6.0,31,7,24,12341,2566.0,9775.0,0.22580645161290322,0.7741935483870968
treatment,-5.0,33,4,29,9512,2180.0,7332.0,0.12121212121212122,0.8787878787878788
treatment,-4.0,35,4,31,10060,1802.0,8258.0,0.11428571428571428,0.8857142857142857
treatment,-3.0,40,4,36,11749,2869.0,8880.0,0.1,0.9
treatment,-2.0,42,5,37,10985,2529.0,8456.0,0.11904761904761904,0.8809523809523809
treatment,-1.0,53,8,45,17037,3823.0,13214.0,0.1509433962264151,0.8490566037735849
treatment,0.0,100,6,94,36224,8759.0,27465.0,0.06,0.94
treatment,1.0,71,12,59,21755,4644.0,17111.0,0.16901408450704225,0.8309859154929577
treatment,2.0,60,14,46,19706,3950.0,15756.0,0.23333333333333334,0.7666666666666667
treatment,3.0,59,14,45,17153,3295.0,13858.0,0.23728813559322035,0.7627118644067796
treatment,4.0,55,12,43,20711,3994.0,16717.0,0.21818181818181817,0.7818181818181819
treatment,5.0,48,9,39,40861,6213.0,34648.0,0.1875,0.8125
treatment,6.0,18,3,15,27800,5677.0,22123.0,0.16666666666666666,0.8333333333333334
treatment,7.0,9,0,9,5216,838.0,4378.0,0.0,1.0
treatment,8.0,5,0,5,2145,369.0,1776.0,0.0,1.0
treatment,9.0,3,0,3,566,117.0,449.0,0.0,1.0
treatment,10.0,3,0,3,1502,237.0,1265.0,0.0,1.0
treatment,11.0,1,0,1,203,64.0,139.0,0.0,1.0
