dataset_source,time_to_event,repo_months,repositories,event_positive_months,zero_event_months,total_function_change_events,total_agc_function_change_events,total_hwc_function_change_events,parse_exclusion_months,event_positive_month_ratio,zero_event_month_ratio
control,,780,120,571,209,101530,27539.0,73991.0,40,0.732051282051282,0.26794871794871794
treatment,-14.0,14,14,11,3,1653,422.0,1231.0,2,0.7857142857142857,0.21428571428571427
treatment,-13.0,18,18,15,3,7905,1464.0,6441.0,1,0.8333333333333334,0.16666666666666666
treatment,-12.0,20,20,19,1,13811,2946.0,10865.0,2,0.95,0.05
treatment,-11.0,21,21,18,3,10229,1953.0,8276.0,1,0.8571428571428571,0.14285714285714285
treatment,-10.0,22,22,19,3,12411,2508.0,9903.0,3,0.8636363636363636,0.13636363636363635
treatment,-9.0,30,30,24,6,11725,1930.0,9795.0,0,0.8,0.2
treatment,-8.0,31,31,23,8,12390,2184.0,10206.0,3,0.7419354838709677,0.25806451612903225
treatment,-7.0,31,31,25,6,13368,2731.0,10637.0,0,0.8064516129032258,0.1935483870967742
treatment,-6.0,31,31,24,7,12341,2566.0,9775.0,3,0.7741935483870968,0.22580645161290322
treatment,-5.0,33,33,29,4,9512,2180.0,7332.0,1,0.8787878787878788,0.12121212121212122
treatment,-4.0,35,35,31,4,10060,1802.0,8258.0,2,0.8857142857142857,0.11428571428571428
treatment,-3.0,40,40,36,4,11749,2869.0,8880.0,2,0.9,0.1
treatment,-2.0,42,42,37,5,10985,2529.0,8456.0,1,0.8809523809523809,0.11904761904761904
treatment,-1.0,53,53,45,8,17037,3823.0,13214.0,2,0.8490566037735849,0.1509433962264151
treatment,0.0,100,100,94,6,36224,8759.0,27465.0,7,0.94,0.06
treatment,1.0,71,71,59,12,21755,4644.0,17111.0,5,0.8309859154929577,0.16901408450704225
treatment,2.0,60,60,46,14,19706,3950.0,15756.0,5,0.7666666666666667,0.23333333333333334
treatment,3.0,59,59,45,14,17153,3295.0,13858.0,2,0.7627118644067796,0.23728813559322035
treatment,4.0,55,55,43,12,20711,3994.0,16717.0,5,0.7818181818181819,0.21818181818181817
treatment,5.0,48,48,39,9,40861,6213.0,34648.0,5,0.8125,0.1875
treatment,6.0,18,18,15,3,27800,5677.0,22123.0,4,0.8333333333333334,0.16666666666666666
treatment,7.0,9,9,9,0,5216,838.0,4378.0,1,1.0,0.0
treatment,8.0,5,5,5,0,2145,369.0,1776.0,0,1.0,0.0
treatment,9.0,3,3,3,0,566,117.0,449.0,0,1.0,0.0
treatment,10.0,3,3,3,0,1502,237.0,1265.0,0,1.0,0.0
treatment,11.0,1,1,1,0,203,64.0,139.0,0,1.0,0.0
