outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,sample_type,ncloc_spec,time_mode,parse_exclusion_mode
has_function_change_event,Any Function-Change Event,-6,-0.0861955080199559,-0.193778688817493,0.0213876727775813,0.0548893779579271,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,-5,0.0235751038694825,-0.0727901574945374,0.119940365233502,0.0491659496755204,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,-4,0.059210343592543,-0.0477253932183181,0.166146080403404,0.0545590493932964,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,-3,0.082236184590041,-0.00169111850177187,0.166163487681854,0.0428200525978637,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,-2,0.0450867547479862,-0.0532807343930165,0.143454243888989,0.0501874944596952,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,0,0.0856428292468782,-0.0198560285666609,0.191141687060417,0.0538259478640506,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,1,0.0408217905482219,-0.0814058257232573,0.163049406819701,0.0623610287099384,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,2,0.0482225901660413,-0.0993767909925234,0.195821971324606,0.0753058067135534,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,3,-0.0538439803995324,-0.20152855260044,0.0938405918013753,0.0753492715310753,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,4,-0.0556355361425737,-0.2140352026008,0.102764130315653,0.0808161563562379,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,5,-0.111885708229072,-0.251571429291229,0.0278000128330853,0.0712682250317128,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
has_function_change_event,Any Function-Change Event,6,-0.0621671634331715,-0.233947742033969,0.109613415167626,0.0876431523473457,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),-6,0.0248984172662826,-0.579967340755632,0.629764175288197,0.30860497858261,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),-5,0.054460388584256,-0.369564696978754,0.478485474147266,0.216339329368883,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),-4,0.00974961397659292,-0.448532255739002,0.468031483692187,0.23381728046714,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),-3,0.264388517926322,-0.220144988479813,0.748922024332458,0.247210972656192,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),-2,0.468093072855296,-0.10161334833305,1.03779949404364,0.290666541422626,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),0,0.859845193448722,0.28611539313884,1.4335749937586,0.292719285872388,,TRUE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),1,0.599936977197416,-0.0278874494909351,1.22776140388577,0.320318585045077,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),2,0.411555410045848,-0.308793312143085,1.13190413223478,0.36752485825966,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),3,-0.110106345932517,-0.821128480666503,0.60091578880147,0.362766395272442,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),4,-0.373305710431767,-1.12143156865683,0.374820147793292,0.381696866441357,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),5,-0.227533519305498,-0.932390736036139,0.477323697425144,0.359621028944205,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_function_change_events,Total Function-Change Events (log1p),6,-0.349471232899333,-1.22440750134354,0.525465035544877,0.446396055328678,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-6,0.0779359837633562,-0.478614251345306,0.634486218872018,0.283954201586052,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-5,0.0373268187561024,-0.392132664692585,0.46678630220479,0.219111981351371,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-4,-0.0146388427099755,-0.515092787569523,0.485815102149572,0.255333645336504,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-3,0.0497823045055914,-0.38767500797688,0.487239616988063,0.223192506368608,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-2,0.292149676791578,-0.256316003987135,0.84061535757029,0.279829428968731,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),0,0.655008475105732,0.175579735436237,1.13443721477523,0.244606499831375,,TRUE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),1,0.42339616365697,-0.108077587812224,0.954869915126165,0.271160077280201,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
