treatment_period,min_function_lines,excluded_line_span_max,is_primary,total_events,retained_events,dropped_events,retained_share,retained_agc_events,retained_hwc_events,dropped_agc_events,dropped_hwc_events,retained_agc_ratio,retained_repositories,retained_repo_months
control,1,0,False,101530,101530,0,1.0,27539,73991,0,0,0.27124002757805576,106,571
control,2,1,False,101530,101468,62,0.9993893430513149,27479,73989,60,2,0.2708144439626286,106,571
control,3,2,False,101530,96619,4911,0.9516300600807643,22910,73709,4629,282,0.23711692317246091,106,571
control,4,3,False,101530,88700,12830,0.8736334088446764,16394,72306,11145,1685,0.18482525366403607,106,570
control,5,4,False,101530,82876,18654,0.8162710528907712,12854,70022,14685,3969,0.15509918432356773,106,570
control,6,5,True,101530,78717,22813,0.7753077908007485,11298,67419,16241,6572,0.14352681123518427,105,569
control,10,9,False,101530,65312,36218,0.6432778489116517,6884,58428,20655,15563,0.10540176384125428,105,564
control,20,19,False,101530,42825,58705,0.42179651334580914,2904,39921,24635,34070,0.06781085814360771,101,546
event,1,0,False,36224,36224,0,1.0,8759,27465,0,0,0.24180101590106007,94,94
event,2,1,False,36224,36201,23,0.9993650618374559,8736,27465,23,0,0.24131930057180742,93,93
event,3,2,False,36224,35201,1023,0.971759054770318,7834,27367,925,98,0.2225504957245533,93,93
event,4,3,False,36224,33819,2405,0.9336075530035336,6791,27028,1968,437,0.2008042816168426,93,93
event,5,4,False,36224,32361,3863,0.8933579946996466,5844,26517,2915,948,0.18058774450727727,93,93
event,6,5,True,36224,31385,4839,0.8664145318021201,5325,26060,3434,1405,0.16966703839413733,93,93
event,10,9,False,36224,27205,9019,0.751021422261484,3681,23524,5078,3941,0.1353060099246462,92,92
event,20,19,False,36224,17776,18448,0.4907243816254417,1460,16316,7299,11149,0.08213321332133214,91,91
post,1,0,False,157618,157618,0,1.0,29398,128220,0,0,0.18651423060817926,70,268
post,2,1,False,157618,157491,127,0.9991942544633227,29280,128211,118,9,0.18591538564108426,70,268
post,3,2,False,157618,152288,5330,0.966184065271733,24451,127837,4947,383,0.16055762765286824,70,268
post,4,3,False,157618,145490,12128,0.9230544734738418,19487,126003,9911,2217,0.13394047700872913,70,268
post,5,4,False,157618,139852,17766,0.8872844472078062,16349,123503,13049,4717,0.11690215370534565,70,268
post,6,5,True,157618,135307,22311,0.858448908119631,14332,120975,15066,7245,0.10592208828811517,70,267
post,10,9,False,157618,117139,40479,0.7431828852034666,8742,108397,20656,19823,0.07462928657407013,70,265
post,20,19,False,157618,80692,76926,0.5119466050831758,3578,77114,25820,51106,0.04434144648787984,69,262
pre,1,0,False,155176,155176,0,1.0,31907,123269,0,0,0.20561813682528227,57,356
pre,2,1,False,155176,155081,95,0.9993877919265866,31814,123267,93,2,0.20514440840592982,57,356
pre,3,2,False,155176,147496,7680,0.9505078104861576,24852,122644,7055,625,0.16849270488691218,57,356
pre,4,3,False,155176,141337,13839,0.9108173944424396,20505,120832,11402,2437,0.14507878333345126,57,355
pre,5,4,False,155176,136248,18928,0.8780223745940093,17603,118645,14304,4624,0.12919822676296167,57,354
pre,6,5,True,155176,131446,23730,0.8470768675568386,15349,116097,16558,7172,0.11677038479679869,57,354
pre,10,9,False,155176,113643,41533,0.7323490745991649,9373,104270,22534,18999,0.08247758330913475,57,350
pre,20,19,False,155176,78535,76641,0.5061027478476053,3736,74799,28171,48470,0.04757114662252499,57,343
