function_line_count,events,agc_events,hwc_events,repositories,share_of_total,cumulative_events_le,cumulative_share_le,agc_ratio
1,307,294,13,21,0.0006813924376537018,307,0.0006813924376537018,0.9576547231270358
2,18637,17262,1375,162,0.04136518195619557,18944,0.04204657439384927,0.9262220314428288
3,22258,16870,5388,174,0.04940206148956382,41202,0.09144863588341309,0.7579297331296613
4,18009,10527,7482,172,0.03997132381011568,59211,0.13141995969352877,0.5845410628019324
5,14482,6346,8136,174,0.032143079094791235,73693,0.16356303878832001,0.4381991437646734
6,14464,5398,9066,173,0.032103127746655184,88157,0.19566616653497518,0.37320243362831856
7,13489,4609,8880,169,0.029939096389285935,101646,0.2256052629242611,0.34168581807398624
8,12824,3957,8867,164,0.028463116027593063,114470,0.2540683789518542,0.3085620711166563
9,12779,3660,9119,169,0.028363237657252946,127249,0.28243161660910715,0.28640738711949293
10,12659,2752,9907,165,0.02809689533634596,139908,0.3105285119454531,0.2173947389209258
11,11733,2727,9006,171,0.026041620426680397,151641,0.3365701323721335,0.23242137560726156
12,10973,2130,8843,166,0.02435478572760283,162614,0.3609249180997363,0.1941128223822109
13,11109,2019,9090,166,0.02465664035796408,173723,0.3855815584577004,0.18174453146097758
14,10779,1611,9168,162,0.023924198975469872,184502,0.40950575743317025,0.14945727804063458
15,10168,1440,8728,167,0.022568072658185143,194670,0.4320738300913554,0.14162077104642015
16,9496,1278,8218,166,0.02107655566110603,204166,0.45315038575246147,0.13458298230834034
17,9550,1206,8344,160,0.021196409705514174,213716,0.47434679545797565,0.126282722513089
18,8739,1004,7735,158,0.01939637952005114,222455,0.4937431749780268,0.11488728687492848
19,8265,835,7430,159,0.018344327352468548,230720,0.5120875023304953,0.10102843315184513
20,8269,783,7486,151,0.018353205429832115,238989,0.5304407077603275,0.0946910146329665
21,7776,657,7119,161,0.01725898239477259,246765,0.5476996901551,0.08449074074074074
22,7303,652,6651,154,0.016209149746530892,254068,0.5639088399016309,0.08927837874845954
23,6939,564,6375,146,0.015401244706446372,261007,0.5793100846080773,0.08127972330306961
24,6824,522,6302,151,0.015145999982243846,267831,0.5944560845903211,0.0764947245017585
25,6387,453,5934,147,0.014176070030274244,274218,0.6086321546205954,0.07092531705025834
26,6080,439,5641,148,0.013494677592620541,280298,0.6221268322132159,0.07220394736842105
27,6069,474,5595,149,0.013470262879870736,286367,0.6355970950930866,0.07810182896688087
28,5876,357,5519,144,0.013041895647078668,292243,0.6486389907401653,0.06075561606535058
29,5666,435,5231,141,0.012575796585491445,297909,0.6612147873256567,0.07677373808683374
30,5067,248,4819,144,0.011246304500297415,302976,0.6724610918259541,0.04894414841128873
31,5528,259,5269,138,0.012269502916448414,308504,0.6847305947424026,0.046852387843704775
32,4662,222,4440,131,0.010347399167236343,313166,0.695077993909639,0.047619047619047616
33,4531,211,4320,137,0.010056642133579551,317697,0.7051346360432185,0.046568086515118075
34,4502,223,4279,131,0.009992276072693698,322199,0.7151269121159122,0.04953354064860062
35,4031,199,3832,136,0.008946882463133785,326230,0.724073794579046,0.049367402629620444
36,3905,186,3719,135,0.00866722302618145,330135,0.7327410176052274,0.04763124199743918
37,3852,179,3673,125,0.008549588501114199,333987,0.7412906061063416,0.04646936656282451
38,3734,208,3526,128,0.008287685218888997,337721,0.7495782913252306,0.05570433851098018
39,3555,151,3404,135,0.007890391256869413,341276,0.7574686825821,0.04247538677918425
40,3461,134,3327,125,0.007681756438825608,344737,0.7651504390209256,0.03871713377636521
41,3236,123,3113,120,0.007182364587125012,347973,0.7723328036080507,0.038009888751545116
42,3160,107,3053,123,0.007013681117217256,351133,0.7793464847252679,0.033860759493670886
43,3111,99,3012,118,0.00690492466951357,354244,0.7862514093947814,0.03182256509161042
44,2930,106,2824,124,0.006503191668812202,357174,0.7927546010635936,0.03617747440273038
45,2836,92,2744,124,0.006294556850768397,360010,0.799049157914362,0.03244005641748942
46,2485,97,2388,117,0.005515505562115468,362495,0.8045646634764775,0.03903420523138833
47,2668,99,2569,108,0.005921677601498619,365163,0.8104863410779761,0.03710644677661169
48,2393,77,2316,100,0.005311309782753447,367556,0.8157976508607296,0.032177183451734225
49,2361,103,2258,110,0.005240285163844918,369917,0.8210379360245745,0.04362558238034731
50,2181,62,2119,104,0.004840771682484441,372098,0.825878707707059,0.028427326914259515
51,2149,95,2054,100,0.004769747063575912,374247,0.8306484547706349,0.044206607724523034
52,2223,91,2132,103,0.004933991494801886,376470,0.8355824462654368,0.04093567251461988
53,1903,74,1829,99,0.004223745305716594,378373,0.8398061915711533,0.03888596952180767
54,1986,67,1919,101,0.004407965411010592,380359,0.844214156982164,0.033736153071500505
55,1838,108,1730,98,0.004079476548558644,382197,0.8482936335307226,0.058759521218716
56,1869,55,1814,109,0.004148281648126282,384066,0.8524419151788488,0.029427501337613696
57,1765,70,1695,92,0.003917451636673562,385831,0.8563593668155224,0.039660056657223795
58,1714,89,1625,97,0.003804256150288094,387545,0.8601636229658105,0.051925320886814466
59,1583,68,1515,96,0.0035134991166313025,389128,0.8636771220824419,0.04295641187618446
60,1595,60,1535,102,0.003540133348722001,390723,0.8672172554311638,0.03761755485893417
61,1635,47,1588,90,0.003628914122357662,392358,0.8708461695535215,0.02874617737003058
62,1586,65,1521,94,0.003520157674653977,393944,0.8743663272281754,0.040983606557377046
63,1385,41,1344,103,0.003074034287134778,395329,0.8774403615153102,0.0296028880866426
64,1382,57,1325,96,0.0030673757291121034,396711,0.8805077372444223,0.04124457308248915
65,1239,31,1208,93,0.0027499844633646136,397950,0.8832577217077869,0.025020177562550445
66,1166,40,1126,91,0.0025879595514795317,399116,0.8858456812592665,0.03430531732418525
67,1255,38,1217,89,0.0027854967728188785,400371,0.8886311780320854,0.030278884462151396
68,1085,33,1052,89,0.0024081784848673173,401456,0.8910393565169527,0.030414746543778803
69,1128,49,1079,85,0.002503617816525653,402584,0.8935429743334783,0.04343971631205674
70,1104,57,1047,86,0.0024503493523442563,403688,0.8959933236858226,0.051630434782608696
71,1090,36,1054,81,0.0024192760815717747,404778,0.8984125997673944,0.03302752293577982
72,1008,25,983,82,0.002237275495618669,405786,0.900649875263013,0.0248015873015873
73,992,30,962,82,0.0022017631861644044,406778,0.9028516384491775,0.03024193548387097
74,964,27,937,82,0.002139616644619441,407742,0.9049912550937969,0.028008298755186723
75,1022,36,986,84,0.0022683487663911505,408764,0.907259603860188,0.03522504892367906
76,961,29,932,82,0.0021329580865967666,409725,0.9093925619467847,0.030176899063475548
77,868,33,835,74,0.0019265427878938537,410593,0.9113191047346787,0.038018433179723504
78,946,43,903,81,0.0020996652964833935,411539,0.913418770031162,0.045454545454545456
79,824,23,801,75,0.001828883936894626,412363,0.9152476539680566,0.027912621359223302
80,762,35,727,80,0.0016912737377593509,413125,0.916938927705816,0.045931758530183726
81,824,34,790,78,0.001828883936894626,413949,0.9187678116427107,0.0412621359223301
82,796,41,755,73,0.0017667373953496632,414745,0.9205345490380603,0.05150753768844221
83,779,24,755,81,0.001729005566554507,415524,0.9222635546046148,0.03080872913992298
84,783,28,755,75,0.0017378836439180731,416307,0.9240014382485329,0.035759897828863345
85,648,29,619,72,0.0014382485328977156,416955,0.9254396867814306,0.044753086419753084
86,676,22,654,74,0.0015003950744426787,417631,0.9269400818558733,0.03254437869822485
87,621,27,594,71,0.0013783215106936441,418252,0.9283184033665669,0.043478260869565216
88,610,31,579,72,0.0013539067979438373,418862,0.9296723101645108,0.05081967213114754
89,605,18,587,69,0.0013428092012393797,419467,0.9310151193657501,0.02975206611570248
90,714,27,687,65,0.0015847368093965572,420181,0.9325998561751467,0.037815126050420166
91,538,23,515,65,0.0011941014053996467,420719,0.9337939575805464,0.04275092936802974
92,585,14,571,76,0.0012984188144215488,421304,0.9350923763949679,0.023931623931623933
93,589,21,568,62,0.001307296891785115,421893,0.936399673286753,0.035653650254668934
94,544,21,523,63,0.001207418521444996,422437,0.937607091808198,0.03860294117647059
95,562,16,546,65,0.0012473698695810436,422999,0.9388544616777791,0.028469750889679714
96,521,15,506,68,0.0011563695766044905,423520,0.9400108312543836,0.028790786948176585
97,530,17,513,63,0.0011763452506725143,424050,0.941187176505056,0.03207547169811321
98,521,10,511,67,0.0011563695766044905,424571,0.9423435460816606,0.019193857965451054
99,508,12,496,65,0.0011275158251729007,425079,0.9434710619068335,0.023622047244094488
100,465,8,457,56,0.0010320764935145645,425544,0.944503138400348,0.017204301075268817
101,468,21,447,57,0.0010387350515372392,426012,0.9455418734518852,0.04487179487179487
102,418,11,407,56,0.0009277590844926622,426430,0.946469632536378,0.02631578947368421
103,460,23,437,56,0.0010209788968101067,426890,0.947490611433188,0.05
104,490,29,461,63,0.0010875644770368528,427380,0.9485781759102249,0.05918367346938776
105,448,20,428,60,0.0009943446647194083,427828,0.9495725205749443,0.044642857142857144
106,437,16,421,56,0.0009699299519696015,428265,0.9505424505269139,0.036613272311212815
107,435,25,410,52,0.0009654909132878184,428700,0.9515079414402017,0.05747126436781609
108,443,10,433,61,0.0009832470680149507,429143,0.9524911885082167,0.022573363431151242
109,379,18,361,55,0.0008411978301978923,429522,0.9533323863384146,0.047493403693931395
110,447,11,436,56,0.000992125145378517,429969,0.954324511483793,0.024608501118568233
111,362,17,345,56,0.0008034660014027362,430331,0.9551279774851958,0.04696132596685083
112,362,10,352,54,0.0008034660014027362,430693,0.9559314434865985,0.027624309392265192
113,706,15,691,48,0.0015669806546694247,431399,0.957498424141268,0.021246458923512748
114,337,16,321,53,0.0007479780178804478,431736,0.9582464021591485,0.04747774480712166
115,317,12,305,54,0.0007035876310626171,432053,0.9589499897902111,0.03785488958990536
116,381,12,369,57,0.0008456368688796754,432434,0.9597956266590907,0.031496062992125984
117,376,12,364,52,0.0008345392721752177,432810,0.9606301659312659,0.031914893617021274
118,313,24,289,46,0.000694709553699051,433123,0.9613248754849649,0.07667731629392971
119,294,17,277,50,0.0006525386862221117,433417,0.9619774141711871,0.05782312925170068
120,309,12,297,45,0.0006858314763354848,433726,0.9626632456475226,0.038834951456310676
121,263,16,247,49,0.0005837335866544741,433989,0.963246979234177,0.060836501901140684
122,255,2,253,46,0.0005659774319273418,434244,0.9638129566661043,0.00784313725490196
123,347,11,336,51,0.0007701732112893631,434591,0.9645831298773937,0.03170028818443804
124,281,9,272,53,0.0006236849347905218,434872,0.9652068148121843,0.03202846975088968
125,266,6,260,50,0.0005903921446771488,435138,0.9657972069568614,0.022556390977443608
