dataset_source,time_to_event,repo_months,repositories,event_positive_repo_months,zero_event_repo_months,function_change_events,agc_function_change_events,hwc_function_change_events,parse_exclusion_months
control,,780,120,466,314,28062,14964,13098,40
treatment,-14.0,14,14,10,4,326,177,149,2
treatment,-13.0,18,18,15,3,1307,604,703,1
treatment,-12.0,20,20,17,3,2791,1386,1405,2
treatment,-11.0,21,21,16,5,1951,834,1117,1
treatment,-10.0,22,22,16,6,2217,925,1292,3
treatment,-9.0,30,30,21,9,1872,789,1083,0
treatment,-8.0,31,31,21,10,2094,928,1166,3
treatment,-7.0,31,31,23,8,2436,1252,1184,0
treatment,-6.0,31,31,23,8,2084,1006,1078,3
treatment,-5.0,33,33,27,6,2092,1039,1053,1
treatment,-4.0,35,35,23,12,1844,886,958,2
treatment,-3.0,40,40,31,9,2519,1390,1129,2
treatment,-2.0,42,42,36,6,2394,1256,1138,1
treatment,-1.0,53,53,40,13,3773,1916,1857,2
treatment,0.0,100,100,89,11,6977,3742,3235,7
treatment,1.0,71,71,52,19,3989,2075,1914,5
treatment,2.0,60,60,41,19,3939,1943,1996,5
treatment,3.0,59,59,37,22,2890,1505,1385,2
treatment,4.0,55,55,36,19,3777,1921,1856,5
treatment,5.0,48,48,35,13,8187,3239,4948,5
treatment,6.0,18,18,14,4,6289,3077,3212,4
treatment,7.0,9,9,8,1,938,428,510,1
treatment,8.0,5,5,5,0,335,176,159,0
treatment,9.0,3,3,3,0,107,67,40,0
treatment,10.0,3,3,3,0,292,152,140,0
treatment,11.0,1,1,1,0,44,30,14,0
