check,value
panel_label,strict_function_lines_1_8_full_python_snapshot_ncloc_calendar_month_parse_clean
sample_type,full
ncloc_specification,python_snapshot
readiness_column,analysis_ready_python_snapshot_ncloc
time_mode,calendar_month
parse_exclusion_mode,parse_clean
input_rows,1536
input_repositories,220
treatment_group_mismatch_rows,0
full_input_event_membership_mismatch_rows,0
repo_dataset_source_violations,0
repo_adoption_month_violations,0
occurrence_arithmetic_mismatch_rows,0
zero_flag_arithmetic_mismatch_rows,0
detection_incomplete_rows,0
rows_after_readiness_filter,1521
rows_after_parse_filter,1521
rows_after_ratio_filter,1521
model_sample_event_membership_mismatch_rows,0
rows_after_cohort_filter,1521
event_time_encoding_mismatch_rows,0
duplicate_model_keys,0
missing_time_id_rows,0
treatment_zero_event_id_rows,0
control_nonzero_event_id_rows,0
parse_clean_violation_rows,0
rows_used_by_models,1521
repositories_used_by_models,218
treated_repositories,100
control_repositories,118
zero_event_rows_in_model_sample,501
parse_exclusion_rows_in_model_sample,0
outcome_missing_sum,0
covariate_missing_sum,0
ratio_out_of_bounds,
