ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,repo_months,repositories,control_repo_months,treatment_repo_months,event_positive_repo_months,zero_event_repo_months,event_positive_repositories,control_event_positive_repo_months,treatment_event_positive_repo_months,function_change_events,agc_function_change_events,hwc_function_change_events,pooled_agc_function_change_event_ratio,mean_repo_month_agc_ratio_positive,median_events_per_positive_repo_month
50-59,50,60,1633,220,780,853,808,825,169,307,501,14349,11620,2729,0.8098125304899296,0.805666514252675,6.0
60-69,60,70,1633,220,780,853,832,801,171,322,510,14451,9913,4538,0.6859732890457407,0.6893422202179601,6.0
70-79,70,80,1633,220,780,853,845,788,166,322,523,13903,7947,5956,0.5716032510968856,0.5863317520477482,6.0
80-89,80,90,1633,220,780,853,842,791,169,327,515,12616,6059,6557,0.48026315789473684,0.5192718462868704,6.0
90-99,90,100,1633,220,780,853,831,802,169,301,530,12416,5086,7330,0.4096327319587629,0.4302246858436038,5.0
100-109,100,110,1633,220,780,853,855,778,166,334,521,11837,4383,7454,0.37027963166342825,0.38948168409371525,5.0
110-119,110,120,1633,220,780,853,867,766,166,335,532,11619,3526,8093,0.3034684568379379,0.3305386562074406,5.0
120-129,120,130,1633,220,780,853,844,789,171,318,526,11254,3038,8216,0.2699484627687933,0.3104405041556696,5.0
130-139,130,140,1633,220,780,853,847,786,167,322,525,10499,2352,8147,0.22402133536527288,0.25028982728594873,5.0
140-149,140,150,1633,220,780,853,849,784,168,322,527,10327,2057,8270,0.19918659823762952,0.2203463237394319,4.0
