dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,detection_complete,detector_merge_status,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,commits,lines_added,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_commits,log1p_lines_added,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,function_change_events,agc_function_change_events,hwc_function_change_events,has_function_change_event,zero_function_event_month,agc_function_change_event_ratio,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_band,ast_sequence_token_specification,ratio_sample
control,AkariAsai/ScholarQABench,2024-11,3,1,1,60,6,,0,0,,0,1.0,1.0,True,both,control,control,0,0,3,12969,0.0,1469.0,1545,2,32.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,9.47039427731049,0.0,1.0986122886681096,3.49650756146648,0.6931471805599453,1,1,1,1,0,AkariAsai/ScholarQABench,2024-11,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,70,80,70-79,bounded_band,1
control,ArpiarSaundersLab/annsql,2024-09,20,16,6,27,5,,0,0,,0,6.0,6.0,True,both,control,control,0,0,20,4392,0.0,779.0,741,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.044522437723423,8.38776764397578,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2024-09,2,0,2,1,0,0.0,1.0986122886681096,0.0,1.0986122886681096,70,80,70-79,bounded_band,1
control,ArpiarSaundersLab/annsql,2025-02,18,15,13,128,9,,0,0,,0,13.0,13.0,True,both,control,control,0,0,19,52835,90.0,3309.0,3871,2,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.995732273553991,10.874948055543754,4.51085950651685,1.0986122886681096,1.6094379124341005,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2025-02,7,3,4,1,0,0.42857142857142855,2.0794415416798357,1.3862943611198906,1.6094379124341003,70,80,70-79,bounded_band,1
control,ArpiarSaundersLab/annsql,2025-03,13,10,7,36,6,,0,0,,0,7.0,7.0,True,both,control,control,0,0,18,6354,118.0,3626.0,4192,2,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.9444389791664403,8.756997183623554,4.77912349311153,1.0986122886681096,1.3862943611198906,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2025-03,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,70,80,70-79,bounded_band,1
control,BalancerMaxis/multisig-ops,2024-11,100,21,11,16,7,,0,0,,0,11.0,11.0,True,both,control,control,0,0,143,61666,661.0,10036.0,9803,16,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.969813299576001,11.029504220783148,6.495265555937008,2.833213344056216,0.0,2.70805020110221,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-11,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,70,80,70-79,bounded_band,1
control,BiancoChiu/iOSRealRun-cli-18,2024-02,14,5,4,25,9,,0,0,,0,4.0,4.0,True,both,control,control,0,0,14,461,0.0,303.0,307,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221,6.135564891081739,0.0,1.0986122886681096,0.0,0.0,1,1,1,1,0,BiancoChiu/iOSRealRun-cli-18,2024-02,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,70,80,70-79,bounded_band,1
control,C4NU/Paddie,2024-01,6,6,6,8,6,,0,0,,0,6.0,6.0,True,both,control,control,0,0,7,106,82.0,1432.0,1436,3,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079441541679836,4.672828834461906,4.418840607796597,1.3862943611198906,1.6094379124341005,1.791759469228055,1,1,1,1,0,C4NU/Paddie,2024-01,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,70,80,70-79,bounded_band,1
control,C4NU/Paddie,2024-02,5,5,5,5,3,,0,0,,0,5.0,5.0,True,both,control,control,0,0,5,88,113.0,1456.0,1460,3,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.791759469228055,4.48863636973214,4.736198448394496,1.3862943611198906,1.3862943611198906,0.0,1,1,1,1,0,C4NU/Paddie,2024-02,1,0,1,1,0,0.0,0.6931471805599453,0.0,0.6931471805599453,70,80,70-79,bounded_band,1
control,C4NU/Paddie,2025-03,26,13,12,158,24,,0,0,,0,12.0,12.0,True,both,control,control,0,0,30,17902,507.0,1614.0,1828,2,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.4339872044851463,9.792723575551271,6.230481447578482,1.0986122886681096,1.3862943611198906,1.791759469228055,1,1,1,1,0,C4NU/Paddie,2025-03,8,5,3,1,0,0.625,2.197224577336219,1.791759469228055,1.3862943611198906,70,80,70-79,bounded_band,1
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-07,73,25,7,212,14,,0,0,,0,7.0,7.0,True,both,control,control,0,0,73,10371,0.0,6044.0,4098,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.304065093204169,9.246865146658555,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-07,8,2,6,1,0,0.25,2.197224577336219,1.0986122886681096,1.9459101490553132,70,80,70-79,bounded_band,1
