dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,detection_complete,detector_merge_status,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,commits,lines_added,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_commits,log1p_lines_added,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,function_change_events,agc_function_change_events,hwc_function_change_events,has_function_change_event,zero_function_event_month,agc_function_change_event_ratio,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_band,ast_sequence_token_specification,ast_sequence_token_band_set,ast_sequence_token_band_width,analysis_design_status
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,1,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,1,2,604.0,410.0,408,1,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,1.0986122886681096,6.405228458030841,0.6931471805599453,1.3862943611198906,0.0,1,1,0,0,0,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,AkariAsai/ScholarQABench,2024-11,3,1,1,60,6,,0,0,,0,1.0,1.0,True,both,control,control,0,0,3,12969,0.0,1469.0,1545,2,32.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,9.47039427731049,0.0,1.0986122886681096,3.49650756146648,0.6931471805599453,1,1,1,1,0,AkariAsai/ScholarQABench,2024-11,2,1,1,1,0,0.5,1.0986122886681096,0.6931471805599453,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,AkariAsai/ScholarQABench,2025-02,7,1,1,7,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,7,2632,73.0,1602.0,1714,2,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.079441541679836,7.875879159496309,4.304065093204169,1.0986122886681096,2.079441541679836,0.0,1,1,0,0,0,AkariAsai/ScholarQABench,2025-02,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,AkariAsai/ScholarQABench,2025-04,1,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,2,202,132.0,1602.0,1714,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681096,5.313205979041787,4.890349128221754,0.6931471805599453,0.6931471805599453,1.0986122886681096,1,1,0,0,0,AkariAsai/ScholarQABench,2025-04,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,AkariAsai/ScholarQABench,2025-07,3,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,3,13,223.0,1602.0,1714,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,2.6390573296152584,5.41164605185504,0.6931471805599453,0.6931471805599453,0.0,1,1,0,0,0,AkariAsai/ScholarQABench,2025-07,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,AkariAsai/ScholarQABench,2025-08,2,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,2,6,254.0,1602.0,1714,1,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681096,1.9459101490553128,5.541263545158426,0.6931471805599453,1.0986122886681096,0.0,1,1,0,0,0,AkariAsai/ScholarQABench,2025-08,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2024-09,20,16,6,27,5,,0,0,,0,6.0,6.0,True,both,control,control,0,0,20,4392,0.0,779.0,741,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.044522437723423,8.38776764397578,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2024-09,3,1,2,1,0,0.3333333333333333,1.3862943611198906,0.6931471805599453,1.0986122886681096,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2024-10,22,18,13,16,4,,0,0,,0,13.0,13.0,True,both,control,control,0,0,22,3962,0.0,1027.0,981,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.1354942159291497,8.284756593190435,0.0,0.6931471805599453,0.0,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2024-10,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2024-11,13,10,5,7,4,,0,0,,0,5.0,5.0,True,both,control,control,0,0,13,1776,0.0,1416.0,1416,1,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.6390573296152584,7.482681828154651,0.0,0.6931471805599453,2.197224577336219,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2024-11,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2024-12,1,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,1,1,28.0,1416.0,1416,1,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.6931471805599453,3.3672958299864737,0.6931471805599453,1.3862943611198906,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2024-12,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2025-01,5,5,3,15,3,,0,0,,0,3.0,3.0,True,both,control,control,0,0,5,1438,59.0,1740.0,1744,1,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.791759469228055,7.271703706887368,4.0943445622221,0.6931471805599453,1.9459101490553128,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2025-01,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2025-02,18,15,13,128,9,,0,0,,0,13.0,13.0,True,both,control,control,0,0,19,52835,90.0,3309.0,3871,2,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.995732273553991,10.874948055543754,4.51085950651685,1.0986122886681096,1.6094379124341005,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2025-02,4,1,3,1,0,0.25,1.6094379124341003,0.6931471805599453,1.3862943611198906,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,ArpiarSaundersLab/annsql,2025-03,13,10,7,36,6,,0,0,,0,7.0,7.0,True,both,control,control,0,0,18,6354,118.0,3626.0,4192,2,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.9444389791664403,8.756997183623554,4.77912349311153,1.0986122886681096,1.3862943611198906,0.0,1,1,0,0,0,ArpiarSaundersLab/annsql,2025-03,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
