outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-6,0.0256208795500877,-0.103571189229309,0.154812948329484,0.0659143208058147,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-5,0.0853395095735964,-0.0533986044911067,0.224077623638299,0.0707847520738281,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-4,0.036455391049555,-0.109142837032001,0.182053619131111,0.0742848102456919,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-3,-0.00427751267757762,-0.164894421096622,0.156339395741467,0.0819474022546147,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-2,0.046417705284641,-0.13397001039585,0.226805420965132,0.092034548816577,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,0,0.0547285349638326,-0.0748921985084408,0.184349268436106,0.0661330272817722,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,1,0.0139814621814765,-0.138508300142091,0.166471224505044,0.0778008991446771,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,2,0.0621283104247393,-0.0927381508134474,0.216994771662926,0.079013500631728,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,3,0.137329108061725,-0.063987775201489,0.338645991324938,0.102712695542456,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,4,-0.0476184572712039,-0.239586098273496,0.144349183731088,0.0979426739807613,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,5,-0.0251924843953576,-0.194155169286874,0.143770200496159,0.0862054514752636,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,6,0.121140262988464,-0.0803530770149645,0.322633602991892,0.102802724491545,,FALSE,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
