check,value
panel_label,strict_band_70_79_ratio_paper_ncloc_calendar_month_all
ast_sequence_token_band,70-79
ast_sequence_token_lower_bound_inclusive,70
ast_sequence_token_upper_bound_exclusive,80
ast_sequence_token_specification,bounded_band
band_label_mismatch_rows,0
band_lower_mismatch_rows,0
band_upper_mismatch_rows,0
band_specification_mismatch_rows,0
function_event_partition_mismatch_rows,0
count_na_rows,0
count_negative_rows,0
log1p_count_missing_rows,0
activity_missing_rows,0
log1p_activity_missing_rows,0
log1p_function_mismatch_rows,0
log1p_agc_mismatch_rows,0
log1p_hwc_mismatch_rows,0
activity_negative_rows,0
log1p_commits_mismatch_rows,0
log1p_lines_added_mismatch_rows,0
positive_ratio_missing_rows,0
zero_ratio_nonmissing_rows,0
ratio_formula_mismatch_rows,0
ratio_out_of_bounds_input_rows,0
sample_type,ratio
ncloc_specification,paper
readiness_column,analysis_ready_ratio_paper_ncloc
time_mode,calendar_month
parse_exclusion_mode,all
input_rows,845
input_repositories,166
treatment_group_mismatch_rows,0
full_input_event_membership_mismatch_rows,0
repo_dataset_source_violations,0
repo_adoption_month_violations,0
occurrence_arithmetic_mismatch_rows,0
zero_flag_arithmetic_mismatch_rows,0
detection_incomplete_rows,0
rows_after_readiness_filter,841
rows_after_parse_filter,841
rows_after_ratio_filter,841
model_sample_event_membership_mismatch_rows,0
rows_after_cohort_filter,841
event_time_encoding_mismatch_rows,0
duplicate_model_keys,0
missing_time_id_rows,0
treatment_zero_event_id_rows,0
control_nonzero_event_id_rows,0
parse_clean_violation_rows,0
rows_used_by_models,841
repositories_used_by_models,166
treated_repositories,87
control_repositories,79
zero_event_rows_in_model_sample,0
parse_exclusion_rows_in_model_sample,83
outcome_missing_sum,0
covariate_missing_sum,0
ratio_out_of_bounds,0
