outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band_set,analysis_design_status,ast_sequence_token_band_width,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
has_function_change_event,Any Function-Change Event,-6,-0.0331786985845712,-0.161084762265472,0.09472736509633,0.0652581957555618,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-5,-0.0821263441451347,-0.205544221474859,0.0412915331845898,0.0629683047600635,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-4,-0.0403235401864963,-0.189307896109792,0.108660815736799,0.0760124264914772,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-3,-0.0244680559259121,-0.160631445737674,0.11169533388585,0.069471117250899,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-2,0.133869254055335,0.0146177910403642,0.253120717070305,0.0608425831709033,,TRUE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,0,0.104780676464262,-0.0239475554970394,0.233508908425564,0.065677669368011,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,1,0.160090161852207,0.0147700940834937,0.305410229620919,0.0741428917187311,,TRUE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,2,0.079801823666169,-0.0637230969067074,0.223326744239045,0.0732270002922839,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,3,0.0317333910732858,-0.11750816759819,0.180974949744761,0.0761436523834059,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,4,-0.160143841253248,-0.318005441123599,-0.00228224138289618,0.080541632586914,,TRUE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,5,-0.023079358805573,-0.174300916991767,0.128142199380621,0.0771538562174459,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,6,-0.14222343031213,-0.37123470353738,0.0867878429131194,0.116842486339413,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-6,0.0257846237515191,-0.387405233705279,0.438974481208317,0.210811151763672,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-5,0.0307804656643034,-0.287172918071769,0.348733849400376,0.162221114151057,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
