check,value
panel_label,strict_width20_80_139_band_80_99_full_paper_ncloc_calendar_month_all
ast_sequence_token_band_set,width20_80_139
analysis_design_status,post_hoc_exploratory_sensitivity
ast_sequence_token_band_width,20
ast_sequence_token_band,80-99
ast_sequence_token_lower_bound_inclusive,80
ast_sequence_token_upper_bound_exclusive,100
ast_sequence_token_specification,bounded_band
band_set_mismatch_rows,0
design_status_mismatch_rows,0
band_width_mismatch_rows,0
band_label_mismatch_rows,0
band_lower_mismatch_rows,0
band_upper_mismatch_rows,0
band_specification_mismatch_rows,0
function_event_partition_mismatch_rows,0
count_na_rows,0
count_negative_rows,0
log1p_count_missing_rows,0
activity_missing_rows,0
log1p_activity_missing_rows,0
log1p_function_mismatch_rows,0
log1p_agc_mismatch_rows,0
log1p_hwc_mismatch_rows,0
activity_negative_rows,0
log1p_commits_mismatch_rows,0
log1p_lines_added_mismatch_rows,0
positive_ratio_missing_rows,0
zero_ratio_nonmissing_rows,0
ratio_formula_mismatch_rows,0
ratio_out_of_bounds_input_rows,0
sample_type,full
ncloc_specification,paper
readiness_column,analysis_ready_paper_ncloc
time_mode,calendar_month
parse_exclusion_mode,all
input_rows,1633
input_repositories,220
treatment_group_mismatch_rows,0
full_input_event_membership_mismatch_rows,0
repo_dataset_source_violations,0
repo_adoption_month_violations,0
occurrence_arithmetic_mismatch_rows,0
zero_flag_arithmetic_mismatch_rows,0
detection_incomplete_rows,0
rows_after_readiness_filter,1596
rows_after_parse_filter,1596
rows_after_ratio_filter,1596
model_sample_event_membership_mismatch_rows,0
rows_after_cohort_filter,1596
event_time_encoding_mismatch_rows,0
duplicate_model_keys,0
missing_time_id_rows,0
treatment_zero_event_id_rows,0
control_nonzero_event_id_rows,0
parse_clean_violation_rows,0
rows_used_by_models,1596
repositories_used_by_models,217
treated_repositories,100
control_repositories,117
zero_event_rows_in_model_sample,657
parse_exclusion_rows_in_model_sample,97
outcome_missing_sum,0
covariate_missing_sum,0
ratio_out_of_bounds,
