check,value
panel_label,strict_range100_200_ratio_python_snapshot_ncloc_calendar_month_parse_clean
specification_name,range100_200
sample_type,ratio
ncloc_specification,python_snapshot
readiness_column,analysis_ready_npr_ratio_python_snapshot_ncloc
time_mode,calendar_month
parse_exclusion_mode,parse_clean
input_rows,1045
input_repositories,190
specification_mismatch_rows,0
treatment_group_mismatch_rows,0
event_membership_mismatch_rows,0
occurrence_arithmetic_mismatch_rows,0
zero_flag_arithmetic_mismatch_rows,0
agc_hwc_partition_mismatch_rows,0
detection_incomplete_rows,0
ratio_missing_positive_rows,0
ratio_nonmissing_zero_rows,0
ratio_out_of_bounds_rows,0
rows_after_readiness_filter,1040
rows_after_parse_filter,1040
rows_after_ratio_filter,1040
rows_after_cohort_filter,1040
rows_used_by_models,1040
repositories_used_by_models,190
treated_repositories,95
control_repositories,95
zero_npr_event_rows_in_model_sample,0
parse_exclusion_rows_in_model_sample,0
outcome_missing_sum,0
covariate_missing_sum,0
npr_agc_threshold,1.571637
npr_algorithm_version,overlap_final_full_window_valid_frontier_weighting-v1
npr_decision_rule,function_npr > agc_threshold
npr_window_policy,full_size_final_window_shifted_backward_with_overlap
npr_function_aggregation,valid_frontier_weighted_mean
npr_partial_body_policy,any_valid_window_partial_success_full_windows-v2
npr_scoring_model,bigcode/starcoder2-7b
npr_window_size_literal_space_tokens,128
npr_perturbations_per_window,50
npr_random_seed,20260723
